,energy,torsion_0,torsion_1
0,-46.41447914968788,155,85
1,-46.40763028156144,295,25
2,-46.410647569158556,325,170
3,-46.39978181017207,0,175
4,-46.39559507071246,110,190
5,-46.37554624082,165,230
6,-46.37074902118232,330,240
7,-46.37859200221155,80,125
8,-46.401264120810794,280,335
9,-46.40222194643772,335,65
10,-46.393666768145664,45,230
11,-46.36462218407408,355,90
12,-46.39418036109251,210,325
13,-46.31681384672251,10,345
14,-46.36433701163881,35,285
15,-46.39833091562983,290,15
16,-46.39272056334724,255,355
17,-46.42641544250179,285,165
18,-46.396002625907414,240,100
19,-46.407253386486985,5,195
20,-46.34218381227416,55,340
21,-46.45958517257546,190,65
22,-46.39750938454873,210,310
23,-46.38404780675788,265,110
24,-46.40198655523497,195,150
25,-46.43465546055742,275,175
26,-46.3484140663862,160,345
27,-46.3631616698074,170,355
28,-46.36233816272946,15,30
29,-46.38843941637603,20,75
30,-46.388305531597865,130,170
31,-46.4069627555609,80,155
32,-46.418445495352756,245,170
33,-46.33764908805401,350,15
34,-46.44518629691609,170,70
35,-46.367377390081714,85,230
36,-46.36918626109204,30,100
37,-46.392708091857145,120,180
38,-46.38790500946473,0,55
39,-46.44172081306985,255,65
40,-46.38862427334365,55,100
41,-46.431491184157125,210,180
42,-46.392601115942085,325,220
43,-46.34821118715385,150,280
44,-46.41669406550406,280,295
45,-46.35401236206488,155,280
46,-46.37878970217153,315,140
47,-46.42489233674266,210,25
48,-46.33330566372817,105,310
49,-46.39793197643226,305,225
50,-46.425471838980826,240,180
51,-46.37287797589474,90,130
52,-46.40698006965138,155,200
53,-46.38809224170771,110,65
54,-46.40505990095377,240,160
55,-46.39764307045547,185,110
56,-46.340529369595544,20,15
57,-46.38775916040035,350,165
58,-46.361088696489986,170,250
59,-46.34598515502287,10,310
60,-46.382391028666945,330,285
61,-46.412167153492675,230,165
62,-46.39006300896742,195,325
63,-46.40174035570723,355,200
64,-46.41692360920294,270,305
65,-46.36733075828178,145,115
66,-46.3597875078834,345,260
67,-46.42074229122116,310,205
68,-46.359005861873044,20,280
69,-46.425926635722334,175,90
70,-46.36075464303295,25,280
71,-46.3651420586593,335,255
72,-46.31300214442942,120,335
73,-46.393358527703384,260,350
74,-46.40031624240683,30,220
75,-46.40613521564549,310,300
76,-46.40214803269359,235,315
77,-46.401480322652304,140,80
78,-46.368038962073996,320,110
79,-46.39213590282097,40,230
80,-46.354595753216046,40,315
81,-46.348172125266416,325,355
82,-46.39151298978234,150,160
83,-46.374069132204085,335,305
84,-46.39576128398673,135,180
85,-46.38744652120508,155,215
86,-46.415654082224165,225,205
87,-46.39299692732985,225,0
88,-46.41437025700205,195,20
89,-46.38175546929264,55,125
90,-46.38118132373276,55,30
91,-46.32098906582158,115,325
92,-46.34528601551122,150,275
93,-46.395259350018506,200,145
94,-46.35337229223458,120,120
95,-46.43447751956788,265,190
96,-46.42842746003683,170,185
97,-46.41484858593495,230,205
98,-46.36500830466187,175,265
99,-46.42253711725729,30,175
100,-46.43038667141437,255,190
