,energy,torsion_0,torsion_1
23,-46.44477861568046,252.7350538541521,57.87187828523285
6,-46.443948894734916,226.6595944450572,41.06432349049278
20,-46.436011550172594,298.6059617134272,177.56899847352804
28,-46.43328953733996,299.2676021616172,51.07162839279181
3,-46.42940710677797,219.54423949913584,188.49554962865082
17,-46.427255681686376,237.91640541384967,80.44891853639841
12,-46.4234557948964,282.1303578806473,163.0074545895904
5,-46.4223117857978,223.72175783491656,86.70868484826605
15,-46.42014610542853,293.50946601306174,210.76540819663575
18,-46.41705171143744,320.8336464819723,61.367912069683086
7,-46.41695091216147,329.3147719077597,187.65276295322568
29,-46.41485803289376,301.5392187035011,83.74534360063178
19,-46.41019986821985,311.5415623493712,212.9532048597442
8,-46.40171990787459,209.40572311858114,218.1495379401634
21,-46.400545136231045,274.97218425151925,224.50307511722022
0,-46.397392905495195,259.86878055344613,99.09227929949273
13,-46.39456310528058,303.79158770219084,145.91147002271066
22,-46.392274483189425,289.81371082806857,264.82653986769844
27,-46.39019530732614,238.9436708149634,149.12949204110961
1,-46.38705158674307,316.70163224370293,95.82634426833175
24,-46.3864565194294,293.6545866636433,255.57167273864025
26,-46.38404650923704,268.68536714483173,263.0341429900591
14,-46.38361045583517,259.6491903108991,109.8386641121977
25,-46.38043869789564,282.754370906044,118.91162258689856
16,-46.37971426268527,251.3017756543553,238.1858558158215
9,-46.378870860038006,249.595028498625,138.07031320470048
10,-46.37876182762997,307.34254113356644,-20.553623324879993
4,-46.370630998150915,136.60326848939826,104.6946022828605
11,-46.363076721037174,368.54253116872314,146.96937490798754
2,-46.356443924184504,322.3129390053414,342.51718311295843
