,energy,torsion_0,torsion_1
8,-46.44816697108021,202.05222020301932,40.12006649762842
4,-46.43453904218697,60.0,200.50543687576658
10,-46.434496796288244,202.08029929878552,191.91222745014613
19,-46.433489275345636,62.83435067284042,200.50543687576658
0,-46.43310961127409,178.87407721966576,191.91222745014613
25,-46.42824503207132,180.0,90.0
11,-46.42156702801569,62.83434619975376,210.0
12,-46.40563024387538,61.40990985804469,147.65976821266372
23,-46.40563021643399,61.40990985804469,147.65976821266372
17,-46.40563015120725,61.40990985804469,147.65976821266372
2,-46.40563009235066,61.40990985804469,147.65976821266372
1,-46.405455527738155,61.40990985804469,147.5324651180103
20,-46.40542745392381,62.83434951781535,147.5324651180103
16,-46.405427301397225,62.83434951781535,147.5324651180103
24,-46.405427228357524,62.83435067284042,147.53240333436065
22,-46.40538147489795,60.0,147.5324634011177
3,-46.39891923579589,60.0,90.0
18,-46.398731362586176,300.0,147.5324651180103
14,-46.39873132761059,300.0,147.5324634011177
29,-46.39776286931655,202.05222020301932,147.5324651180103
15,-46.39775655952522,202.08029929878552,147.5324634011177
27,-46.3966906952156,270.0,147.53240333436065
7,-46.39543405247858,61.40990985804469,40.12006649762842
26,-46.39499696526232,62.83435067284042,40.12006649762842
21,-46.39008548170122,120.0,191.91222745014613
6,-46.3881758423407,240.0,147.5324634011177
13,-46.388175711602315,240.0,147.53240333436065
5,-46.38403084180308,30.0,147.5324651180103
9,-46.37438718202057,330.0,147.53240333436065
28,-46.360389726252976,0.0,147.5324634011177
