,constrained_energy,relaxed_energy,torsion_0,torsion_1,relaxed_torsion_0,relaxed_torsion_1
0,-36.72607321556666,-37.43393655104168,20,0,90,90
1,-36.881298815130066,-37.43380227875778,100,70,90,90
2,-36.76029076113801,-37.81720975320769,30,160,30,180
3,-36.73764466572965,-37.42888937603132,10,170,150,210
4,-36.805038726141476,-37.433920154937425,230,60,150,30
5,-36.809753727731675,-37.42888330084796,70,220,150,210
6,-36.78193901487717,-37.43393275863059,110,340,90,90
7,-36.75719028209832,-37.380088844216885,250,290,300,240
8,-36.827090254412326,-37.43393363315403,180,100,150,30
9,-36.815608397978934,-37.42827723955651,170,120,120,60
10,-36.79636187225606,-37.259849424038094,130,150,120,150
11,-36.76599385323075,-37.75873817045735,190,160,210,180
12,-36.74316047628963,-37.42888442351111,10,180,150,210
13,-36.81899408445801,-37.433936541522826,40,60,90,90
14,-36.740954021392895,-37.433930731223825,230,10,150,30
15,-36.78729922860262,-37.428890633517,160,190,150,210
16,-36.86800019580156,-37.43359670658239,80,60,120,60
17,-36.840567423151754,-37.38456997650451,300,210,300,210
18,-36.79804562218453,-37.4285725232254,180,260,120,270
19,-36.71965961499791,-37.428875668770985,340,150,150,210
20,-36.856162993232914,-37.384615855460396,310,220,300,210
21,-36.86677468924347,-37.377440380657134,270,60,300,60
22,-36.747949709579416,-37.424643043324636,210,310,120,240
23,-36.851852251630476,-37.38461501712379,300,270,300,270
24,-36.78190290023474,-37.43393411008637,240,30,150,30
25,-36.811410367874544,-37.42888940178938,110,190,150,210
26,-36.81757126872566,-37.43393560839539,180,40,150,30
27,-36.74129544492382,-37.43393456627149,30,0,90,90
28,-36.80586483590494,-37.42883517664606,90,290,90,270
29,-36.77284776159016,-37.81720441610767,160,340,210,360
30,-36.79419294401674,-37.43393558305735,130,0,150,30
31,-36.760119488621825,-37.433934804383654,190,0,150,30
32,-36.761318026822835,-37.428316482017436,20,220,120,270
33,-36.794294179084886,-37.38460138524101,350,240,300,210
34,-36.78806066060889,-37.433934241079555,200,110,150,30
35,-36.748745463641086,-37.43392885680066,350,20,90,90
36,-36.7249402881624,-37.42815617665349,230,0,120,60
37,-36.79690175161099,-37.43393665449395,30,100,90,90
38,-36.828379247914484,-37.428448317926694,120,260,90,270
39,-36.769370854928866,-37.428875560538785,230,240,90,270
