# Relative energy hierarchy for Ac-Ala-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
   1  -32039.4587611   0.000000
   2  -32039.4530527   0.005708
   3  -32039.3944936   0.064267
   4  -32039.2986931   0.160068
   5  -32039.285839    0.172922
   6  -32039.2431931   0.215568
   7  -32038.7417076   0.717054
   8  -32038.7400366   0.718724
   9  -32038.685264    0.773497
  10  -32038.6129758   0.845785
  11  -32038.6090726   0.849688
  12  -32037.8102785   1.648483
  13  -32037.7401828   1.718578
  14  -32037.7269469   1.731814
  15  -32037.6733101   1.785451
  16  -32037.6724882   1.786273
  17  -32037.6696815   1.789080
  18  -32037.5350541   1.923707
