# Relative energy hierarchy for Ac-Ala-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
   1  -603637.669055   0.000000
   2  -603637.581217   0.087838
   3  -603637.483007   0.186048
   4  -603637.457008   0.212047
   5  -603636.959244   0.709811
   6  -603636.913499   0.755556
   7  -603636.825703   0.843352
   8  -603636.226003   1.443052
   9  -603636.157417   1.511638
  10  -603636.138236   1.530819
  11  -603636.051793   1.617262
  12  -603635.916048   1.753007
