# Relative energy hierarchy for Ac-Ala-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
   1  -100685.224892   0.000000
   2  -100685.221976   0.002916
   3  -100685.156043   0.068849
   4  -100685.059858   0.165034
   5  -100685.021601   0.203291
   6  -100684.571546   0.653346
   7  -100684.571474   0.653418
   8  -100684.518599   0.706293
   9  -100684.444072   0.780820
  10  -100683.765505   1.459387
  11  -100683.682283   1.542609
  12  -100683.597773   1.627119
  13  -100683.529553   1.695339
  14  -100683.493152   1.731740
