# Relative energy hierarchy for Ac-Ala-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
   1  -13494.8361119   0.000000
   2  -13494.7835724   0.052540
   3  -13494.7523467   0.083765
   4  -13494.7492075   0.086904
   5  -13494.7193025   0.116809
   6  -13494.6974465   0.138665
   7  -13494.6828205   0.153291
   8  -13494.671955    0.164157
   9  -13494.652005    0.184107
  10  -13494.6286453   0.207467
  11  -13494.5926093   0.243503
  12  -13494.5744933   0.261619
  13  -13494.5653416   0.270770
  14  -13494.556071    0.280041
  15  -13494.5426286   0.293483
  16  -13494.516229    0.319883
  17  -13494.4988668   0.337245
  18  -13494.4716303   0.364482
  19  -13494.4568687   0.379243
  20  -13494.4476192   0.388493
  21  -13494.443118    0.392994
  22  -13494.4338854   0.402227
  23  -13494.4125968   0.423515
  24  -13494.4090109   0.427101
  25  -13494.4068198   0.429292
  26  -13494.4051117   0.431000
  27  -13494.4034469   0.432665
  28  -13494.3901711   0.445941
  29  -13494.3868761   0.449236
  30  -13494.3865793   0.449533
  31  -13494.338913    0.497199
  32  -13494.3018235   0.534288
  33  -13494.2848171   0.551295
  34  -13494.1207477   0.715364
