# Relative energy hierarchy for Ala conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
   1  -8812.04097345   0.000000
   2  -8812.03821515   0.002758
   3  -8811.98367572   0.057298
   4  -8811.93770596   0.103267
   5  -8811.93604668   0.104927
   6  -8811.92303426   0.117939
   7  -8811.9064138    0.134560
   8  -8811.88434265   0.156631
   9  -8811.88397613   0.156997
  10  -8811.79246132   0.248512
  11  -8811.7892992    0.251674
  12  -8811.75311346   0.287860
  13  -8811.74499268   0.295981
  14  -8811.73020401   0.310769
  15  -8811.61157477   0.429399
