# Relative energy hierarchy for Ac-Arg-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -246330.133745   0.000000
   2  -246330.117241   0.016504
   3  -246330.103542   0.030203
   4  -246330.079491   0.054254
   5  -246330.074902   0.058843
   6  -246330.065003   0.068742
   7  -246330.049237   0.084508
   8  -246330.032417   0.101328
   9  -246330.032215   0.101530
  10  -246330.02559   0.108155
  11  -246330.025491   0.108254
  12  -246330.015997   0.117748
  13  -246330.015604   0.118141
  14  -246330.014577   0.119168
  15  -246330.010606   0.123139
  16  -246330.008926   0.124819
  17  -246330.007783   0.125962
  18  -246330.001156   0.132589
  19  -246330.000257   0.133488
  20  -246329.998863   0.134882
  21  -246329.997966   0.135779
  22  -246329.986211   0.147534
  23  -246329.976255   0.157490
  24  -246329.97214   0.161605
  25  -246329.970554   0.163191
  26  -246329.967763   0.165982
  27  -246329.967293   0.166452
  28  -246329.966801   0.166944
  29  -246329.962873   0.170872
  30  -246329.962643   0.171102
  31  -246329.958155   0.175590
  32  -246329.94364   0.190105
  33  -246329.933394   0.200351
  34  -246329.931157   0.202588
  35  -246329.92762   0.206125
  36  -246329.926069   0.207676
  37  -246329.924507   0.209238
  38  -246329.918065   0.215680
  39  -246329.915825   0.217920
  40  -246329.91304   0.220705
  41  -246329.908807   0.224938
  42  -246329.906307   0.227438
  43  -246329.906134   0.227611
  44  -246329.905574   0.228171
  45  -246329.902907   0.230838
  46  -246329.902334   0.231411
  47  -246329.899519   0.234226
  48  -246329.898579   0.235166
  49  -246329.896859   0.236886
  50  -246329.895749   0.237996
  51  -246329.895636   0.238109
  52  -246329.894587   0.239158
  53  -246329.880521   0.253224
  54  -246329.880056   0.253689
  55  -246329.879573   0.254172
  56  -246329.879386   0.254359
  57  -246329.878685   0.255060
  58  -246329.872015   0.261730
  59  -246329.86387   0.269875
  60  -246329.861613   0.272132
  61  -246329.859788   0.273957
  62  -246329.858474   0.275271
  63  -246329.857328   0.276417
  64  -246329.853723   0.280022
  65  -246329.85217   0.281575
  66  -246329.851317   0.282428
  67  -246329.850877   0.282868
  68  -246329.842128   0.291617
  69  -246329.841335   0.292410
  70  -246329.835422   0.298323
  71  -246329.832138   0.301607
  72  -246329.829484   0.304261
  73  -246329.829011   0.304734
  74  -246329.822873   0.310872
  75  -246329.82083   0.312915
  76  -246329.818536   0.315209
  77  -246329.816429   0.317316
  78  -246329.816422   0.317323
  79  -246329.813341   0.320404
  80  -246329.811926   0.321819
  81  -246329.804044   0.329701
  82  -246329.802161   0.331584
  83  -246329.799427   0.334318
  84  -246329.787499   0.346246
  85  -246329.777553   0.356192
  86  -246329.767721   0.366024
  87  -246329.765235   0.368510
  88  -246329.758806   0.374939
  89  -246329.751384   0.382361
  90  -246329.74765   0.386095
  91  -246329.747103   0.386642
  92  -246329.744507   0.389238
  93  -246329.736854   0.396891
  94  -246329.736094   0.397651
  95  -246329.735708   0.398037
  96  -246329.734453   0.399292
  97  -246329.723836   0.409909
  98  -246329.722229   0.411516
  99  -246329.720679   0.413066
 100  -246329.712005   0.421740
 101  -246329.706941   0.426804
 102  -246329.679061   0.454684
 103  -246329.672722   0.461023
 104  -246329.663865   0.469880
 105  -246329.663248   0.470497
 106  -246329.657895   0.475850
 107  -246329.647085   0.486660
 108  -246329.646339   0.487406
 109  -246329.642447   0.491298
 110  -246329.63349   0.500255
 111  -246329.631687   0.502058
 112  -246329.618345   0.515400
 113  -246329.615465   0.518280
 114  -246329.608303   0.525442
 115  -246329.606762   0.526983
 116  -246329.605992   0.527753
 117  -246329.60438   0.529365
 118  -246329.598689   0.535056
 119  -246329.586189   0.547556
 120  -246329.584546   0.549199
 121  -246329.580448   0.553297
 122  -246329.574664   0.559081
 123  -246329.572503   0.561242
 124  -246329.571534   0.562211
 125  -246329.564752   0.568993
 126  -246329.56197   0.571775
 127  -246329.558663   0.575082
 128  -246329.558004   0.575741
 129  -246329.556512   0.577233
 130  -246329.550026   0.583719
 131  -246329.549972   0.583773
 132  -246329.543214   0.590531
 133  -246329.536125   0.597620
 134  -246329.529562   0.604183
 135  -246329.527155   0.606590
 136  -246329.52189   0.611855
 137  -246329.519327   0.614418
 138  -246329.519117   0.614628
 139  -246329.517718   0.616027
 140  -246329.515791   0.617954
 141  -246329.510481   0.623264
 142  -246329.508377   0.625368
 143  -246329.507018   0.626727
 144  -246329.506094   0.627651
 145  -246329.505955   0.627790
 146  -246329.503406   0.630339
 147  -246329.50164   0.632105
 148  -246329.499858   0.633887
 149  -246329.493471   0.640274
 150  -246329.493264   0.640481
 151  -246329.491757   0.641988
 152  -246329.490878   0.642867
 153  -246329.484649   0.649096
 154  -246329.48457   0.649175
 155  -246329.484511   0.649234
 156  -246329.481783   0.651962
 157  -246329.481576   0.652169
 158  -246329.478906   0.654839
 159  -246329.477689   0.656056
 160  -246329.474911   0.658834
 161  -246329.471773   0.661972
 162  -246329.467645   0.666100
 163  -246329.462371   0.671374
 164  -246329.460636   0.673109
 165  -246329.458878   0.674867
 166  -246329.457758   0.675987
 167  -246329.454358   0.679387
 168  -246329.453191   0.680554
 169  -246329.451807   0.681938
 170  -246329.451621   0.682124
 171  -246329.451319   0.682426
 172  -246329.450709   0.683036
 173  -246329.450643   0.683102
 174  -246329.447086   0.686659
 175  -246329.442997   0.690748
 176  -246329.442497   0.691248
 177  -246329.438255   0.695490
 178  -246329.437247   0.696498
 179  -246329.436559   0.697186
 180  -246329.436024   0.697721
 181  -246329.432914   0.700831
 182  -246329.431856   0.701889
 183  -246329.42997   0.703775
 184  -246329.424915   0.708830
 185  -246329.424749   0.708996
 186  -246329.424158   0.709587
 187  -246329.423753   0.709992
 188  -246329.421157   0.712588
 189  -246329.418396   0.715349
 190  -246329.414825   0.718920
 191  -246329.411584   0.722161
 192  -246329.410829   0.722916
 193  -246329.409171   0.724574
 194  -246329.407776   0.725969
 195  -246329.406941   0.726804
 196  -246329.40469   0.729055
 197  -246329.403792   0.729953
 198  -246329.403236   0.730509
 199  -246329.401451   0.732294
 200  -246329.400432   0.733313
 201  -246329.398045   0.735700
 202  -246329.393903   0.739842
 203  -246329.391668   0.742077
 204  -246329.386555   0.747190
 205  -246329.385545   0.748200
 206  -246329.384976   0.748769
 207  -246329.384921   0.748824
 208  -246329.384734   0.749011
 209  -246329.380555   0.753190
 210  -246329.380017   0.753728
 211  -246329.37914   0.754605
 212  -246329.377755   0.755990
 213  -246329.376832   0.756913
 214  -246329.372644   0.761101
 215  -246329.370527   0.763218
 216  -246329.369569   0.764176
 217  -246329.367341   0.766404
 218  -246329.363275   0.770470
 219  -246329.359272   0.774473
 220  -246329.356902   0.776843
 221  -246329.352285   0.781460
 222  -246329.351226   0.782519
 223  -246329.35117   0.782575
 224  -246329.351025   0.782720
 225  -246329.349831   0.783914
 226  -246329.347788   0.785957
 227  -246329.346352   0.787393
 228  -246329.345281   0.788464
 229  -246329.342064   0.791681
 230  -246329.338937   0.794808
 231  -246329.337705   0.796040
 232  -246329.335013   0.798732
 233  -246329.332907   0.800838
 234  -246329.33242   0.801325
 235  -246329.330126   0.803619
 236  -246329.327335   0.806410
 237  -246329.3256   0.808145
 238  -246329.325229   0.808516
 239  -246329.325197   0.808548
 240  -246329.316797   0.816948
 241  -246329.316432   0.817313
 242  -246329.312888   0.820857
 243  -246329.308383   0.825362
 244  -246329.306686   0.827059
 245  -246329.30013   0.833615
 246  -246329.299422   0.834323
 247  -246329.298243   0.835502
 248  -246329.288492   0.845253
 249  -246329.288311   0.845434
 250  -246329.28545   0.848295
 251  -246329.278359   0.855386
 252  -246329.273459   0.860286
 253  -246329.266859   0.866886
 254  -246329.264794   0.868951
 255  -246329.261177   0.872568
 256  -246329.257274   0.876471
 257  -246329.255634   0.878111
 258  -246329.254492   0.879253
 259  -246329.249966   0.883779
 260  -246329.249489   0.884256
 261  -246329.248466   0.885279
 262  -246329.246667   0.887078
 263  -246329.245921   0.887824
 264  -246329.242429   0.891316
 265  -246329.241341   0.892404
 266  -246329.238089   0.895656
 267  -246329.235522   0.898223
 268  -246329.233318   0.900427
 269  -246329.229764   0.903981
 270  -246329.228838   0.904907
 271  -246329.221387   0.912358
 272  -246329.21984   0.913905
 273  -246329.218072   0.915673
 274  -246329.216358   0.917387
 275  -246329.21488   0.918865
 276  -246329.213989   0.919756
 277  -246329.212248   0.921497
 278  -246329.209504   0.924241
 279  -246329.208583   0.925162
 280  -246329.20224   0.931505
 281  -246329.199777   0.933968
 282  -246329.198881   0.934864
 283  -246329.197192   0.936553
 284  -246329.196567   0.937178
 285  -246329.195749   0.937996
 286  -246329.195415   0.938330
 287  -246329.195339   0.938406
 288  -246329.193797   0.939948
 289  -246329.193665   0.940080
 290  -246329.184853   0.948892
 291  -246329.183646   0.950099
 292  -246329.183449   0.950296
 293  -246329.178735   0.955010
 294  -246329.178187   0.955558
 295  -246329.177212   0.956533
 296  -246329.175794   0.957951
 297  -246329.173278   0.960467
 298  -246329.172829   0.960916
 299  -246329.17266   0.961085
 300  -246329.172618   0.961127
 301  -246329.170036   0.963709
 302  -246329.165318   0.968427
 303  -246329.164971   0.968774
 304  -246329.161823   0.971922
 305  -246329.160011   0.973734
 306  -246329.155786   0.977959
 307  -246329.155553   0.978192
 308  -246329.152289   0.981456
 309  -246329.150115   0.983630
 310  -246329.149309   0.984436
 311  -246329.148504   0.985241
 312  -246329.144501   0.989244
 313  -246329.143305   0.990440
 314  -246329.142781   0.990964
 315  -246329.139444   0.994301
 316  -246329.138189   0.995556
 317  -246329.137676   0.996069
 318  -246329.13541   0.998335
 319  -246329.133702   1.000043
 320  -246329.131927   1.001818
 321  -246329.125781   1.007964
 322  -246329.121141   1.012604
 323  -246329.120916   1.012829
 324  -246329.120055   1.013690
 325  -246329.120006   1.013739
 326  -246329.118322   1.015423
 327  -246329.114303   1.019442
 328  -246329.111823   1.021922
 329  -246329.110921   1.022824
 330  -246329.110149   1.023596
 331  -246329.109558   1.024187
 332  -246329.108877   1.024868
 333  -246329.105338   1.028407
 334  -246329.104877   1.028868
 335  -246329.101078   1.032667
 336  -246329.100819   1.032926
 337  -246329.100576   1.033169
 338  -246329.100343   1.033402
 339  -246329.098141   1.035604
 340  -246329.0967   1.037045
 341  -246329.095173   1.038572
 342  -246329.094678   1.039067
 343  -246329.094309   1.039436
 344  -246329.093728   1.040017
 345  -246329.093126   1.040619
 346  -246329.09272   1.041025
 347  -246329.092383   1.041362
 348  -246329.087906   1.045839
 349  -246329.087784   1.045961
 350  -246329.086892   1.046853
 351  -246329.083483   1.050262
 352  -246329.082228   1.051517
 353  -246329.080318   1.053427
 354  -246329.079068   1.054677
 355  -246329.077979   1.055766
 356  -246329.077817   1.055928
 357  -246329.077318   1.056427
 358  -246329.077054   1.056691
 359  -246329.072689   1.061056
 360  -246329.072404   1.061341
 361  -246329.068621   1.065124
 362  -246329.063944   1.069801
 363  -246329.063909   1.069836
 364  -246329.062743   1.071002
 365  -246329.059809   1.073936
 366  -246329.057781   1.075964
 367  -246329.05635   1.077395
 368  -246329.053586   1.080159
 369  -246329.05049   1.083255
 370  -246329.050303   1.083442
 371  -246329.048635   1.085110
 372  -246329.047994   1.085751
 373  -246329.047568   1.086177
 374  -246329.047099   1.086646
 375  -246329.046672   1.087073
 376  -246329.046463   1.087282
 377  -246329.045679   1.088066
 378  -246329.039822   1.093923
 379  -246329.039676   1.094069
 380  -246329.039442   1.094303
 381  -246329.038468   1.095277
 382  -246329.037865   1.095880
 383  -246329.030112   1.103633
 384  -246329.029508   1.104237
 385  -246329.02581   1.107935
 386  -246329.024313   1.109432
 387  -246329.023188   1.110557
 388  -246329.020584   1.113161
 389  -246329.017967   1.115778
 390  -246329.017825   1.115920
 391  -246329.015303   1.118442
 392  -246329.007999   1.125746
 393  -246329.006718   1.127027
 394  -246329.005596   1.128149
 395  -246328.999901   1.133844
 396  -246328.998856   1.134889
 397  -246328.997663   1.136082
 398  -246328.997603   1.136142
 399  -246328.992148   1.141597
 400  -246328.98884   1.144905
 401  -246328.987861   1.145884
 402  -246328.987301   1.146444
 403  -246328.986719   1.147026
 404  -246328.984289   1.149456
 405  -246328.983769   1.149976
 406  -246328.983614   1.150131
 407  -246328.981877   1.151868
 408  -246328.980677   1.153068
 409  -246328.98046   1.153285
 410  -246328.976503   1.157242
 411  -246328.975557   1.158188
 412  -246328.97376   1.159985
 413  -246328.971944   1.161801
 414  -246328.971932   1.161813
 415  -246328.971367   1.162378
 416  -246328.970987   1.162758
 417  -246328.970196   1.163549
 418  -246328.963657   1.170088
 419  -246328.963273   1.170472
 420  -246328.961308   1.172437
 421  -246328.955289   1.178456
 422  -246328.953897   1.179848
 423  -246328.953386   1.180359
 424  -246328.947786   1.185959
 425  -246328.946821   1.186924
 426  -246328.942694   1.191051
 427  -246328.941723   1.192022
 428  -246328.939299   1.194446
 429  -246328.936437   1.197308
 430  -246328.931863   1.201882
 431  -246328.929725   1.204020
 432  -246328.921944   1.211801
 433  -246328.920541   1.213204
 434  -246328.918538   1.215207
 435  -246328.917799   1.215946
 436  -246328.914934   1.218811
 437  -246328.910818   1.222927
 438  -246328.910452   1.223293
 439  -246328.909299   1.224446
 440  -246328.907581   1.226164
 441  -246328.907117   1.226628
 442  -246328.906476   1.227269
 443  -246328.905814   1.227931
 444  -246328.905309   1.228436
 445  -246328.905114   1.228631
 446  -246328.904501   1.229244
 447  -246328.904333   1.229412
 448  -246328.902067   1.231678
 449  -246328.898905   1.234840
 450  -246328.894255   1.239490
 451  -246328.892372   1.241373
 452  -246328.886582   1.247163
 453  -246328.886047   1.247698
 454  -246328.879204   1.254541
 455  -246328.875475   1.258270
 456  -246328.865858   1.267887
 457  -246328.862912   1.270833
 458  -246328.8569   1.276845
 459  -246328.844991   1.288754
 460  -246328.844642   1.289103
 461  -246328.842272   1.291473
 462  -246328.834437   1.299308
 463  -246328.829484   1.304261
 464  -246328.828993   1.304752
 465  -246328.827455   1.306290
 466  -246328.826643   1.307102
 467  -246328.82533   1.308415
 468  -246328.823948   1.309797
 469  -246328.823815   1.309930
 470  -246328.822788   1.310957
 471  -246328.822769   1.310976
 472  -246328.815185   1.318560
 473  -246328.813865   1.319880
 474  -246328.806636   1.327109
 475  -246328.804037   1.329708
 476  -246328.798192   1.335553
 477  -246328.79529   1.338455
 478  -246328.793089   1.340656
 479  -246328.791611   1.342134
 480  -246328.789877   1.343868
 481  -246328.787201   1.346544
 482  -246328.786803   1.346942
 483  -246328.785588   1.348157
 484  -246328.784931   1.348814
 485  -246328.777784   1.355961
 486  -246328.770743   1.363002
 487  -246328.768969   1.364776
 488  -246328.76825   1.365495
 489  -246328.768012   1.365733
 490  -246328.765003   1.368742
 491  -246328.763181   1.370564
 492  -246328.753626   1.380119
 493  -246328.742351   1.391394
 494  -246328.737912   1.395833
 495  -246328.734075   1.399670
 496  -246328.731861   1.401884
 497  -246328.729452   1.404293
 498  -246328.72871   1.405035
 499  -246328.724064   1.409681
 500  -246328.720332   1.413413
 501  -246328.715316   1.418429
 502  -246328.714471   1.419274
 503  -246328.714367   1.419378
 504  -246328.713824   1.419921
 505  -246328.707241   1.426504
 506  -246328.706067   1.427678
 507  -246328.705404   1.428341
 508  -246328.697203   1.436542
 509  -246328.692187   1.441558
 510  -246328.690258   1.443487
 511  -246328.686288   1.447457
 512  -246328.6856   1.448145
 513  -246328.672878   1.460867
 514  -246328.665302   1.468443
 515  -246328.664926   1.468819
 516  -246328.65852   1.475225
 517  -246328.658143   1.475602
 518  -246328.658132   1.475613
 519  -246328.657789   1.475956
 520  -246328.657665   1.476080
 521  -246328.656007   1.477738
 522  -246328.653562   1.480183
 523  -246328.650465   1.483280
 524  -246328.647855   1.485890
 525  -246328.647422   1.486323
 526  -246328.643724   1.490021
 527  -246328.64362   1.490125
 528  -246328.636269   1.497476
 529  -246328.634762   1.498983
 530  -246328.628169   1.505576
 531  -246328.6279   1.505845
 532  -246328.62717   1.506575
 533  -246328.625543   1.508202
 534  -246328.623604   1.510141
 535  -246328.622426   1.511319
 536  -246328.619776   1.513969
 537  -246328.619696   1.514049
 538  -246328.618951   1.514794
 539  -246328.617631   1.516114
 540  -246328.613767   1.519978
 541  -246328.613091   1.520654
