# Relative energy hierarchy for Ac-Arg-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -39737.6819994   0.000000
   2  -39737.6698497   0.012150
   3  -39737.6526525   0.029347
   4  -39737.6164591   0.065540
   5  -39737.6108267   0.071173
   6  -39737.6059755   0.076024
   7  -39737.585861   0.096138
   8  -39737.5812786   0.100721
   9  -39737.5804796   0.101520
  10  -39737.5726302   0.109369
  11  -39737.5671144   0.114885
  12  -39737.5662726   0.115727
  13  -39737.5592877   0.122712
  14  -39737.5527634   0.129236
  15  -39737.5474435   0.134556
  16  -39737.5401187   0.141881
  17  -39737.5351649   0.146835
  18  -39737.5290654   0.152934
  19  -39737.5109707   0.171029
  20  -39737.504665   0.177334
  21  -39737.502713   0.179286
  22  -39737.502106   0.179893
  23  -39737.4999092   0.182090
  24  -39737.4923316   0.189668
  25  -39737.4912254   0.190774
  26  -39737.4848721   0.197127
  27  -39737.4783775   0.203622
  28  -39737.4780537   0.203946
  29  -39737.4739563   0.208043
  30  -39737.4692942   0.212705
  31  -39737.4692497   0.212750
  32  -39737.4681379   0.213862
  33  -39737.4658656   0.216134
  34  -39737.4627855   0.219214
  35  -39737.4529033   0.229096
  36  -39737.4480994   0.233900
  37  -39737.445803   0.236196
  38  -39737.4393981   0.242601
  39  -39737.4387371   0.243262
  40  -39737.4386772   0.243322
  41  -39737.4331562   0.248843
  42  -39737.4302068   0.251793
  43  -39737.4261294   0.255870
  44  -39737.423732   0.258267
  45  -39737.4192572   0.262742
  46  -39737.4183405   0.263659
  47  -39737.4078125   0.274187
  48  -39737.407719   0.274280
  49  -39737.4028459   0.279154
  50  -39737.4002217   0.281778
  51  -39737.3969981   0.285001
  52  -39737.392974   0.289025
  53  -39737.3928333   0.289166
  54  -39737.3920071   0.289992
  55  -39737.3879027   0.294097
  56  -39737.3855358   0.296464
  57  -39737.3841035   0.297896
  58  -39737.3835201   0.298479
  59  -39737.368948   0.313051
  60  -39737.3664144   0.315585
  61  -39737.3648512   0.317148
  62  -39737.3625848   0.319415
  63  -39737.3613263   0.320673
  64  -39737.3598453   0.322154
  65  -39737.3591037   0.322896
  66  -39737.3588453   0.323154
  67  -39737.3549864   0.327013
  68  -39737.3545848   0.327415
  69  -39737.3519098   0.330090
  70  -39737.3510718   0.330928
  71  -39737.3475823   0.334417
  72  -39737.3394682   0.342531
  73  -39737.3315404   0.350459
  74  -39737.3295886   0.352411
  75  -39737.3295767   0.352423
  76  -39737.3257975   0.356202
  77  -39737.316195   0.365804
  78  -39737.3126033   0.369396
  79  -39737.3101218   0.371878
  80  -39737.3090599   0.372940
  81  -39737.3054424   0.376557
  82  -39737.3040951   0.377904
  83  -39737.3040941   0.377905
  84  -39737.3029052   0.379094
  85  -39737.2931713   0.388828
  86  -39737.2885748   0.393425
  87  -39737.2872131   0.394786
  88  -39737.2839576   0.398042
  89  -39737.2799327   0.402067
  90  -39737.275751   0.406248
  91  -39737.2739404   0.408059
  92  -39737.2721118   0.409888
  93  -39737.2633415   0.418658
  94  -39737.2608818   0.421118
  95  -39737.2587767   0.423223
  96  -39737.2558776   0.426122
  97  -39737.2472848   0.434715
  98  -39737.2364136   0.445586
  99  -39737.2338662   0.448133
 100  -39737.229993   0.452006
 101  -39737.2233145   0.458685
 102  -39737.2087886   0.473211
 103  -39737.2005543   0.481445
 104  -39737.2002619   0.481738
 105  -39737.1935615   0.488438
 106  -39737.1925594   0.489440
 107  -39737.1890912   0.492908
 108  -39737.188871   0.493128
 109  -39737.1846199   0.497380
 110  -39737.1806969   0.501303
 111  -39737.1547847   0.527215
 112  -39737.1541357   0.527864
 113  -39737.1447471   0.537252
 114  -39737.1348973   0.547102
 115  -39737.1336242   0.548375
 116  -39737.1060859   0.575914
 117  -39737.0819239   0.600076
 118  -39737.0784063   0.603593
 119  -39737.0650032   0.616996
 120  -39737.0622054   0.619794
 121  -39737.0536273   0.628372
 122  -39737.0495944   0.632405
 123  -39737.0436397   0.638360
 124  -39737.0391219   0.642878
 125  -39737.0334902   0.648509
 126  -39737.0158823   0.666117
 127  -39737.0108833   0.671116
 128  -39737.005945   0.676054
 129  -39737.004775   0.677224
 130  -39737.0022688   0.679731
 131  -39736.997669   0.684330
 132  -39736.9932506   0.688749
 133  -39736.9924604   0.689539
 134  -39736.9855804   0.696419
 135  -39736.981546   0.700453
 136  -39736.9733062   0.708693
 137  -39736.9643459   0.717654
 138  -39736.9529449   0.729055
 139  -39736.9513337   0.730666
 140  -39736.9494514   0.732548
 141  -39736.9467482   0.735251
 142  -39736.9432307   0.738769
 143  -39736.9310369   0.750963
 144  -39736.929628   0.752371
 145  -39736.928833   0.753166
 146  -39736.9156339   0.766366
 147  -39736.8961921   0.785807
 148  -39736.895665   0.786334
 149  -39736.8934156   0.788584
 150  -39736.8929455   0.789054
 151  -39736.8904727   0.791527
 152  -39736.8842888   0.797711
 153  -39736.8745809   0.807419
 154  -39736.8666854   0.815314
 155  -39736.8638835   0.818116
 156  -39736.8625731   0.819426
 157  -39736.860326   0.821673
 158  -39736.8600063   0.821993
 159  -39736.8560583   0.825941
 160  -39736.8553668   0.826633
 161  -39736.8471586   0.834841
 162  -39736.8353233   0.846676
 163  -39736.8343266   0.847673
 164  -39736.8331769   0.848823
 165  -39736.828956   0.853043
 166  -39736.8206987   0.861301
 167  -39736.8201712   0.861828
 168  -39736.8197899   0.862210
 169  -39736.8150972   0.866902
 170  -39736.8142708   0.867729
 171  -39736.8140034   0.867996
 172  -39736.8137876   0.868212
 173  -39736.8132294   0.868770
 174  -39736.8120408   0.869959
 175  -39736.8116736   0.870326
 176  -39736.8010881   0.880911
 177  -39736.7981438   0.883856
 178  -39736.7967853   0.885214
 179  -39736.7951567   0.886843
 180  -39736.7919083   0.890091
 181  -39736.7904837   0.891516
 182  -39736.7887025   0.893297
 183  -39736.785932   0.896067
 184  -39736.7780304   0.903969
 185  -39736.7753388   0.906661
 186  -39736.7734614   0.908538
 187  -39736.7700487   0.911951
 188  -39736.7524201   0.929579
 189  -39736.7500802   0.931919
 190  -39736.7470298   0.934970
 191  -39736.7456526   0.936347
 192  -39736.7434478   0.938552
 193  -39736.7434198   0.938580
 194  -39736.7401185   0.941881
 195  -39736.739426   0.942573
 196  -39736.7367613   0.945238
 197  -39736.7349914   0.947008
 198  -39736.7333631   0.948636
 199  -39736.7284672   0.953532
 200  -39736.725962   0.956037
 201  -39736.7254345   0.956565
 202  -39736.721647   0.960352
 203  -39736.7164303   0.965569
 204  -39736.7146009   0.967399
 205  -39736.7139689   0.968031
 206  -39736.7133303   0.968669
 207  -39736.7116514   0.970348
 208  -39736.7112031   0.970796
 209  -39736.7095565   0.972443
 210  -39736.7074814   0.974518
 211  -39736.7059285   0.976071
 212  -39736.7030089   0.978990
 213  -39736.7016091   0.980390
 214  -39736.701141   0.980858
 215  -39736.6987562   0.983243
 216  -39736.6937662   0.988233
 217  -39736.6922312   0.989768
 218  -39736.6903433   0.991656
 219  -39736.689552   0.992447
 220  -39736.6885574   0.993442
 221  -39736.6844902   0.997509
 222  -39736.6806269   1.001373
 223  -39736.6758923   1.006107
 224  -39736.6742923   1.007707
 225  -39736.673389   1.008610
 226  -39736.6728867   1.009113
 227  -39736.6717762   1.010223
 228  -39736.6691205   1.012879
 229  -39736.6689029   1.013097
 230  -39736.667994   1.014005
 231  -39736.6662382   1.015761
 232  -39736.6603114   1.021688
 233  -39736.6569609   1.025039
 234  -39736.656699   1.025300
 235  -39736.6532201   1.028779
 236  -39736.6477725   1.034227
 237  -39736.6448922   1.037107
 238  -39736.6438822   1.038117
 239  -39736.6427051   1.039294
 240  -39736.6386877   1.043312
 241  -39736.637784   1.044215
 242  -39736.6348386   1.047161
 243  -39736.6341365   1.047863
 244  -39736.6312401   1.050759
 245  -39736.6279433   1.054056
 246  -39736.6270472   1.054952
 247  -39736.6265378   1.055462
 248  -39736.6210484   1.060951
 249  -39736.619725   1.062274
 250  -39736.6181217   1.063878
 251  -39736.613973   1.068026
 252  -39736.6129834   1.069016
 253  -39736.6127013   1.069298
 254  -39736.6121478   1.069852
 255  -39736.6108115   1.071188
 256  -39736.6092078   1.072792
 257  -39736.6060921   1.075907
 258  -39736.5961927   1.085807
 259  -39736.5945149   1.087484
 260  -39736.5929271   1.089072
 261  -39736.5919172   1.090082
 262  -39736.5916007   1.090399
 263  -39736.5916   1.090399
 264  -39736.5871681   1.094831
 265  -39736.5858974   1.096102
 266  -39736.5857168   1.096283
 267  -39736.5820856   1.099914
 268  -39736.5766673   1.105332
 269  -39736.5713218   1.110678
 270  -39736.5688034   1.113196
 271  -39736.5632945   1.118705
 272  -39736.5597767   1.122223
 273  -39736.5535374   1.128462
 274  -39736.5533521   1.128647
 275  -39736.5499461   1.132053
 276  -39736.5481651   1.133834
 277  -39736.5464254   1.135574
 278  -39736.5457022   1.136297
 279  -39736.5437578   1.138242
 280  -39736.5429895   1.139010
 281  -39736.5309355   1.151064
 282  -39736.5302931   1.151706
 283  -39736.5294503   1.152549
 284  -39736.5292018   1.152798
 285  -39736.5287673   1.153232
 286  -39736.5245219   1.157478
 287  -39736.521154   1.160845
 288  -39736.5121417   1.169858
 289  -39736.5120354   1.169964
 290  -39736.5086323   1.173367
