# Relative energy hierarchy for Ac-Arg-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -611335.90979   0.000000
   2  -611335.859011   0.050779
   3  -611335.834992   0.074798
   4  -611335.829439   0.080351
   5  -611335.820855   0.088935
   6  -611335.791819   0.117971
   7  -611335.780762   0.129028
   8  -611335.777109   0.132681
   9  -611335.767381   0.142409
  10  -611335.758211   0.151579
  11  -611335.757211   0.152579
  12  -611335.752807   0.156983
  13  -611335.746803   0.162987
  14  -611335.744512   0.165278
  15  -611335.739164   0.170626
  16  -611335.727652   0.182138
  17  -611335.725717   0.184073
  18  -611335.724417   0.185373
  19  -611335.720996   0.188794
  20  -611335.720849   0.188941
  21  -611335.720105   0.189685
  22  -611335.715948   0.193842
  23  -611335.715406   0.194384
  24  -611335.702371   0.207419
  25  -611335.693664   0.216126
  26  -611335.688032   0.221758
  27  -611335.681355   0.228435
  28  -611335.668207   0.241583
  29  -611335.667905   0.241885
  30  -611335.66059   0.249200
  31  -611335.658692   0.251098
  32  -611335.655356   0.254434
  33  -611335.645255   0.264535
  34  -611335.645097   0.264693
  35  -611335.639957   0.269833
  36  -611335.637209   0.272581
  37  -611335.636716   0.273074
  38  -611335.634043   0.275747
  39  -611335.633211   0.276579
  40  -611335.627424   0.282366
  41  -611335.627134   0.282656
  42  -611335.624936   0.284854
  43  -611335.623446   0.286344
  44  -611335.622965   0.286825
  45  -611335.62165   0.288140
  46  -611335.621344   0.288446
  47  -611335.619948   0.289842
  48  -611335.617963   0.291827
  49  -611335.615921   0.293869
  50  -611335.615303   0.294487
  51  -611335.613129   0.296661
  52  -611335.60853   0.301260
  53  -611335.600881   0.308909
  54  -611335.599228   0.310562
  55  -611335.598648   0.311142
  56  -611335.59765   0.312140
  57  -611335.594836   0.314954
  58  -611335.591278   0.318512
  59  -611335.585349   0.324441
  60  -611335.578676   0.331114
  61  -611335.576877   0.332913
  62  -611335.575188   0.334602
  63  -611335.571447   0.338343
  64  -611335.570259   0.339531
  65  -611335.568417   0.341373
  66  -611335.557843   0.351947
  67  -611335.556727   0.353063
  68  -611335.540557   0.369233
  69  -611335.527598   0.382192
  70  -611335.524349   0.385441
  71  -611335.51991   0.389880
  72  -611335.515936   0.393854
  73  -611335.515581   0.394209
  74  -611335.513969   0.395821
  75  -611335.513395   0.396395
  76  -611335.506289   0.403501
  77  -611335.504765   0.405025
  78  -611335.499481   0.410309
  79  -611335.499173   0.410617
  80  -611335.49885   0.410940
  81  -611335.49438   0.415410
  82  -611335.493971   0.415819
  83  -611335.492112   0.417678
  84  -611335.490626   0.419164
  85  -611335.483609   0.426181
  86  -611335.480885   0.428905
  87  -611335.480694   0.429096
  88  -611335.478557   0.431233
  89  -611335.475296   0.434494
  90  -611335.472861   0.436929
  91  -611335.463006   0.446784
  92  -611335.458841   0.450949
  93  -611335.456425   0.453365
  94  -611335.451083   0.458707
  95  -611335.440191   0.469599
  96  -611335.436714   0.473076
  97  -611335.436075   0.473715
  98  -611335.43178   0.478010
  99  -611335.430538   0.479252
 100  -611335.42616   0.483630
 101  -611335.418069   0.491721
 102  -611335.41028   0.499510
 103  -611335.409753   0.500037
 104  -611335.407286   0.502504
 105  -611335.406523   0.503267
 106  -611335.397028   0.512762
 107  -611335.396561   0.513229
 108  -611335.395059   0.514731
 109  -611335.394647   0.515143
 110  -611335.379053   0.530737
 111  -611335.373449   0.536341
 112  -611335.366374   0.543416
 113  -611335.364702   0.545088
 114  -611335.364554   0.545236
 115  -611335.363889   0.545901
 116  -611335.358277   0.551513
 117  -611335.356305   0.553485
 118  -611335.34941   0.560380
 119  -611335.349035   0.560755
 120  -611335.34385   0.565940
 121  -611335.34246   0.567330
 122  -611335.341363   0.568427
 123  -611335.340887   0.568903
 124  -611335.33673   0.573060
 125  -611335.333844   0.575946
 126  -611335.331595   0.578195
 127  -611335.329433   0.580357
 128  -611335.323818   0.585972
 129  -611335.32062   0.589170
 130  -611335.31736   0.592430
 131  -611335.316049   0.593741
 132  -611335.311093   0.598697
 133  -611335.308785   0.601005
 134  -611335.304209   0.605581
 135  -611335.302934   0.606856
 136  -611335.301938   0.607852
 137  -611335.299909   0.609881
 138  -611335.297708   0.612082
 139  -611335.294545   0.615245
 140  -611335.286125   0.623665
 141  -611335.282471   0.627319
 142  -611335.276036   0.633754
 143  -611335.274229   0.635561
 144  -611335.267471   0.642319
 145  -611335.267423   0.642367
 146  -611335.26658   0.643210
 147  -611335.263317   0.646473
 148  -611335.262207   0.647583
 149  -611335.260442   0.649348
 150  -611335.258607   0.651183
 151  -611335.251159   0.658631
 152  -611335.250845   0.658945
 153  -611335.248404   0.661386
 154  -611335.2454   0.664390
 155  -611335.244348   0.665442
 156  -611335.243889   0.665901
 157  -611335.240557   0.669233
 158  -611335.238793   0.670997
 159  -611335.237975   0.671815
 160  -611335.233844   0.675946
 161  -611335.233082   0.676708
 162  -611335.225163   0.684627
 163  -611335.217827   0.691963
 164  -611335.2147   0.695090
 165  -611335.214642   0.695148
 166  -611335.213397   0.696393
 167  -611335.213276   0.696514
 168  -611335.211963   0.697827
 169  -611335.210183   0.699607
 170  -611335.205921   0.703869
 171  -611335.204815   0.704975
 172  -611335.204615   0.705175
 173  -611335.201767   0.708023
 174  -611335.199346   0.710444
 175  -611335.198888   0.710902
 176  -611335.194345   0.715445
 177  -611335.187277   0.722513
 178  -611335.181933   0.727857
 179  -611335.180888   0.728902
 180  -611335.179906   0.729884
 181  -611335.179546   0.730244
 182  -611335.175813   0.733977
 183  -611335.171371   0.738419
 184  -611335.170275   0.739515
 185  -611335.156615   0.753175
 186  -611335.15376   0.756030
 187  -611335.15286   0.756930
 188  -611335.15212   0.757670
 189  -611335.151968   0.757822
 190  -611335.151791   0.757999
