# Relative energy hierarchy for Ac-Arg-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -21191.0503062   0.000000
   2  -21191.0170829   0.033223
   3  -21191.0142446   0.036062
   4  -21190.9966931   0.053613
   5  -21190.9949335   0.055373
   6  -21190.9936119   0.056694
   7  -21190.9857436   0.064563
   8  -21190.969258   0.081048
   9  -21190.9684293   0.081877
  10  -21190.9660083   0.084298
  11  -21190.9593351   0.090971
  12  -21190.9178766   0.132430
  13  -21190.9177818   0.132524
  14  -21190.9088814   0.141425
  15  -21190.9054538   0.144852
  16  -21190.904384   0.145922
  17  -21190.8994085   0.150898
  18  -21190.8986361   0.151670
  19  -21190.89649   0.153816
  20  -21190.893747   0.156559
  21  -21190.889863   0.160443
  22  -21190.8836346   0.166672
  23  -21190.8759012   0.174405
  24  -21190.8717438   0.178562
  25  -21190.8696308   0.180675
  26  -21190.8668088   0.183497
  27  -21190.8652536   0.185053
  28  -21190.8649992   0.185307
  29  -21190.8624396   0.187867
  30  -21190.8587725   0.191534
  31  -21190.8565939   0.193712
  32  -21190.8558124   0.194494
  33  -21190.8422203   0.208086
  34  -21190.8372764   0.213030
  35  -21190.8326291   0.217677
  36  -21190.8302397   0.220066
  37  -21190.8273888   0.222917
  38  -21190.8235809   0.226725
  39  -21190.8138478   0.236458
  40  -21190.813322   0.236984
  41  -21190.8124222   0.237884
  42  -21190.8113599   0.238946
  43  -21190.8107663   0.239540
  44  -21190.8095511   0.240755
  45  -21190.8073989   0.242907
  46  -21190.805037   0.245269
  47  -21190.8010525   0.249254
  48  -21190.7994901   0.250816
  49  -21190.7973051   0.253001
  50  -21190.796831   0.253475
  51  -21190.7965037   0.253802
  52  -21190.7955026   0.254804
  53  -21190.7911352   0.259171
  54  -21190.7890623   0.261244
  55  -21190.7848176   0.265489
  56  -21190.7844271   0.265879
  57  -21190.7839896   0.266317
  58  -21190.7794678   0.270838
  59  -21190.7770702   0.273236
  60  -21190.7745325   0.275774
  61  -21190.7720857   0.278221
  62  -21190.7664984   0.283808
  63  -21190.7653051   0.285001
  64  -21190.7644598   0.285846
  65  -21190.7618723   0.288434
  66  -21190.7614081   0.288898
  67  -21190.7530215   0.297285
  68  -21190.7528788   0.297427
  69  -21190.751407   0.298899
  70  -21190.7492185   0.301088
  71  -21190.747625   0.302681
  72  -21190.7451453   0.305161
  73  -21190.7440713   0.306235
  74  -21190.742768   0.307538
  75  -21190.7413404   0.308966
  76  -21190.7408832   0.309423
  77  -21190.7407781   0.309528
  78  -21190.7406524   0.309654
  79  -21190.7397778   0.310528
  80  -21190.7396055   0.310701
  81  -21190.7386527   0.311653
  82  -21190.7365978   0.313708
  83  -21190.7361716   0.314135
  84  -21190.7356752   0.314631
  85  -21190.7356049   0.314701
  86  -21190.7328174   0.317489
  87  -21190.7324243   0.317882
  88  -21190.7323267   0.317979
  89  -21190.731155   0.319151
  90  -21190.7296004   0.320706
  91  -21190.7244527   0.325853
  92  -21190.7226938   0.327612
  93  -21190.7219586   0.328348
  94  -21190.7217514   0.328555
  95  -21190.7199672   0.330339
  96  -21190.7195892   0.330717
  97  -21190.7188445   0.331462
  98  -21190.7176504   0.332656
  99  -21190.7167946   0.333512
 100  -21190.7163365   0.333970
 101  -21190.7159747   0.334331
 102  -21190.7152421   0.335064
 103  -21190.7148876   0.335419
 104  -21190.7146113   0.335695
 105  -21190.7131536   0.337153
 106  -21190.7114529   0.338853
 107  -21190.711024   0.339282
 108  -21190.7104158   0.339890
 109  -21190.7100405   0.340266
 110  -21190.7096142   0.340692
 111  -21190.7094023   0.340904
 112  -21190.7090771   0.341229
 113  -21190.7079532   0.342353
 114  -21190.7078681   0.342438
 115  -21190.7068848   0.343421
 116  -21190.7062549   0.344051
 117  -21190.7061284   0.344178
 118  -21190.7047701   0.345536
 119  -21190.7031992   0.347107
 120  -21190.7022789   0.348027
 121  -21190.7017539   0.348552
 122  -21190.6994137   0.350892
 123  -21190.6984771   0.351829
 124  -21190.6979907   0.352316
 125  -21190.6972038   0.353102
 126  -21190.6947861   0.355520
 127  -21190.6942509   0.356055
 128  -21190.6925883   0.357718
 129  -21190.6902495   0.360057
 130  -21190.69014   0.360166
 131  -21190.6895961   0.360710
 132  -21190.6891945   0.361112
 133  -21190.688081   0.362225
 134  -21190.6869718   0.363334
 135  -21190.6862899   0.364016
 136  -21190.6861306   0.364176
 137  -21190.6857551   0.364551
 138  -21190.6854857   0.364820
 139  -21190.6849423   0.365364
 140  -21190.6847053   0.365601
 141  -21190.6824645   0.367842
 142  -21190.6819303   0.368376
 143  -21190.6816422   0.368664
 144  -21190.6794486   0.370858
 145  -21190.6786156   0.371691
 146  -21190.6775305   0.372776
 147  -21190.6771449   0.373161
 148  -21190.6770851   0.373221
 149  -21190.6762196   0.374087
 150  -21190.6757716   0.374535
 151  -21190.675113   0.375193
 152  -21190.6747197   0.375586
 153  -21190.6743914   0.375915
 154  -21190.6741783   0.376128
 155  -21190.673849   0.376457
 156  -21190.6738368   0.376469
 157  -21190.6721941   0.378112
 158  -21190.6716887   0.378617
 159  -21190.6715686   0.378738
 160  -21190.6712873   0.379019
 161  -21190.6706153   0.379691
 162  -21190.669357   0.380949
 163  -21190.6687086   0.381598
 164  -21190.668631   0.381675
 165  -21190.6683168   0.381989
 166  -21190.6682516   0.382055
 167  -21190.6681459   0.382160
 168  -21190.6681014   0.382205
 169  -21190.6680233   0.382283
 170  -21190.6670669   0.383239
 171  -21190.6659981   0.384308
 172  -21190.6656207   0.384685
 173  -21190.6645111   0.385795
 174  -21190.6642304   0.386076
 175  -21190.6632046   0.387102
 176  -21190.6621152   0.388191
 177  -21190.6620718   0.388234
 178  -21190.6620438   0.388262
 179  -21190.6612223   0.389084
 180  -21190.6601292   0.390177
 181  -21190.6596467   0.390659
 182  -21190.6590316   0.391275
 183  -21190.6588193   0.391487
 184  -21190.6575376   0.392769
 185  -21190.6574107   0.392895
 186  -21190.6572911   0.393015
 187  -21190.657016   0.393290
 188  -21190.6554276   0.394879
 189  -21190.6553522   0.394954
 190  -21190.6548359   0.395470
 191  -21190.6542498   0.396056
 192  -21190.6540278   0.396278
 193  -21190.6537652   0.396541
 194  -21190.6535792   0.396727
 195  -21190.6535783   0.396728
 196  -21190.6534672   0.396839
 197  -21190.6529846   0.397322
 198  -21190.652802   0.397504
 199  -21190.6525653   0.397741
 200  -21190.6525651   0.397741
 201  -21190.6522809   0.398025
 202  -21190.6518592   0.398447
 203  -21190.651374   0.398932
 204  -21190.6513503   0.398956
 205  -21190.650492   0.399814
 206  -21190.6500224   0.400284
 207  -21190.6497088   0.400597
 208  -21190.6494799   0.400826
 209  -21190.6493746   0.400932
 210  -21190.6491465   0.401160
 211  -21190.6491464   0.401160
 212  -21190.6491371   0.401169
 213  -21190.6489589   0.401347
 214  -21190.6485551   0.401751
 215  -21190.6481722   0.402134
 216  -21190.647432   0.402874
 217  -21190.6473188   0.402987
 218  -21190.6469491   0.403357
 219  -21190.6461009   0.404205
 220  -21190.6460357   0.404270
 221  -21190.6456343   0.404672
 222  -21190.6448719   0.405434
 223  -21190.6443426   0.405964
 224  -21190.6443074   0.405999
 225  -21190.6431859   0.407120
 226  -21190.6418031   0.408503
 227  -21190.6415947   0.408712
