# Relative energy hierarchy for Arg conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -35053.8220972   0.000000
   2  -35053.8020444   0.020053
   3  -35053.7989806   0.023117
   4  -35053.7940157   0.028082
   5  -35053.793277   0.028820
   6  -35053.7779024   0.044195
   7  -35053.768256   0.053841
   8  -35053.7580615   0.064036
   9  -35053.7474026   0.074695
  10  -35053.7097036   0.112394
  11  -35053.7034318   0.118665
  12  -35053.6803271   0.141770
  13  -35053.6711002   0.150997
  14  -35053.661   0.161097
  15  -35053.660601   0.161496
  16  -35053.6603479   0.161749
  17  -35053.6503137   0.171783
  18  -35053.6360614   0.186036
  19  -35053.6346346   0.187463
  20  -35053.6309225   0.191175
  21  -35053.6208416   0.201256
  22  -35053.6190908   0.203006
  23  -35053.6130802   0.209017
  24  -35053.6122313   0.209866
  25  -35053.6089575   0.213140
  26  -35053.6031875   0.218910
  27  -35053.5984789   0.223618
  28  -35053.5882567   0.233840
  29  -35053.5881002   0.233997
  30  -35053.5840081   0.238089
  31  -35053.5835063   0.238591
  32  -35053.5749373   0.247160
  33  -35053.5732928   0.248804
  34  -35053.5648916   0.257206
  35  -35053.558508   0.263589
  36  -35053.5582397   0.263857
  37  -35053.5564967   0.265600
  38  -35053.5538515   0.268246
  39  -35053.5512138   0.270883
  40  -35053.5465301   0.275567
  41  -35053.5460718   0.276025
  42  -35053.5369713   0.285126
  43  -35053.52989   0.292207
  44  -35053.5292303   0.292867
  45  -35053.5113774   0.310720
  46  -35053.5021295   0.319968
  47  -35053.501069   0.321028
  48  -35053.5008986   0.321199
  49  -35053.5002162   0.321881
  50  -35053.4989432   0.323154
  51  -35053.4958904   0.326207
  52  -35053.4954123   0.326685
  53  -35053.4951735   0.326924
  54  -35053.4943883   0.327709
  55  -35053.4879031   0.334194
  56  -35053.4854452   0.336652
  57  -35053.4803184   0.341779
  58  -35053.4781564   0.343941
  59  -35053.470521   0.351576
  60  -35053.4671547   0.354942
  61  -35053.4669622   0.355135
  62  -35053.4666514   0.355446
  63  -35053.4564848   0.365612
  64  -35053.4495256   0.372572
  65  -35053.4457915   0.376306
  66  -35053.4453038   0.376793
  67  -35053.4441846   0.377913
  68  -35053.4427112   0.379386
  69  -35053.4369248   0.385172
  70  -35053.4284669   0.393630
  71  -35053.4249418   0.397155
  72  -35053.4226059   0.399491
  73  -35053.42029   0.401807
  74  -35053.4191647   0.402933
  75  -35053.4144755   0.407622
  76  -35053.411329   0.410768
  77  -35053.4089063   0.413191
  78  -35053.4058795   0.416218
  79  -35053.3985596   0.423538
  80  -35053.3932024   0.428895
  81  -35053.3916454   0.430452
  82  -35053.3907789   0.431318
  83  -35053.3787204   0.443377
  84  -35053.3513001   0.470797
  85  -35053.3480993   0.473998
  86  -35053.3468715   0.475226
  87  -35053.345938   0.476159
  88  -35053.3334319   0.488665
  89  -35053.3276964   0.494401
  90  -35053.3247682   0.497329
  91  -35053.3230124   0.499085
  92  -35053.3225575   0.499540
  93  -35053.3198867   0.502210
  94  -35053.3189178   0.503179
  95  -35053.3177306   0.504367
  96  -35053.310349   0.511748
  97  -35053.3061502   0.515947
  98  -35053.3057345   0.516363
  99  -35053.3032497   0.518847
 100  -35053.296896   0.525201
 101  -35053.2926994   0.529398
 102  -35053.2889947   0.533102
 103  -35053.2841722   0.537925
 104  -35053.2841323   0.537965
 105  -35053.2642581   0.557839
 106  -35053.2624139   0.559683
 107  -35053.2600911   0.562006
 108  -35053.2596161   0.562481
 109  -35053.2585331   0.563564
 110  -35053.2448918   0.577205
 111  -35053.239267   0.582830
 112  -35053.2330866   0.589011
 113  -35053.2155181   0.606579
 114  -35053.20906   0.613037
 115  -35053.2084326   0.613665
 116  -35053.2082467   0.613850
 117  -35053.2071485   0.614949
 118  -35053.2037126   0.618385
 119  -35053.2033668   0.618730
 120  -35053.1998619   0.622235
 121  -35053.1980857   0.624011
 122  -35053.1875871   0.634510
 123  -35053.1864423   0.635655
 124  -35053.1862517   0.635846
 125  -35053.1811509   0.640946
 126  -35053.1769152   0.645182
 127  -35053.1596364   0.662461
 128  -35053.157768   0.664329
 129  -35053.1577465   0.664351
 130  -35053.1494225   0.672675
 131  -35053.1443939   0.677703
 132  -35053.1213406   0.700757
 133  -35053.1112787   0.710818
 134  -35053.1044069   0.717690
 135  -35053.09495   0.727147
 136  -35053.092718   0.729379
 137  -35053.0914716   0.730626
 138  -35053.0875586   0.734539
 139  -35053.0854049   0.736692
 140  -35053.0798103   0.742287
 141  -35053.0746772   0.747420
 142  -35053.0609416   0.761156
 143  -35053.0255095   0.796588
 144  -35053.0239108   0.798186
 145  -35053.011882   0.810215
 146  -35053.0109248   0.811172
 147  -35052.9841273   0.837970
 148  -35052.9751917   0.846905
 149  -35052.9584858   0.863611
 150  -35052.954647   0.867450
 151  -35052.9109998   0.911097
 152  -35052.9063902   0.915707
 153  -35052.9025763   0.919521
 154  -35052.90026   0.921837
 155  -35052.8740066   0.948091
 156  -35052.8618101   0.960287
 157  -35052.861272   0.960825
 158  -35052.8579771   0.964120
 159  -35052.8564033   0.965694
 160  -35052.8534803   0.968617
 161  -35052.8519487   0.970148
 162  -35052.8488775   0.973220
 163  -35052.8447473   0.977350
 164  -35052.8401021   0.981995
 165  -35052.8226103   0.999487
 166  -35052.8073331   1.014764
 167  -35052.7969329   1.025164
 168  -35052.7927291   1.029368
 169  -35052.7912356   1.030862
 170  -35052.78761   1.034487
 171  -35052.7808298   1.041267
 172  -35052.7580437   1.064053
 173  -35052.7490019   1.073095
 174  -35052.7467064   1.075391
 175  -35052.7450769   1.077020
 176  -35052.7200575   1.102040
 177  -35052.7196569   1.102440
 178  -35052.7190611   1.103036
 179  -35052.7172428   1.104854
 180  -35052.7153928   1.106704
 181  -35052.7134907   1.108606
 182  -35052.7011787   1.120918
 183  -35052.6998847   1.122212
 184  -35052.6962207   1.125876
 185  -35052.6906061   1.131491
 186  -35052.6691222   1.152975
 187  -35052.646158   1.175939
 188  -35052.6335008   1.188596
 189  -35052.6260624   1.196035
 190  -35052.6111164   1.210981
 191  -35052.5968567   1.225240
 192  -35052.5900369   1.232060
 193  -35052.5877872   1.234310
 194  -35052.5828798   1.239217
 195  -35052.5782188   1.243878
 196  -35052.5633635   1.258734
 197  -35052.5614056   1.260692
 198  -35052.5562599   1.265837
 199  -35052.5547416   1.267356
 200  -35052.5544314   1.267666
 201  -35052.5535879   1.268509
 202  -35052.5517159   1.270381
 203  -35052.5497983   1.272299
 204  -35052.5480568   1.274040
 205  -35052.541944   1.280153
 206  -35052.5363652   1.285732
 207  -35052.535052   1.287045
 208  -35052.5340864   1.288011
 209  -35052.533459   1.288638
 210  -35052.5251551   1.296942
 211  -35052.5221533   1.299944
 212  -35052.4736894   1.348408
 213  -35052.4732932   1.348804
 214  -35052.4731016   1.348996
 215  -35052.4710194   1.351078
 216  -35052.4562886   1.365809
 217  -35052.4329123   1.389185
 218  -35052.4252468   1.396850
 219  -35052.4192026   1.402895
 220  -35052.3630206   1.459077
 221  -35052.3551048   1.466992
 222  -35052.3508486   1.471249
 223  -35052.3474064   1.474691
 224  -35052.3351231   1.486974
 225  -35052.3300506   1.492047
 226  -35052.3216865   1.500411
 227  -35052.306765   1.515332
 228  -35052.2969798   1.525117
 229  -35052.2822722   1.539825
 230  -35052.282235   1.539862
 231  -35052.2760141   1.546083
 232  -35052.2755943   1.546503
 233  -35052.2691717   1.552926
 234  -35052.2664776   1.555620
 235  -35052.2613051   1.560792
 236  -35052.2487079   1.573389
 237  -35052.244222   1.577875
 238  -35052.2361091   1.585988
 239  -35052.2332723   1.588825
 240  -35052.2247073   1.597390
 241  -35052.2141532   1.607944
 242  -35052.2082197   1.613877
 243  -35052.2025401   1.619557
 244  -35052.1956985   1.626399
 245  -35052.1949177   1.627179
 246  -35052.1914319   1.630665
 247  -35052.188841   1.633256
 248  -35052.1860639   1.636033
 249  -35052.180765   1.641332
 250  -35052.1786011   1.643496
 251  -35052.1753005   1.646797
 252  -35052.1681891   1.653908
 253  -35052.1513767   1.670720
 254  -35052.1464574   1.675640
 255  -35052.1439743   1.678123
 256  -35052.1438656   1.678232
 257  -35052.143508   1.678589
 258  -35052.1380512   1.684046
 259  -35052.1303365   1.691761
 260  -35052.1302642   1.691833
 261  -35052.1260609   1.696036
 262  -35052.1242315   1.697866
 263  -35052.1200578   1.702039
 264  -35052.1193588   1.702738
 265  -35052.1187111   1.703386
 266  -35052.1067552   1.715342
 267  -35052.1026929   1.719404
 268  -35052.1017881   1.720309
 269  -35052.1002766   1.721821
 270  -35052.1000089   1.722088
 271  -35052.088643   1.733454
 272  -35052.0780116   1.744086
 273  -35052.0745754   1.747522
 274  -35052.0679446   1.754153
 275  -35052.0602021   1.761895
 276  -35052.0492694   1.772828
 277  -35052.0436013   1.778496
 278  -35052.0351302   1.786967
 279  -35052.0351025   1.786995
 280  -35052.029536   1.792561
 281  -35052.0281667   1.793930
 282  -35052.0259176   1.796180
 283  -35052.020278   1.801819
 284  -35052.0195278   1.802569
 285  -35052.0113584   1.810739
 286  -35052.0100223   1.812075
 287  -35052.0067351   1.815362
 288  -35052.0013288   1.820768
 289  -35051.9976569   1.824440
 290  -35051.9846323   1.837465
 291  -35051.9710493   1.851048
 292  -35051.9686365   1.853461
 293  -35051.9546942   1.867403
 294  -35051.9534251   1.868672
 295  -35051.9483181   1.873779
 296  -35051.9376646   1.884433
 297  -35051.9306101   1.891487
 298  -35051.9288211   1.893276
 299  -35051.9282984   1.893799
 300  -35051.9240515   1.898046
 301  -35051.9219201   1.900177
 302  -35051.9145316   1.907566
 303  -35051.9119187   1.910178
 304  -35051.9047436   1.917354
 305  -35051.9003891   1.921708
 306  -35051.8994235   1.922674
 307  -35051.8928485   1.929249
 308  -35051.8859876   1.936110
 309  -35051.8840692   1.938028
 310  -35051.8840511   1.938046
 311  -35051.8804768   1.941620
 312  -35051.878612   1.943485
 313  -35051.8716142   1.950483
 314  -35051.8704508   1.951646
 315  -35051.8685315   1.953566
 316  -35051.8558055   1.966292
 317  -35051.8549907   1.967107
 318  -35051.8236854   1.998412
 319  -35051.8186508   2.003446
 320  -35051.8127191   2.009378
 321  -35051.8101708   2.011926
 322  -35051.8087359   2.013361
 323  -35051.8042098   2.017887
 324  -35051.8000358   2.022061
 325  -35051.7914781   2.030619
 326  -35051.7702917   2.051805
 327  -35051.761691   2.060406
 328  -35051.7598679   2.062229
 329  -35051.7497297   2.072367
 330  -35051.7494693   2.072628
 331  -35051.7387906   2.083307
 332  -35051.7377724   2.084325
 333  -35051.7371873   2.084910
 334  -35051.7232373   2.098860
 335  -35051.721508   2.100589
 336  -35051.7112984   2.110799
 337  -35051.706572   2.115525
 338  -35051.6997669   2.122330
 339  -35051.6821328   2.139964
 340  -35051.6819646   2.140133
 341  -35051.6714704   2.150627
 342  -35051.6607152   2.161382
 343  -35051.654598   2.167499
 344  -35051.6447161   2.177381
 345  -35051.6403688   2.181728
 346  -35051.6348038   2.187293
 347  -35051.6332227   2.188874
 348  -35051.6318388   2.190258
 349  -35051.6289403   2.193157
 350  -35051.6268918   2.195205
 351  -35051.6160403   2.206057
 352  -35051.6130389   2.209058
 353  -35051.6110881   2.211009
 354  -35051.6102301   2.211867
 355  -35051.6057765   2.216321
 356  -35051.6046281   2.217469
 357  -35051.6008622   2.221235
 358  -35051.5929416   2.229156
 359  -35051.5905785   2.231519
 360  -35051.5800507   2.242046
 361  -35051.5778148   2.244282
 362  -35051.5763192   2.245778
 363  -35051.5695096   2.252588
 364  -35051.5679845   2.254113
 365  -35051.5673796   2.254718
 366  -35051.5574865   2.264611
 367  -35051.5544019   2.267695
 368  -35051.5483591   2.273738
 369  -35051.5466428   2.275454
 370  -35051.5459094   2.276188
 371  -35051.5426356   2.279462
 372  -35051.541928   2.280169
 373  -35051.5397388   2.282358
 374  -35051.5302556   2.291842
 375  -35051.5253676   2.296730
 376  -35051.5190477   2.303049
 377  -35051.4885909   2.333506
 378  -35051.4865169   2.335580
 379  -35051.4860818   2.336015
 380  -35051.4857246   2.336373
 381  -35051.4811441   2.340953
 382  -35051.4790827   2.343014
 383  -35051.4781429   2.343954
 384  -35051.4715704   2.350527
 385  -35051.4505229   2.371574
 386  -35051.4470538   2.375043
 387  -35051.41787   2.404227
 388  -35051.4032825   2.418815
 389  -35051.4009848   2.421112
 390  -35051.3952433   2.426854
 391  -35051.3922283   2.429869
 392  -35051.3699177   2.452179
 393  -35051.3626431   2.459454
 394  -35051.360123   2.461974
 395  -35051.3584642   2.463633
 396  -35051.3477664   2.474331
 397  -35051.34709   2.475007
 398  -35051.3444512   2.477646
 399  -35051.3281521   2.493945
 400  -35051.3153079   2.506789
 401  -35051.3101719   2.511925
 402  -35051.3012185   2.520879
 403  -35051.2967271   2.525370
 404  -35051.2456704   2.576427
 405  -35051.2447634   2.577334
 406  -35051.2312973   2.590800
 407  -35051.2273761   2.594721
 408  -35051.212236   2.609861
 409  -35051.2078187   2.614278
 410  -35051.2047732   2.617324
 411  -35051.1982127   2.623884
 412  -35051.193062   2.629035
 413  -35051.1858416   2.636256
 414  -35051.1738306   2.648267
 415  -35051.1614518   2.660645
 416  -35051.1494727   2.672624
 417  -35051.1428066   2.679291
 418  -35051.1422001   2.679897
 419  -35051.1321337   2.689964
 420  -35051.1263467   2.695750
 421  -35051.124701   2.697396
 422  -35051.1114345   2.710663
 423  -35051.1097163   2.712381
 424  -35051.1014522   2.720645
 425  -35051.0915511   2.730546
 426  -35051.0886509   2.733446
 427  -35051.0854413   2.736656
 428  -35051.0854127   2.736684
 429  -35051.084287   2.737810
 430  -35051.0803923   2.741705
 431  -35051.0797325   2.742365
 432  -35051.0772398   2.744857
 433  -35051.0663718   2.755725
 434  -35051.0662814   2.755816
 435  -35051.0610603   2.761037
 436  -35051.0594755   2.762622
 437  -35051.0497416   2.772356
 438  -35051.0419222   2.780175
 439  -35051.0363194   2.785778
 440  -35051.0340678   2.788029
 441  -35051.033576   2.788521
 442  -35051.0326207   2.789476
 443  -35051.0261395   2.795958
 444  -35051.0247787   2.797319
 445  -35051.0194269   2.802670
 446  -35051.015946   2.806151
 447  -35051.0137674   2.808330
 448  -35051.0122188   2.809878
 449  -35051.0118807   2.810216
 450  -35050.9962367   2.825861
 451  -35050.9914411   2.830656
 452  -35050.9449919   2.877105
 453  -35050.9348213   2.887276
 454  -35050.80979   3.012307
 455  -35050.6997337   3.122363
 456  -35050.6890679   3.133029
 457  -35050.6801189   3.141978
 458  -35050.6351909   3.186906
 459  -35050.553486   3.268611
 460  -35050.5507198   3.271377
 461  -35050.5486841   3.273413
 462  -35050.5470598   3.275037
 463  -35050.5382084   3.283889
 464  -35050.5232209   3.298876
 465  -35050.4964174   3.325680
 466  -35050.4804054   3.341692
 467  -35049.9588138   3.863283
 468  -35049.8989618   3.923135
 469  -35049.8972379   3.924859
 470  -35049.8827166   3.939381
 471  -35049.8741415   3.947956
 472  -35049.8656446   3.956453
 473  -35049.8503759   3.971721
 474  -35049.8392497   3.982847
 475  -35049.8389436   3.983154
 476  -35049.8352604   3.986837
 477  -35049.8124465   4.009651
 478  -35049.7956192   4.026478
 479  -35049.7740306   4.048067
 480  -35049.7737682   4.048329
 481  -35049.7709369   4.051160
 482  -35049.7707616   4.051336
 483  -35049.7331607   4.088936
 484  -35049.6514382   4.170659
