# Relative energy hierarchy for Arg conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -170628.176706   0.000000
   2  -170628.162133   0.014573
   3  -170628.159501   0.017205
   4  -170628.150889   0.025817
   5  -170628.143248   0.033458
   6  -170628.119437   0.057269
   7  -170628.112042   0.064664
   8  -170628.078919   0.097787
   9  -170628.072173   0.104533
  10  -170628.068376   0.108330
  11  -170628.054157   0.122549
  12  -170628.043983   0.132723
  13  -170628.038159   0.138547
  14  -170628.029967   0.146739
  15  -170628.001981   0.174725
  16  -170627.957782   0.218924
  17  -170627.939372   0.237334
  18  -170627.938567   0.238139
  19  -170627.897293   0.279413
  20  -170627.892632   0.284074
  21  -170627.88274   0.293966
  22  -170627.881106   0.295600
  23  -170627.875033   0.301673
  24  -170627.874773   0.301933
  25  -170627.857856   0.318850
  26  -170627.841336   0.335370
  27  -170627.833164   0.343542
  28  -170627.824777   0.351929
  29  -170627.807781   0.368925
  30  -170627.763715   0.412991
  31  -170627.753077   0.423629
  32  -170627.72271   0.453996
  33  -170627.716189   0.460517
  34  -170627.707797   0.468909
  35  -170627.70347   0.473236
  36  -170627.697936   0.478770
  37  -170627.685114   0.491592
  38  -170627.670258   0.506448
  39  -170627.666383   0.510323
  40  -170627.657921   0.518785
  41  -170627.643955   0.532751
  42  -170627.639955   0.536751
  43  -170627.618513   0.558193
  44  -170627.606569   0.570137
  45  -170627.602306   0.574400
  46  -170627.597605   0.579101
  47  -170627.595732   0.580974
  48  -170627.587039   0.589667
  49  -170627.577564   0.599142
  50  -170627.575095   0.601611
  51  -170627.569535   0.607171
  52  -170627.565144   0.611562
  53  -170627.554948   0.621758
  54  -170627.552717   0.623989
  55  -170627.550981   0.625725
  56  -170627.549719   0.626987
  57  -170627.549443   0.627263
  58  -170627.542084   0.634622
  59  -170627.540784   0.635922
  60  -170627.533074   0.643632
  61  -170627.531499   0.645207
  62  -170627.524092   0.652614
  63  -170627.521587   0.655119
  64  -170627.518969   0.657737
  65  -170627.515953   0.660753
  66  -170627.515606   0.661100
  67  -170627.515558   0.661148
  68  -170627.513553   0.663153
  69  -170627.510276   0.666430
  70  -170627.500835   0.675871
  71  -170627.497378   0.679328
  72  -170627.487355   0.689351
  73  -170627.475448   0.701258
  74  -170627.475425   0.701281
  75  -170627.474724   0.701982
  76  -170627.471098   0.705608
  77  -170627.45922   0.717486
  78  -170627.451162   0.725544
  79  -170627.44874   0.727966
  80  -170627.443335   0.733371
  81  -170627.441405   0.735301
  82  -170627.436546   0.740160
  83  -170627.42282   0.753886
  84  -170627.422597   0.754109
  85  -170627.413529   0.763177
  86  -170627.411422   0.765284
  87  -170627.406799   0.769907
  88  -170627.401036   0.775670
  89  -170627.400323   0.776383
  90  -170627.39901   0.777696
  91  -170627.392045   0.784661
  92  -170627.372293   0.804413
  93  -170627.3614   0.815306
  94  -170627.359505   0.817201
  95  -170627.353442   0.823264
  96  -170627.351641   0.825065
  97  -170627.338716   0.837990
  98  -170627.330666   0.846040
  99  -170627.308086   0.868620
 100  -170627.294582   0.882124
 101  -170627.288145   0.888561
 102  -170627.270175   0.906531
 103  -170627.268498   0.908208
 104  -170627.26667   0.910036
 105  -170627.260015   0.916691
 106  -170627.245371   0.931335
 107  -170627.244768   0.931938
 108  -170627.238008   0.938698
 109  -170627.22672   0.949986
 110  -170627.215899   0.960807
 111  -170627.209744   0.966962
 112  -170627.206632   0.970074
 113  -170627.193793   0.982913
 114  -170627.186741   0.989965
 115  -170627.176374   1.000332
 116  -170627.159363   1.017343
 117  -170627.14813   1.028576
 118  -170627.142601   1.034105
 119  -170627.138751   1.037955
 120  -170627.126052   1.050654
 121  -170627.121829   1.054877
 122  -170627.117079   1.059627
 123  -170627.10132   1.075386
 124  -170627.099849   1.076857
 125  -170627.095801   1.080905
 126  -170627.080954   1.095752
 127  -170627.078387   1.098319
 128  -170627.057344   1.119362
 129  -170627.010437   1.166269
 130  -170627.001334   1.175372
 131  -170626.987007   1.189699
 132  -170626.986012   1.190694
 133  -170626.97855   1.198156
 134  -170626.962745   1.213961
 135  -170626.957701   1.219005
 136  -170626.95541   1.221296
 137  -170626.945505   1.231201
 138  -170626.944966   1.231740
 139  -170626.940796   1.235910
 140  -170626.932794   1.243912
 141  -170626.930134   1.246572
 142  -170626.929739   1.246967
 143  -170626.929209   1.247497
 144  -170626.921605   1.255101
 145  -170626.911819   1.264887
 146  -170626.890203   1.286503
 147  -170626.881245   1.295461
 148  -170626.870774   1.305932
 149  -170626.870371   1.306335
 150  -170626.867992   1.308714
 151  -170626.84292   1.333786
 152  -170626.841795   1.334911
 153  -170626.838623   1.338083
 154  -170626.834977   1.341729
 155  -170626.82957   1.347136
 156  -170626.823783   1.352923
 157  -170626.821576   1.355130
 158  -170626.818284   1.358422
 159  -170626.818178   1.358528
 160  -170626.808192   1.368514
 161  -170626.792038   1.384668
 162  -170626.787602   1.389104
 163  -170626.767509   1.409197
 164  -170626.756158   1.420548
 165  -170626.749366   1.427340
 166  -170626.74834   1.428366
 167  -170626.735704   1.441002
 168  -170626.723529   1.453177
 169  -170626.71066   1.466046
 170  -170626.699995   1.476711
 171  -170626.676174   1.500532
 172  -170626.669575   1.507131
 173  -170626.655257   1.521449
 174  -170626.651679   1.525027
 175  -170626.65007   1.526636
 176  -170626.640298   1.536408
 177  -170626.637858   1.538848
 178  -170626.628682   1.548024
 179  -170626.617297   1.559409
 180  -170626.609792   1.566914
 181  -170626.606082   1.570624
 182  -170626.586594   1.590112
 183  -170626.574654   1.602052
 184  -170626.556592   1.620114
 185  -170626.531669   1.645037
 186  -170626.496572   1.680134
 187  -170626.484658   1.692048
 188  -170626.478444   1.698262
 189  -170626.471562   1.705144
 190  -170626.470808   1.705898
 191  -170626.460107   1.716599
 192  -170626.458281   1.718425
 193  -170626.423585   1.753121
 194  -170626.410364   1.766342
 195  -170626.367615   1.809091
 196  -170626.366824   1.809882
 197  -170626.366246   1.810460
 198  -170626.366158   1.810548
 199  -170626.335033   1.841673
 200  -170626.328641   1.848065
 201  -170626.311028   1.865678
 202  -170626.300081   1.876625
 203  -170626.274977   1.901729
 204  -170626.268396   1.908310
 205  -170626.266345   1.910361
 206  -170626.251996   1.924710
 207  -170626.249051   1.927655
 208  -170626.247146   1.929560
 209  -170626.179182   1.997524
 210  -170626.178351   1.998355
 211  -170626.177117   1.999589
 212  -170626.172593   2.004113
