# Relative energy hierarchy for Arg conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -569907.295258   0.000000
   2  -569907.206901   0.088357
   3  -569907.125906   0.169352
   4  -569907.107163   0.188095
   5  -569907.081531   0.213727
   6  -569907.047007   0.248251
   7  -569907.017052   0.278206
   8  -569907.009562   0.285696
   9  -569907.008297   0.286961
  10  -569906.99306   0.302198
  11  -569906.972929   0.322329
  12  -569906.930415   0.364843
  13  -569906.928743   0.366515
  14  -569906.92221   0.373048
  15  -569906.898333   0.396925
  16  -569906.895358   0.399900
  17  -569906.861121   0.434137
  18  -569906.83913   0.456128
  19  -569906.833862   0.461396
  20  -569906.814775   0.480483
  21  -569906.789343   0.505915
  22  -569906.784442   0.510816
  23  -569906.774161   0.521097
  24  -569906.766991   0.528267
  25  -569906.745312   0.549946
  26  -569906.739071   0.556187
  27  -569906.728618   0.566640
  28  -569906.723709   0.571549
  29  -569906.722493   0.572765
  30  -569906.711705   0.583553
  31  -569906.709603   0.585655
  32  -569906.6931   0.602158
  33  -569906.691693   0.603565
  34  -569906.691379   0.603879
  35  -569906.685019   0.610239
  36  -569906.679225   0.616033
  37  -569906.653147   0.642111
  38  -569906.614144   0.681114
  39  -569906.577135   0.718123
  40  -569906.554911   0.740347
  41  -569906.55389   0.741368
  42  -569906.543984   0.751274
  43  -569906.53708   0.758178
  44  -569906.531561   0.763697
  45  -569906.527973   0.767285
  46  -569906.522527   0.772731
  47  -569906.512234   0.783024
  48  -569906.511102   0.784156
  49  -569906.51081   0.784448
  50  -569906.492932   0.802326
  51  -569906.484203   0.811055
  52  -569906.470682   0.824576
  53  -569906.467353   0.827905
  54  -569906.461114   0.834144
  55  -569906.452991   0.842267
  56  -569906.441753   0.853505
  57  -569906.406217   0.889041
  58  -569906.396388   0.898870
  59  -569906.376596   0.918662
  60  -569906.372093   0.923165
  61  -569906.367183   0.928075
  62  -569906.354746   0.940512
  63  -569906.350992   0.944266
  64  -569906.334632   0.960626
  65  -569906.323625   0.971633
  66  -569906.320026   0.975232
  67  -569906.318863   0.976395
  68  -569906.310742   0.984516
  69  -569906.304659   0.990599
  70  -569906.299614   0.995644
  71  -569906.299042   0.996216
  72  -569906.290985   1.004273
  73  -569906.270394   1.024864
  74  -569906.267461   1.027797
  75  -569906.262812   1.032446
  76  -569906.245046   1.050212
  77  -569906.244168   1.051090
  78  -569906.238829   1.056429
  79  -569906.232485   1.062773
  80  -569906.227305   1.067953
  81  -569906.226558   1.068700
  82  -569906.221051   1.074207
  83  -569906.190538   1.104720
  84  -569906.189569   1.105689
  85  -569906.189238   1.106020
  86  -569906.182373   1.112885
  87  -569906.177359   1.117899
  88  -569906.165392   1.129866
  89  -569906.159646   1.135612
  90  -569906.157354   1.137904
  91  -569906.156938   1.138320
  92  -569906.14271   1.152548
  93  -569906.141951   1.153307
  94  -569906.126551   1.168707
  95  -569906.105212   1.190046
  96  -569906.103712   1.191546
  97  -569906.09931   1.195948
  98  -569906.096945   1.198313
  99  -569906.095041   1.200217
 100  -569906.092685   1.202573
 101  -569906.090627   1.204631
 102  -569906.088544   1.206714
 103  -569906.086163   1.209095
 104  -569906.074286   1.220972
 105  -569906.068541   1.226717
 106  -569906.066678   1.228580
 107  -569906.062604   1.232654
 108  -569906.054919   1.240339
 109  -569906.048218   1.247040
 110  -569906.047858   1.247400
 111  -569906.045707   1.249551
 112  -569906.035025   1.260233
 113  -569906.031958   1.263300
 114  -569906.026707   1.268551
 115  -569905.991748   1.303510
 116  -569905.982604   1.312654
 117  -569905.966898   1.328360
 118  -569905.958305   1.336953
 119  -569905.958182   1.337076
 120  -569905.94839   1.346868
 121  -569905.945508   1.349750
 122  -569905.932867   1.362391
 123  -569905.922467   1.372791
 124  -569905.902305   1.392953
 125  -569905.895887   1.399371
 126  -569905.886021   1.409237
 127  -569905.837521   1.457737
 128  -569905.826921   1.468337
 129  -569905.822031   1.473227
 130  -569905.814946   1.480312
 131  -569905.802324   1.492934
 132  -569905.797605   1.497653
 133  -569905.792655   1.502603
 134  -569905.791462   1.503796
 135  -569905.784708   1.510550
 136  -569905.778378   1.516880
 137  -569905.765184   1.530074
 138  -569905.764991   1.530267
 139  -569905.741576   1.553682
 140  -569905.735872   1.559386
 141  -569905.716353   1.578905
 142  -569905.695765   1.599493
 143  -569905.655749   1.639509
 144  -569905.605352   1.689906
 145  -569905.585339   1.709919
 146  -569905.581503   1.713755
 147  -569905.577266   1.717992
 148  -569905.557249   1.738009
 149  -569905.54996   1.745298
 150  -569905.524983   1.770275
 151  -569905.521206   1.774052
 152  -569905.51984   1.775418
 153  -569905.519056   1.776202
 154  -569905.518614   1.776644
 155  -569905.501329   1.793929
 156  -569905.487932   1.807326
 157  -569905.487087   1.808171
 158  -569905.483815   1.811443
 159  -569905.480712   1.814546
 160  -569905.472106   1.823152
 161  -569905.470186   1.825072
 162  -569905.465384   1.829874
 163  -569905.463326   1.831932
 164  -569905.461148   1.834110
 165  -569905.443935   1.851323
 166  -569905.442253   1.853005
 167  -569905.439133   1.856125
 168  -569905.431952   1.863306
 169  -569905.431497   1.863761
 170  -569905.428551   1.866707
 171  -569905.423929   1.871329
 172  -569905.423194   1.872064
 173  -569905.422087   1.873171
 174  -569905.420978   1.874280
 175  -569905.420761   1.874497
 176  -569905.420392   1.874866
 177  -569905.419762   1.875496
 178  -569905.416716   1.878542
 179  -569905.414043   1.881215
 180  -569905.413646   1.881612
 181  -569905.410166   1.885092
 182  -569905.402684   1.892574
 183  -569905.402589   1.892669
 184  -569905.401734   1.893524
 185  -569905.395257   1.900001
 186  -569905.394691   1.900567
 187  -569905.390476   1.904782
 188  -569905.387615   1.907643
 189  -569905.387402   1.907856
 190  -569905.385079   1.910179
 191  -569905.384521   1.910737
 192  -569905.378151   1.917107
 193  -569905.368758   1.926500
 194  -569905.368045   1.927213
 195  -569905.365816   1.929442
 196  -569905.363298   1.931960
 197  -569905.36225   1.933008
 198  -569905.353428   1.941830
 199  -569905.352669   1.942589
 200  -569905.352189   1.943069
 201  -569905.351946   1.943312
 202  -569905.351329   1.943929
 203  -569905.349695   1.945563
