# Relative energy hierarchy for Arg conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -103699.457878   0.000000
   2  -103699.451387   0.006491
   3  -103699.435695   0.022183
   4  -103699.423265   0.034613
   5  -103699.419306   0.038572
   6  -103699.41053   0.047348
   7  -103699.410327   0.047551
   8  -103699.405827   0.052051
   9  -103699.400215   0.057663
  10  -103699.387222   0.070656
  11  -103699.385373   0.072505
  12  -103699.384603   0.073275
  13  -103699.372765   0.085113
  14  -103699.365858   0.092020
  15  -103699.362854   0.095024
  16  -103699.359617   0.098261
  17  -103699.353415   0.104463
  18  -103699.347445   0.110433
  19  -103699.347345   0.110533
  20  -103699.332348   0.125530
  21  -103699.32183   0.136048
  22  -103699.314047   0.143831
  23  -103699.288084   0.169794
  24  -103699.274865   0.183013
  25  -103699.271019   0.186859
  26  -103699.27096   0.186918
  27  -103699.269984   0.187894
  28  -103699.262617   0.195261
  29  -103699.259175   0.198703
  30  -103699.252931   0.204947
  31  -103699.252596   0.205282
  32  -103699.25252   0.205358
  33  -103699.251957   0.205921
  34  -103699.25041   0.207468
  35  -103699.227429   0.230449
  36  -103699.225196   0.232682
  37  -103699.223543   0.234335
  38  -103699.220585   0.237293
  39  -103699.218724   0.239154
  40  -103699.212031   0.245847
  41  -103699.211948   0.245930
  42  -103699.205821   0.252057
  43  -103699.20163   0.256248
  44  -103699.197469   0.260409
  45  -103699.197114   0.260764
  46  -103699.191263   0.266615
  47  -103699.190469   0.267409
  48  -103699.187406   0.270472
  49  -103699.18727   0.270608
  50  -103699.185576   0.272302
  51  -103699.18454   0.273338
  52  -103699.181183   0.276695
  53  -103699.166311   0.291567
  54  -103699.164366   0.293512
  55  -103699.154755   0.303123
  56  -103699.151173   0.306705
  57  -103699.146005   0.311873
  58  -103699.140121   0.317757
  59  -103699.138185   0.319693
  60  -103699.13703   0.320848
  61  -103699.134907   0.322971
  62  -103699.133646   0.324232
  63  -103699.123761   0.334117
  64  -103699.120475   0.337403
  65  -103699.113982   0.343896
  66  -103699.111801   0.346077
  67  -103699.103084   0.354794
  68  -103699.097399   0.360479
  69  -103699.094289   0.363589
  70  -103699.092904   0.364974
  71  -103699.089864   0.368014
  72  -103699.089458   0.368420
  73  -103699.077245   0.380633
  74  -103699.0767   0.381178
  75  -103699.075685   0.382193
  76  -103699.075633   0.382245
  77  -103699.075126   0.382752
  78  -103699.038856   0.419022
  79  -103699.03126   0.426618
  80  -103699.02487   0.433008
  81  -103699.023896   0.433982
  82  -103699.020692   0.437186
  83  -103699.015667   0.442211
  84  -103699.002963   0.454915
  85  -103699.001718   0.456160
  86  -103699.001291   0.456587
  87  -103699.000402   0.457476
  88  -103698.999001   0.458877
  89  -103698.995361   0.462517
  90  -103698.992212   0.465666
  91  -103698.988577   0.469301
  92  -103698.981343   0.476535
  93  -103698.980894   0.476984
  94  -103698.97872   0.479158
  95  -103698.972202   0.485676
  96  -103698.970957   0.486921
  97  -103698.962723   0.495155
  98  -103698.962387   0.495491
  99  -103698.960007   0.497871
 100  -103698.959627   0.498251
 101  -103698.951612   0.506266
 102  -103698.936821   0.521057
 103  -103698.917478   0.540400
 104  -103698.896764   0.561114
 105  -103698.89544   0.562438
 106  -103698.89241   0.565468
 107  -103698.884105   0.573773
 108  -103698.88076   0.577118
 109  -103698.877236   0.580642
 110  -103698.871204   0.586674
 111  -103698.864247   0.593631
 112  -103698.861713   0.596165
 113  -103698.857629   0.600249
 114  -103698.856932   0.600946
 115  -103698.846073   0.611805
 116  -103698.844445   0.613433
 117  -103698.838859   0.619019
 118  -103698.838216   0.619662
 119  -103698.830491   0.627387
 120  -103698.827208   0.630670
 121  -103698.815788   0.642090
 122  -103698.812947   0.644931
