# Relative energy hierarchy for Arg conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -16508.027863   0.000000
   2  -16508.025590   0.002273
   3  -16508.024095   0.003768
   4  -16508.017620   0.010243
   5  -16508.004153   0.023710
   6  -16508.000740   0.027123
   7  -16507.997746   0.030117
   8  -16507.993663   0.034200
   9  -16507.988726   0.039137
  10  -16507.987875   0.039988
  11  -16507.986997   0.040866
  12  -16507.983689   0.044174
  13  -16507.980017   0.047846
  14  -16507.976550   0.051313
  15  -16507.974289   0.053574
  16  -16507.972797   0.055066
  17  -16507.970272   0.057591
  18  -16507.965081   0.062782
  19  -16507.960377   0.067486
  20  -16507.956757   0.071106
  21  -16507.952949   0.074914
  22  -16507.949742   0.078121
  23  -16507.949549   0.078314
  24  -16507.946735   0.081128
  25  -16507.943636   0.084227
  26  -16507.936744   0.091119
  27  -16507.936694   0.091169
  28  -16507.933321   0.094542
  29  -16507.933274   0.094589
  30  -16507.931546   0.096317
  31  -16507.930365   0.097498
  32  -16507.928786   0.099077
  33  -16507.926756   0.101107
  34  -16507.924225   0.103638
  35  -16507.920962   0.106901
  36  -16507.920841   0.107022
  37  -16507.920686   0.107177
  38  -16507.920597   0.107266
  39  -16507.920463   0.107400
  40  -16507.919068   0.108795
  41  -16507.918438   0.109425
  42  -16507.915989   0.111874
  43  -16507.914525   0.113338
  44  -16507.912185   0.115678
  45  -16507.911484   0.116379
  46  -16507.910043   0.117820
  47  -16507.908953   0.118910
  48  -16507.902471   0.125392
  49  -16507.901300   0.126563
  50  -16507.898500   0.129363
  51  -16507.898122   0.129741
  52  -16507.897121   0.130742
  53  -16507.897041   0.130822
  54  -16507.897015   0.130848
  55  -16507.896545   0.131318
  56  -16507.896380   0.131483
  57  -16507.895661   0.132202
  58  -16507.894115   0.133748
  59  -16507.892010   0.135853
  60  -16507.891749   0.136114
  61  -16507.890800   0.137063
  62  -16507.886021   0.141842
  63  -16507.885726   0.142137
  64  -16507.885651   0.142212
  65  -16507.885035   0.142828
  66  -16507.882343   0.145520
  67  -16507.881227   0.146636
  68  -16507.881057   0.146806
  69  -16507.877946   0.149917
  70  -16507.877631   0.150232
  71  -16507.877544   0.150319
  72  -16507.877348   0.150515
  73  -16507.874696   0.153167
  74  -16507.874610   0.153253
  75  -16507.874563   0.153300
  76  -16507.874546   0.153317
  77  -16507.872675   0.155188
  78  -16507.871976   0.155887
  79  -16507.870882   0.156981
  80  -16507.870584   0.157279
  81  -16507.870123   0.157740
  82  -16507.868052   0.159811
  83  -16507.867963   0.159900
  84  -16507.866825   0.161038
  85  -16507.866566   0.161297
  86  -16507.865052   0.162811
  87  -16507.860371   0.167492
  88  -16507.859695   0.168168
  89  -16507.856999   0.170864
  90  -16507.856335   0.171528
  91  -16507.856211   0.171652
  92  -16507.855508   0.172355
  93  -16507.851706   0.176157
  94  -16507.851585   0.176278
  95  -16507.849761   0.178102
  96  -16507.847299   0.180564
  97  -16507.847170   0.180693
  98  -16507.846949   0.180914
  99  -16507.846654   0.181209
 100  -16507.846315   0.181548
 101  -16507.846205   0.181658
 102  -16507.844623   0.183240
 103  -16507.844599   0.183264
 104  -16507.841767   0.186096
 105  -16507.841652   0.186211
 106  -16507.840765   0.187098
 107  -16507.840281   0.187582
 108  -16507.839449   0.188414
 109  -16507.838109   0.189754
 110  -16507.837396   0.190467
 111  -16507.837280   0.190583
 112  -16507.837033   0.190830
 113  -16507.834313   0.193550
 114  -16507.834218   0.193645
 115  -16507.833929   0.193934
 116  -16507.833227   0.194636
 117  -16507.832779   0.195084
 118  -16507.832571   0.195292
 119  -16507.831730   0.196133
 120  -16507.831419   0.196444
 121  -16507.830890   0.196973
 122  -16507.830705   0.197158
 123  -16507.829755   0.198108
 124  -16507.828587   0.199276
 125  -16507.828475   0.199388
 126  -16507.826422   0.201441
 127  -16507.826223   0.201640
 128  -16507.825242   0.202621
 129  -16507.825160   0.202703
 130  -16507.824873   0.202990
 131  -16507.824265   0.203598
 132  -16507.823746   0.204117
 133  -16507.822922   0.204941
 134  -16507.822405   0.205458
 135  -16507.821943   0.205920
 136  -16507.821194   0.206669
 137  -16507.820560   0.207303
 138  -16507.820346   0.207517
 139  -16507.820336   0.207527
 140  -16507.820011   0.207852
 141  -16507.819806   0.208057
 142  -16507.819789   0.208074
 143  -16507.818852   0.209011
 144  -16507.818761   0.209102
 145  -16507.818495   0.209368
 146  -16507.817770   0.210093
 147  -16507.817414   0.210449
 148  -16507.817231   0.210632
 149  -16507.816265   0.211598
 150  -16507.815655   0.212208
 151  -16507.815601   0.212262
 152  -16507.815571   0.212292
 153  -16507.815219   0.212644
 154  -16507.814127   0.213736
 155  -16507.813843   0.214020
 156  -16507.813161   0.214702
 157  -16507.812728   0.215135
 158  -16507.812658   0.215205
 159  -16507.811757   0.216106
 160  -16507.811655   0.216208
 161  -16507.810973   0.216890
 162  -16507.810655   0.217208
 163  -16507.810082   0.217781
 164  -16507.809965   0.217898
 165  -16507.809248   0.218615
 166  -16507.808783   0.219080
 167  -16507.807250   0.220613
 168  -16507.806983   0.220880
 169  -16507.806931   0.220932
 170  -16507.805817   0.222046
 171  -16507.805511   0.222352
 172  -16507.803767   0.224096
 173  -16507.802158   0.225705
 174  -16507.801070   0.226793
 175  -16507.800554   0.227309
 176  -16507.799899   0.227964
 177  -16507.799697   0.228166
 178  -16507.797914   0.229949
 179  -16507.797162   0.230701
 180  -16507.796887   0.230976
 181  -16507.795966   0.231897
 182  -16507.795942   0.231921
 183  -16507.795742   0.232121
 184  -16507.795113   0.232750
 185  -16507.794273   0.233590
 186  -16507.794236   0.233627
 187  -16507.793636   0.234227
 188  -16507.793428   0.234435
 189  -16507.793388   0.234475
 190  -16507.793252   0.234611
 191  -16507.792347   0.235516
 192  -16507.791491   0.236372
 193  -16507.791441   0.236422
 194  -16507.790686   0.237177
 195  -16507.789282   0.238581
 196  -16507.789161   0.238702
 197  -16507.789049   0.238814
 198  -16507.788688   0.239175
 199  -16507.788684   0.239179
 200  -16507.788647   0.239216
 201  -16507.787705   0.240158
 202  -16507.787102   0.240761
 203  -16507.786474   0.241389
 204  -16507.786393   0.241470
 205  -16507.785884   0.241979
 206  -16507.785870   0.241993
 207  -16507.785308   0.242555
 208  -16507.785215   0.242648
 209  -16507.784683   0.243180
 210  -16507.784239   0.243624
 211  -16507.783898   0.243965
 212  -16507.782744   0.245119
 213  -16507.782288   0.245575
 214  -16507.781919   0.245944
 215  -16507.781338   0.246525
 216  -16507.780956   0.246907
 217  -16507.779568   0.248295
 218  -16507.778151   0.249712
 219  -16507.777813   0.250050
 220  -16507.777472   0.250391
 221  -16507.776068   0.251795
 222  -16507.776024   0.251839
 223  -16507.775856   0.252007
 224  -16507.775006   0.252857
 225  -16507.774710   0.253153
 226  -16507.772647   0.255216
 227  -16507.772599   0.255264
 228  -16507.772102   0.255761
 229  -16507.772045   0.255818
 230  -16507.770901   0.256962
 231  -16507.768362   0.259501
 232  -16507.768238   0.259625
 233  -16507.767992   0.259871
 234  -16507.767908   0.259955
 235  -16507.767039   0.260824
 236  -16507.766849   0.261014
 237  -16507.766714   0.261149
 238  -16507.766711   0.261152
 239  -16507.766211   0.261652
 240  -16507.766143   0.261720
