# Relative energy hierarchy for Ac-Argh-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -246335.375467   0.000000
   2  -246335.374787   0.000680
   3  -246335.373730   0.001737
   4  -246335.372568   0.002899
   5  -246335.333223   0.042244
   6  -246335.332957   0.042510
   7  -246335.332778   0.042689
   8  -246335.332043   0.043424
   9  -246335.331805   0.043662
  10  -246335.331468   0.043999
  11  -246335.316546   0.058921
  12  -246335.315828   0.059639
  13  -246335.314695   0.060772
  14  -246335.275996   0.099471
  15  -246335.274707   0.100760
  16  -246335.267651   0.107816
  17  -246335.251520   0.123947
  18  -246335.251194   0.124273
  19  -246335.250484   0.124983
  20  -246335.246339   0.129128
  21  -246335.234153   0.141314
  22  -246335.233990   0.141477
  23  -246335.233771   0.141696
  24  -246335.233738   0.141729
  25  -246335.232803   0.142664
  26  -246335.231985   0.143482
  27  -246335.231724   0.143743
  28  -246335.225249   0.150218
  29  -246335.215551   0.159916
  30  -246335.215195   0.160272
  31  -246335.213822   0.161645
  32  -246335.209288   0.166179
  33  -246335.208077   0.167390
  34  -246335.207533   0.167934
  35  -246335.195408   0.180059
  36  -246335.193947   0.181520
  37  -246335.192580   0.182887
  38  -246335.192244   0.183223
  39  -246335.191401   0.184066
  40  -246335.191344   0.184123
  41  -246335.190298   0.185169
  42  -246335.188139   0.187328
  43  -246335.187229   0.188238
  44  -246335.186141   0.189326
  45  -246335.185295   0.190172
  46  -246335.184768   0.190699
  47  -246335.183764   0.191703
  48  -246335.180594   0.194873
  49  -246335.178851   0.196616
  50  -246335.172422   0.203045
  51  -246335.164075   0.211392
  52  -246335.164051   0.211416
  53  -246335.163992   0.211475
  54  -246335.163847   0.211620
  55  -246335.163625   0.211842
  56  -246335.157533   0.217934
  57  -246335.148707   0.226760
  58  -246335.142179   0.233288
  59  -246335.141092   0.234375
  60  -246335.141021   0.234446
  61  -246335.133899   0.241568
  62  -246335.133365   0.242102
  63  -246335.133104   0.242363
  64  -246335.126644   0.248823
  65  -246335.125877   0.249590
  66  -246335.117782   0.257685
  67  -246335.112568   0.262899
  68  -246335.108382   0.267085
  69  -246335.107087   0.268380
  70  -246335.104915   0.270552
  71  -246335.104084   0.271383
  72  -246335.103840   0.271627
  73  -246335.101609   0.273858
  74  -246335.100108   0.275359
  75  -246335.098953   0.276514
  76  -246335.094527   0.280940
  77  -246335.089942   0.285525
  78  -246335.087773   0.287694
  79  -246335.087177   0.288290
  80  -246335.086947   0.288520
  81  -246335.086779   0.288688
  82  -246335.086217   0.289250
  83  -246335.085459   0.290008
  84  -246335.083537   0.291930
  85  -246335.081602   0.293865
  86  -246335.081457   0.294010
  87  -246335.081379   0.294088
  88  -246335.080966   0.294501
  89  -246335.080414   0.295053
  90  -246335.074401   0.301066
  91  -246335.068203   0.307264
  92  -246335.066497   0.308970
  93  -246335.065813   0.309654
  94  -246335.063483   0.311984
  95  -246335.059854   0.315613
  96  -246335.050755   0.324712
  97  -246335.050140   0.325327
  98  -246335.042787   0.332680
  99  -246335.037145   0.338322
 100  -246335.036820   0.338647
 101  -246335.036569   0.338898
 102  -246335.035697   0.339770
 103  -246335.035478   0.339989
 104  -246335.035271   0.340196
 105  -246335.032514   0.342953
 106  -246335.028665   0.346802
 107  -246335.028465   0.347002
 108  -246335.028463   0.347004
 109  -246335.028135   0.347332
 110  -246335.024332   0.351135
 111  -246335.020094   0.355373
 112  -246335.019719   0.355748
 113  -246335.005912   0.369555
 114  -246335.005886   0.369581
 115  -246335.005031   0.370436
 116  -246335.002216   0.373251
 117  -246335.000254   0.375213
 118  -246334.999356   0.376111
 119  -246334.995478   0.379989
 120  -246334.992418   0.383049
 121  -246334.992037   0.383430
 122  -246334.990851   0.384616
 123  -246334.990567   0.384900
 124  -246334.990470   0.384997
 125  -246334.989388   0.386079
 126  -246334.978434   0.397033
 127  -246334.977515   0.397952
 128  -246334.961194   0.414273
 129  -246334.959276   0.416191
 130  -246334.925274   0.450193
 131  -246334.923674   0.451793
 132  -246334.914479   0.460988
 133  -246334.911426   0.464041
 134  -246334.904145   0.471322
 135  -246334.904038   0.471429
 136  -246334.900167   0.475300
 137  -246334.887100   0.488367
 138  -246334.883328   0.492139
 139  -246334.882282   0.493185
 140  -246334.876951   0.498516
 141  -246334.876580   0.498887
 142  -246334.872699   0.502768
 143  -246334.867741   0.507726
 144  -246334.855961   0.519506
 145  -246334.854650   0.520817
 146  -246334.839572   0.535895
 147  -246334.809699   0.565768
 148  -246334.801090   0.574377
 149  -246334.799293   0.576174
 150  -246334.796168   0.579299
 151  -246334.759635   0.615832
 152  -246334.749226   0.626241
 153  -246334.742003   0.633464
 154  -246334.741007   0.634460
 155  -246334.735394   0.640073
 156  -246334.724965   0.650502
 157  -246334.722033   0.653434
 158  -246334.719561   0.655906
 159  -246334.718965   0.656502
 160  -246334.711070   0.664397
 161  -246334.710995   0.664472
 162  -246334.690634   0.684833
 163  -246334.686534   0.688933
 164  -246334.664046   0.711421
 165  -246334.660942   0.714525
 166  -246334.653975   0.721492
 167  -246334.652383   0.723084
 168  -246334.651777   0.723690
 169  -246334.648912   0.726555
 170  -246334.647805   0.727662
 171  -246334.646719   0.728748
 172  -246334.637729   0.737738
 173  -246334.634468   0.740999
 174  -246334.632398   0.743069
 175  -246334.630412   0.745055
 176  -246334.623432   0.752035
 177  -246334.619942   0.755525
 178  -246334.617599   0.757868
 179  -246334.611450   0.764017
 180  -246334.610697   0.764770
 181  -246334.610091   0.765376
 182  -246334.600928   0.774539
 183  -246334.600864   0.774603
 184  -246334.589669   0.785798
 185  -246334.583910   0.791557
 186  -246334.580330   0.795137
 187  -246334.576380   0.799087
 188  -246334.570730   0.804737
 189  -246334.568194   0.807273
 190  -246334.567510   0.807957
 191  -246334.562018   0.813449
 192  -246334.561382   0.814085
 193  -246334.557836   0.817631
 194  -246334.547439   0.828028
 195  -246334.544371   0.831096
 196  -246334.541129   0.834338
 197  -246334.540804   0.834663
 198  -246334.535228   0.840239
 199  -246334.530606   0.844861
 200  -246334.524990   0.850477
 201  -246334.509165   0.866302
 202  -246334.493976   0.881491
 203  -246334.481063   0.894404
 204  -246334.472745   0.902722
 205  -246334.471093   0.904374
 206  -246334.468664   0.906803
 207  -246334.463797   0.911670
 208  -246334.462015   0.913452
 209  -246334.458348   0.917119
 210  -246334.453926   0.921541
 211  -246334.452994   0.922473
 212  -246334.436921   0.938546
 213  -246334.420660   0.954807
 214  -246334.419704   0.955763
 215  -246334.418185   0.957282
 216  -246334.406211   0.969256
 217  -246334.405895   0.969572
 218  -246334.400295   0.975172
 219  -246334.388933   0.986534
 220  -246334.381698   0.993769
 221  -246334.377768   0.997699
 222  -246334.364196   1.011271
 223  -246334.355553   1.019914
 224  -246334.350258   1.025209
 225  -246334.346544   1.028923
 226  -246334.340640   1.034827
 227  -246334.338546   1.036921
 228  -246334.338305   1.037162
 229  -246334.336403   1.039064
 230  -246334.326094   1.049373
 231  -246334.326049   1.049418
 232  -246334.324304   1.051163
 233  -246334.317558   1.057909
 234  -246334.315656   1.059811
 235  -246334.312396   1.063071
 236  -246334.311114   1.064353
 237  -246334.302392   1.073075
 238  -246334.296148   1.079319
 239  -246334.293969   1.081498
 240  -246334.282200   1.093267
 241  -246334.278844   1.096623
 242  -246334.277898   1.097569
 243  -246334.275717   1.099750
 244  -246334.274697   1.100770
 245  -246334.273970   1.101497
 246  -246334.271490   1.103977
 247  -246334.269050   1.106417
 248  -246334.268130   1.107337
 249  -246334.265505   1.109962
 250  -246334.263641   1.111826
 251  -246334.261891   1.113576
 252  -246334.257751   1.117716
 253  -246334.253248   1.122219
 254  -246334.244075   1.131392
 255  -246334.241708   1.133759
 256  -246334.238973   1.136494
 257  -246334.238871   1.136596
 258  -246334.235594   1.139873
 259  -246334.233274   1.142193
 260  -246334.232965   1.142502
 261  -246334.229572   1.145895
 262  -246334.227349   1.148118
 263  -246334.223956   1.151511
 264  -246334.221873   1.153594
 265  -246334.215681   1.159786
 266  -246334.213597   1.161870
 267  -246334.210625   1.164842
 268  -246334.210420   1.165047
 269  -246334.210046   1.165421
 270  -246334.206946   1.168521
 271  -246334.206642   1.168825
 272  -246334.197337   1.178130
 273  -246334.196669   1.178798
 274  -246334.192756   1.182711
 275  -246334.192147   1.183320
 276  -246334.186440   1.189027
 277  -246334.186315   1.189152
 278  -246334.186002   1.189465
 279  -246334.184995   1.190472
 280  -246334.184654   1.190813
 281  -246334.184254   1.191213
