# Relative energy hierarchy for protonated Ac-Arg-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -39742.3073107   0.000000
   2  -39742.3062053   0.001105
   3  -39742.3057708   0.001540
   4  -39742.3052343   0.002076
   5  -39742.3046807   0.002630
   6  -39742.3037214   0.003589
   7  -39742.3033248   0.003986
   8  -39742.2645568   0.042754
   9  -39742.2640393   0.043271
  10  -39742.2638969   0.043414
  11  -39742.2634533   0.043857
  12  -39742.263186   0.044125
  13  -39742.2630128   0.044298
  14  -39742.2629654   0.044345
  15  -39742.2629427   0.044368
  16  -39742.2628712   0.044440
  17  -39742.2625367   0.044774
  18  -39742.2624505   0.044860
  19  -39742.2509016   0.056409
  20  -39742.2500372   0.057274
  21  -39742.2498301   0.057481
  22  -39742.2494739   0.057837
  23  -39742.2489141   0.058397
  24  -39742.2078917   0.099419
  25  -39742.2070774   0.100233
  26  -39742.2065356   0.100775
  27  -39742.2048108   0.102500
  28  -39742.1942767   0.113034
  29  -39742.1931864   0.114124
  30  -39742.1926707   0.114640
  31  -39742.1919036   0.115407
  32  -39742.1860578   0.121253
  33  -39742.185299   0.122012
  34  -39742.176803   0.130508
  35  -39742.1760286   0.131282
  36  -39742.1746706   0.132640
  37  -39742.1735433   0.133767
  38  -39742.1730422   0.134269
  39  -39742.1703473   0.136963
  40  -39742.1608653   0.146445
  41  -39742.1561374   0.151173
  42  -39742.155924   0.151387
  43  -39742.1555328   0.151778
  44  -39742.1554922   0.151819
  45  -39742.1554794   0.151831
  46  -39742.1553677   0.151943
  47  -39742.155308   0.152003
  48  -39742.1551926   0.152118
  49  -39742.147349   0.159962
  50  -39742.1466606   0.160650
  51  -39742.1447284   0.162582
  52  -39742.1436288   0.163682
  53  -39742.1433923   0.163918
  54  -39742.1429785   0.164332
  55  -39742.1412208   0.166090
  56  -39742.139537   0.167774
  57  -39742.1337954   0.173515
  58  -39742.1330555   0.174255
  59  -39742.1289012   0.178410
  60  -39742.1279047   0.179406
  61  -39742.1273575   0.179953
  62  -39742.1273049   0.180006
  63  -39742.1267379   0.180573
  64  -39742.1187986   0.188512
  65  -39742.1177416   0.189569
  66  -39742.1162079   0.191103
  67  -39742.1153819   0.191929
  68  -39742.1149698   0.192341
  69  -39742.1117877   0.195523
  70  -39742.1110986   0.196212
  71  -39742.1104089   0.196902
  72  -39742.1101082   0.197202
  73  -39742.1100485   0.197262
  74  -39742.1094958   0.197815
  75  -39742.108344   0.198967
  76  -39742.1057225   0.201588
  77  -39742.1050559   0.202255
  78  -39742.104507   0.202804
  79  -39742.1043699   0.202941
  80  -39742.1040037   0.203307
  81  -39742.1034805   0.203830
  82  -39742.1029417   0.204369
  83  -39742.1021843   0.205126
  84  -39742.1012021   0.206109
  85  -39742.1003838   0.206927
  86  -39742.0899951   0.217316
  87  -39742.0894381   0.217873
