# Relative energy hierarchy for Ac-Argh-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -574593.7208488   0.000000
   2  -574593.7202237   0.000625
   3  -574593.7201140   0.000735
   4  -574593.7198581   0.000991
   5  -574593.7197672   0.001082
   6  -574593.7195525   0.001296
   7  -574593.7183276   0.002521
   8  -574593.7156753   0.005174
   9  -574593.7154216   0.005427
  10  -574593.7153551   0.005494
  11  -574593.7145624   0.006286
  12  -574593.7142962   0.006553
  13  -574593.7141118   0.006737
  14  -574593.7122209   0.008628
  15  -574593.7120203   0.008829
  16  -574593.7120183   0.008831
  17  -574593.7116313   0.009217
  18  -574593.7111902   0.009659
  19  -574593.6727982   0.048051
  20  -574593.6726671   0.048182
  21  -574593.6720416   0.048807
  22  -574593.6715111   0.049338
  23  -574593.6707856   0.050063
  24  -574593.6586536   0.062195
  25  -574593.6582580   0.062591
  26  -574593.6576929   0.063156
  27  -574593.6576198   0.063229
  28  -574593.6166021   0.104247
  29  -574593.6061205   0.114728
  30  -574593.6053510   0.115498
  31  -574593.6040595   0.116789
  32  -574593.5940950   0.126754
  33  -574593.5929295   0.127919
  34  -574593.5863437   0.134505
  35  -574593.5855915   0.135257
  36  -574593.5853530   0.135496
  37  -574593.5850932   0.135756
  38  -574593.5850361   0.135813
  39  -574593.5844345   0.136414
  40  -574593.5843102   0.136539
  41  -574593.5842906   0.136558
  42  -574593.5836847   0.137164
  43  -574593.5831363   0.137713
  44  -574593.5827621   0.138087
  45  -574593.5827490   0.138100
  46  -574593.5826863   0.138162
  47  -574593.5826509   0.138198
  48  -574593.5826311   0.138218
  49  -574593.5825517   0.138297
  50  -574593.5824847   0.138364
  51  -574593.5823004   0.138548
  52  -574593.5812146   0.139634
  53  -574593.5811156   0.139733
  54  -574593.5810492   0.139800
  55  -574593.5807887   0.140060
  56  -574593.5797407   0.141108
  57  -574593.5766626   0.144186
  58  -574593.5765728   0.144276
  59  -574593.5763230   0.144526
  60  -574593.5755289   0.145320
  61  -574593.5603124   0.160536
