# Relative energy hierarchy for Ac-Argh-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -611340.431707   0.000000
   2  -611340.430482   0.001225
   3  -611340.430114   0.001593
   4  -611340.429532   0.002175
   5  -611340.428532   0.003175
   6  -611340.393661   0.038046
   7  -611340.393307   0.038400
   8  -611340.392950   0.038757
   9  -611340.392308   0.039399
  10  -611340.392214   0.039493
  11  -611340.391751   0.039956
  12  -611340.377270   0.054437
  13  -611340.376390   0.055317
  14  -611340.375444   0.056263
  15  -611340.337509   0.094198
  16  -611340.336370   0.095337
  17  -611340.319316   0.112391
  18  -611340.300733   0.130974
  19  -611340.298507   0.133200
  20  -611340.297852   0.133855
  21  -611340.297237   0.134470
  22  -611340.296409   0.135298
  23  -611340.292429   0.139278
  24  -611340.290684   0.141023
  25  -611340.286341   0.145366
  26  -611340.279938   0.151769
  27  -611340.279487   0.152220
  28  -611340.279421   0.152286
  29  -611340.276454   0.155253
  30  -611340.269161   0.162546
  31  -611340.267456   0.164251
  32  -611340.261500   0.170207
  33  -611340.258753   0.172954
  34  -611340.252411   0.179296
  35  -611340.251641   0.180066
  36  -611340.251448   0.180259
  37  -611340.250779   0.180928
  38  -611340.247932   0.183775
  39  -611340.239609   0.192098
  40  -611340.238252   0.193455
  41  -611340.236466   0.195241
  42  -611340.236108   0.195599
  43  -611340.235030   0.196677
  44  -611340.234459   0.197248
  45  -611340.233151   0.198556
  46  -611340.232870   0.198837
  47  -611340.232303   0.199404
  48  -611340.231645   0.200062
  49  -611340.230764   0.200943
  50  -611340.229123   0.202584
  51  -611340.227322   0.204385
  52  -611340.224886   0.206821
  53  -611340.214602   0.217105
  54  -611340.208788   0.222919
  55  -611340.208664   0.223043
  56  -611340.208319   0.223388
  57  -611340.208127   0.223580
  58  -611340.207562   0.224145
  59  -611340.187636   0.244071
  60  -611340.186571   0.245136
  61  -611340.182481   0.249226
  62  -611340.181884   0.249823
  63  -611340.181725   0.249982
  64  -611340.179634   0.252073
  65  -611340.177539   0.254168
  66  -611340.176349   0.255358
  67  -611340.173962   0.257745
  68  -611340.165522   0.266185
  69  -611340.162472   0.269235
  70  -611340.159531   0.272176
  71  -611340.159250   0.272457
  72  -611340.156144   0.275563
  73  -611340.153731   0.277976
  74  -611340.153345   0.278362
  75  -611340.151888   0.279819
  76  -611340.150797   0.280910
  77  -611340.150637   0.281070
  78  -611340.150304   0.281403
  79  -611340.149874   0.281833
  80  -611340.147028   0.284679
  81  -611340.145723   0.285984
  82  -611340.144504   0.287203
  83  -611340.139399   0.292308
  84  -611340.139334   0.292373
  85  -611340.138197   0.293510
  86  -611340.134877   0.296830
  87  -611340.125590   0.306117
  88  -611340.125178   0.306529
  89  -611340.125003   0.306704
  90  -611340.124699   0.307008
  91  -611340.124471   0.307236
  92  -611340.123959   0.307748
  93  -611340.116898   0.314809
  94  -611340.113406   0.318301
  95  -611340.110317   0.321390
  96  -611340.105392   0.326315
  97  -611340.102760   0.328947
  98  -611340.097681   0.334026
  99  -611340.093622   0.338085
 100  -611340.092859   0.338848
 101  -611340.081516   0.350191
 102  -611340.079106   0.352601
 103  -611340.078339   0.353368
 104  -611340.078104   0.353603
 105  -611340.075952   0.355755
 106  -611340.070961   0.360746
 107  -611340.070727   0.360980
 108  -611340.068292   0.363415
 109  -611340.067169   0.364538
 110  -611340.066504   0.365203
 111  -611340.066060   0.365647
 112  -611340.065363   0.366344
 113  -611340.061848   0.369859
 114  -611340.059119   0.372588
 115  -611340.058714   0.372993
 116  -611340.058570   0.373137
 117  -611340.054808   0.376899
 118  -611340.054042   0.377665
 119  -611340.054017   0.377690
 120  -611340.053264   0.378443
 121  -611340.051083   0.380624
 122  -611340.049375   0.382332
 123  -611340.047857   0.383850
 124  -611340.042309   0.389398
 125  -611340.041226   0.390481
 126  -611340.039093   0.392614
 127  -611340.038609   0.393098
 128  -611340.038133   0.393574
 129  -611340.037788   0.393919
 130  -611340.027009   0.404698
 131  -611340.018476   0.413231
 132  -611340.000526   0.431181
 133  -611339.975280   0.456427
 134  -611339.974886   0.456821
 135  -611339.967142   0.464565
 136  -611339.961949   0.469758
 137  -611339.960446   0.471261
 138  -611339.950030   0.481677
 139  -611339.946269   0.485438
 140  -611339.945078   0.486629
 141  -611339.941010   0.490697
 142  -611339.937706   0.494001
 143  -611339.933471   0.498236
 144  -611339.928313   0.503394
 145  -611339.926271   0.505436
 146  -611339.916475   0.515232
 147  -611339.895610   0.536097
 148  -611339.886298   0.545409
 149  -611339.886037   0.545670
 150  -611339.873890   0.557817
 151  -611339.867306   0.564401
 152  -611339.850836   0.580871
 153  -611339.846770   0.584937
 154  -611339.837436   0.594271
 155  -611339.833115   0.598592
 156  -611339.831026   0.600681
 157  -611339.815417   0.616290
 158  -611339.766586   0.665121
 159  -611339.763955   0.667752
 160  -611339.717876   0.713831
 161  -611339.717603   0.714104
 162  -611339.704937   0.726770
 163  -611339.689957   0.741750
 164  -611339.676653   0.755054
 165  -611339.669581   0.762126
 166  -611339.666402   0.765305
 167  -611339.657935   0.773772
 168  -611339.653420   0.778287
 169  -611339.651866   0.779841
 170  -611339.645660   0.786047
 171  -611339.643083   0.788624
 172  -611339.635947   0.795760
 173  -611339.627053   0.804654
 174  -611339.620873   0.810834
 175  -611339.615447   0.816260
 176  -611339.609935   0.821772
 177  -611339.605648   0.826059
 178  -611339.601228   0.830479
 179  -611339.600664   0.831043
 180  -611339.598335   0.833372
 181  -611339.592940   0.838767
 182  -611339.587115   0.844592
 183  -611339.585123   0.846584
 184  -611339.581766   0.849941
 185  -611339.580863   0.850844
 186  -611339.562679   0.869028
 187  -611339.559390   0.872317
 188  -611339.554524   0.877183
 189  -611339.550693   0.881014
 190  -611339.536827   0.894880
 191  -611339.534414   0.897293
 192  -611339.533742   0.897965
 193  -611339.530662   0.901045
 194  -611339.522853   0.908854
 195  -611339.522762   0.908945
 196  -611339.516452   0.915255
 197  -611339.513889   0.917818
 198  -611339.512725   0.918982
 199  -611339.509881   0.921826
 200  -611339.509446   0.922261
 201  -611339.499649   0.932058
 202  -611339.499355   0.932352
 203  -611339.498716   0.932991
 204  -611339.487176   0.944531
 205  -611339.470242   0.961465
 206  -611339.469829   0.961878
 207  -611339.465790   0.965917
 208  -611339.461610   0.970097
 209  -611339.460246   0.971461
 210  -611339.458606   0.973101
 211  -611339.435966   0.995741
 212  -611339.433569   0.998138
 213  -611339.400713   1.030994
 214  -611339.385185   1.046522
 215  -611339.379726   1.051981
 216  -611339.378657   1.053050
 217  -611339.371597   1.060110
 218  -611339.363079   1.068628
 219  -611339.360505   1.071202
 220  -611339.343222   1.088485
 221  -611339.335066   1.096641
 222  -611339.294815   1.136892
 223  -611339.289115   1.142592
 224  -611339.280570   1.151137
 225  -611339.270768   1.160939
 226  -611339.265712   1.165995
 227  -611339.232542   1.199165
 228  -611339.211161   1.220546
 229  -611339.188143   1.243564
 230  -611339.182068   1.249639
 231  -611339.159286   1.272421
 232  -611339.151462   1.280245
 233  -611339.141164   1.290543
 234  -611339.137986   1.293721
 235  -611339.135679   1.296028
 236  -611339.074149   1.357558
 237  -611339.071310   1.360397
 238  -611339.063643   1.368064
 239  -611339.058041   1.373666
 240  -611339.057568   1.374139
 241  -611339.049959   1.381748
 242  -611339.049908   1.381799
 243  -611339.049799   1.381908
 244  -611339.045958   1.385749
 245  -611339.045392   1.386315
 246  -611339.043620   1.388087
 247  -611339.029739   1.401968
 248  -611339.020872   1.410835
 249  -611339.008566   1.423141
 250  -611339.008469   1.423238
 251  -611339.003379   1.428328
 252  -611339.002283   1.429424
 253  -611339.001975   1.429732
 254  -611338.999207   1.432500
 255  -611338.996671   1.435036
 256  -611338.992557   1.439150
 257  -611338.991368   1.440339
 258  -611338.988988   1.442719
 259  -611338.988982   1.442725
 260  -611338.986473   1.445234
 261  -611338.976977   1.454730
 262  -611338.973368   1.458339
 263  -611338.973286   1.458421
 264  -611338.968780   1.462927
 265  -611338.967670   1.464037
 266  -611338.966485   1.465222
 267  -611338.962271   1.469436
 268  -611338.958246   1.473461
 269  -611338.956707   1.475000
 270  -611338.954210   1.477497
 271  -611338.952025   1.479682
 272  -611338.951356   1.480351
 273  -611338.951240   1.480467
 274  -611338.948108   1.483599
 275  -611338.944969   1.486738
 276  -611338.944298   1.487409
 277  -611338.942227   1.489480
 278  -611338.938038   1.493669
 279  -611338.933172   1.498535
 280  -611338.928156   1.503551
 281  -611338.924400   1.507307
 282  -611338.920717   1.510990
 283  -611338.920287   1.511420
 284  -611338.917441   1.514266
 285  -611338.911061   1.520646
 286  -611338.909788   1.521919
 287  -611338.906294   1.525413
 288  -611338.906124   1.525583
 289  -611338.904374   1.527333
 290  -611338.903716   1.527991
 291  -611338.902636   1.529071
 292  -611338.899472   1.532235
 293  -611338.898995   1.532712
 294  -611338.894926   1.536781
 295  -611338.892808   1.538899
 296  -611338.890800   1.540907
 297  -611338.886747   1.544960
 298  -611338.882437   1.549270
 299  -611338.876314   1.555393
 300  -611338.875417   1.556290
 301  -611338.874553   1.557154
 302  -611338.873448   1.558259
 303  -611338.867946   1.563761
 304  -611338.865225   1.566482
 305  -611338.862609   1.569098
 306  -611338.861820   1.569887
 307  -611338.861754   1.569953
 308  -611338.858008   1.573699
 309  -611338.855947   1.575760
 310  -611338.854082   1.577625
 311  -611338.853918   1.577789
 312  -611338.851645   1.580062
 313  -611338.849880   1.581827
 314  -611338.849052   1.582655
 315  -611338.848703   1.583004
 316  -611338.847205   1.584502
 317  -611338.846425   1.585282
 318  -611338.845019   1.586688
 319  -611338.842459   1.589248
 320  -611338.842123   1.589584
 321  -611338.841146   1.590561
 322  -611338.839433   1.592274
 323  -611338.836107   1.595600
 324  -611338.835889   1.595818
 325  -611338.835258   1.596449
 326  -611338.833379   1.598328
 327  -611338.829337   1.602370
 328  -611338.829133   1.602574
 329  -611338.821255   1.610452
 330  -611338.817574   1.614133
 331  -611338.816708   1.614999
 332  -611338.815860   1.615847
 333  -611338.813553   1.618154
 334  -611338.806338   1.625369
 335  -611338.805578   1.626129
 336  -611338.801015   1.630692
 337  -611338.794586   1.637121
 338  -611338.792953   1.638754
 339  -611338.792858   1.638849
 340  -611338.788808   1.642899
 341  -611338.787872   1.643835
 342  -611338.786048   1.645659
 343  -611338.783536   1.648171
 344  -611338.780726   1.650981
 345  -611338.778110   1.653597
 346  -611338.775400   1.656307
 347  -611338.773311   1.658396
 348  -611338.772520   1.659187
 349  -611338.769450   1.662257
 350  -611338.769286   1.662421
 351  -611338.766509   1.665198
 352  -611338.762491   1.669216
 353  -611338.761369   1.670338
 354  -611338.758109   1.673598
 355  -611338.757559   1.674148
 356  -611338.757183   1.674524
 357  -611338.745340   1.686367
 358  -611338.742387   1.689320
 359  -611338.742016   1.689691
 360  -611338.741181   1.690526
 361  -611338.738827   1.692880
 362  -611338.735168   1.696539
 363  -611338.734727   1.696980
 364  -611338.733494   1.698213
 365  -611338.732795   1.698912
 366  -611338.730378   1.701329
 367  -611338.720745   1.710962
 368  -611338.718340   1.713367
 369  -611338.717926   1.713781
 370  -611338.717104   1.714603
 371  -611338.716607   1.715100
 372  -611338.714008   1.717699
 373  -611338.712834   1.718873
 374  -611338.711817   1.719890
 375  -611338.710871   1.720836
 376  -611338.709661   1.722046
 377  -611338.702755   1.728952
 378  -611338.692756   1.738951
 379  -611338.682353   1.749354
 380  -611338.679584   1.752123
 381  -611338.679007   1.752700
 382  -611338.676948   1.754759
 383  -611338.673347   1.758360
 384  -611338.670859   1.760848
 385  -611338.668725   1.762982
 386  -611338.668495   1.763212
 387  -611338.666501   1.765206
 388  -611338.664372   1.767335
 389  -611338.656435   1.775272
 390  -611338.654052   1.777655
 391  -611338.652370   1.779337
 392  -611338.651849   1.779858
 393  -611338.649248   1.782459
 394  -611338.645591   1.786116
 395  -611338.645187   1.786520
 396  -611338.642986   1.788721
 397  -611338.641570   1.790137
 398  -611338.638744   1.792963
 399  -611338.633594   1.798113
 400  -611338.629278   1.802429
 401  -611338.625012   1.806695
 402  -611338.616789   1.814918
 403  -611338.611356   1.820351
 404  -611338.607086   1.824621
 405  -611338.603840   1.827867
 406  -611338.603612   1.828095
 407  -611338.597370   1.834337
 408  -611338.594483   1.837224
 409  -611338.592334   1.839373
 410  -611338.584593   1.847114
 411  -611338.582963   1.848744
 412  -611338.580979   1.850728
 413  -611338.568199   1.863508
 414  -611338.564659   1.867048
 415  -611338.561792   1.869915
 416  -611338.561504   1.870203
 417  -611338.559804   1.871903
 418  -611338.557688   1.874019
 419  -611338.556482   1.875225
 420  -611338.547595   1.884112
 421  -611338.544228   1.887479
 422  -611338.542744   1.888963
 423  -611338.540959   1.890748
 424  -611338.537055   1.894652
 425  -611338.534858   1.896849
 426  -611338.533406   1.898301
 427  -611338.528400   1.903307
 428  -611338.506696   1.925011
 429  -611338.505313   1.926394
 430  -611338.504231   1.927476
 431  -611338.501214   1.930493
 432  -611338.494567   1.937140
 433  -611338.493903   1.937804
 434  -611338.488011   1.943696
