# Relative energy hierarchy for Ac-Argh-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -108388.136724   0.000000
   2  -108388.135789   0.000935
   3  -108388.134997   0.001727
   4  -108388.133664   0.003060
   5  -108388.093964   0.042760
   6  -108388.093678   0.043046
   7  -108388.093316   0.043408
   8  -108388.092773   0.043951
   9  -108388.092658   0.044066
  10  -108388.092215   0.044509
  11  -108388.078969   0.057755
  12  -108388.078166   0.058558
  13  -108388.077018   0.059706
  14  -108388.036977   0.099747
  15  -108388.035850   0.100874
  16  -108388.026836   0.109888
  17  -108388.010157   0.126567
  18  -108388.008870   0.127854
  19  -108388.007134   0.129590
  20  -108388.005079   0.131645
  21  -108388.004591   0.132133
  22  -108388.003730   0.132994
  23  -108387.996806   0.139918
  24  -108387.991774   0.144950
  25  -108387.990946   0.145778
  26  -108387.990659   0.146065
  27  -108387.990529   0.146195
  28  -108387.990240   0.146484
  29  -108387.989706   0.147018
  30  -108387.974934   0.161790
  31  -108387.973864   0.162860
  32  -108387.965470   0.171254
  33  -108387.964175   0.172549
  34  -108387.963534   0.173190
  35  -108387.960810   0.175914
  36  -108387.955261   0.181463
  37  -108387.951813   0.184911
  38  -108387.950790   0.185934
  39  -108387.946523   0.190201
  40  -108387.945439   0.191285
  41  -108387.945005   0.191719
  42  -108387.944875   0.191849
  43  -108387.944568   0.192156
  44  -108387.944090   0.192634
  45  -108387.943858   0.192866
  46  -108387.943403   0.193321
  47  -108387.943095   0.193629
  48  -108387.942483   0.194241
  49  -108387.937909   0.198815
  50  -108387.936444   0.200280
  51  -108387.929258   0.207466
  52  -108387.915469   0.221255
  53  -108387.915301   0.221423
  54  -108387.915096   0.221628
  55  -108387.914947   0.221777
  56  -108387.914152   0.222572
  57  -108387.912757   0.223967
  58  -108387.910988   0.225736
  59  -108387.906001   0.230723
  60  -108387.904801   0.231923
  61  -108387.897461   0.239263
  62  -108387.889118   0.247606
  63  -108387.887945   0.248779
  64  -108387.887385   0.249339
  65  -108387.886902   0.249822
  66  -108387.884913   0.251811
  67  -108387.878142   0.258582
  68  -108387.872799   0.263925
  69  -108387.871475   0.265249
  70  -108387.870280   0.266444
  71  -108387.868805   0.267919
  72  -108387.867881   0.268843
  73  -108387.862143   0.274581
  74  -108387.856325   0.280399
  75  -108387.855784   0.280940
  76  -108387.855208   0.281516
  77  -108387.853889   0.282835
  78  -108387.851824   0.284900
  79  -108387.850667   0.286057
  80  -108387.848832   0.287892
  81  -108387.848632   0.288092
  82  -108387.847684   0.289040
  83  -108387.847278   0.289446
  84  -108387.842445   0.294279
  85  -108387.841979   0.294745
  86  -108387.841706   0.295018
  87  -108387.841132   0.295592
  88  -108387.838853   0.297871
  89  -108387.835391   0.301333
  90  -108387.831353   0.305371
  91  -108387.829488   0.307236
  92  -108387.824982   0.311742
  93  -108387.816984   0.319740
  94  -108387.813839   0.322885
  95  -108387.813202   0.323522
  96  -108387.803826   0.332898
  97  -108387.802836   0.333888
  98  -108387.802437   0.334287
  99  -108387.801413   0.335311
 100  -108387.800885   0.335839
 101  -108387.799502   0.337222
 102  -108387.798987   0.337737
 103  -108387.793074   0.343650
 104  -108387.792381   0.344343
 105  -108387.789821   0.346903
 106  -108387.789205   0.347519
 107  -108387.789046   0.347678
 108  -108387.787207   0.349517
 109  -108387.784683   0.352041
 110  -108387.784338   0.352386
 111  -108387.782557   0.354167
 112  -108387.779856   0.356868
 113  -108387.778526   0.358198
 114  -108387.778451   0.358273
 115  -108387.769981   0.366743
 116  -108387.767240   0.369484
 117  -108387.766961   0.369763
 118  -108387.764519   0.372205
 119  -108387.762944   0.373780
 120  -108387.761819   0.374905
 121  -108387.761237   0.375487
 122  -108387.760621   0.376103
 123  -108387.758352   0.378372
 124  -108387.757619   0.379105
 125  -108387.753804   0.382920
 126  -108387.749113   0.387611
 127  -108387.746309   0.390415
 128  -108387.744174   0.392550
 129  -108387.717581   0.419143
 130  -108387.694488   0.442236
 131  -108387.688330   0.448394
 132  -108387.686697   0.450027
 133  -108387.677385   0.459339
 134  -108387.675175   0.461549
 135  -108387.672997   0.463727
 136  -108387.669697   0.467027
 137  -108387.660901   0.475823
 138  -108387.644549   0.492175
 139  -108387.637830   0.498894
 140  -108387.629481   0.507243
 141  -108387.628763   0.507961
 142  -108387.624662   0.512062
 143  -108387.618492   0.518232
 144  -108387.601533   0.535191
 145  -108387.592307   0.544417
 146  -108387.585164   0.551560
 147  -108387.584678   0.552046
 148  -108387.581987   0.554737
 149  -108387.550695   0.586029
 150  -108387.540452   0.596272
 151  -108387.532689   0.604035
 152  -108387.509371   0.627353
 153  -108387.505083   0.631641
 154  -108387.457666   0.679058
 155  -108387.448889   0.687835
 156  -108387.447097   0.689627
 157  -108387.442614   0.694110
 158  -108387.429693   0.707031
 159  -108387.429564   0.707160
 160  -108387.422677   0.714047
 161  -108387.420862   0.715862
 162  -108387.419785   0.716939
 163  -108387.414944   0.721780
 164  -108387.404028   0.732696
 165  -108387.399761   0.736963
 166  -108387.369166   0.767558
 167  -108387.368598   0.768126
 168  -108387.358572   0.778152
 169  -108387.357035   0.779689
 170  -108387.356220   0.780504
 171  -108387.352782   0.783942
 172  -108387.351716   0.785008
 173  -108387.351134   0.785590
 174  -108387.340087   0.796637
 175  -108387.337354   0.799370
 176  -108387.335781   0.800943
 177  -108387.332531   0.804193
 178  -108387.327422   0.809302
 179  -108387.318698   0.818026
 180  -108387.317093   0.819631
 181  -108387.314648   0.822076
 182  -108387.313071   0.823653
 183  -108387.309650   0.827074
 184  -108387.298844   0.837880
 185  -108387.290948   0.845776
 186  -108387.289178   0.847546
 187  -108387.286285   0.850439
 188  -108387.282166   0.854558
 189  -108387.277530   0.859194
 190  -108387.275391   0.861333
 191  -108387.274163   0.862561
 192  -108387.271615   0.865109
 193  -108387.268831   0.867893
 194  -108387.259870   0.876854
 195  -108387.251182   0.885542
 196  -108387.249790   0.886934
 197  -108387.245077   0.891647
 198  -108387.240391   0.896333
 199  -108387.237366   0.899358
 200  -108387.234927   0.901797
 201  -108387.234302   0.902422
 202  -108387.207101   0.929623
 203  -108387.202133   0.934591
 204  -108387.184131   0.952593
 205  -108387.180402   0.956322
 206  -108387.171729   0.964995
 207  -108387.170066   0.966658
 208  -108387.170025   0.966699
 209  -108387.152188   0.984536
 210  -108387.150800   0.985924
 211  -108387.127725   1.008999
 212  -108387.122654   1.014070
 213  -108387.120236   1.016488
 214  -108387.119682   1.017042
 215  -108387.107384   1.029340
 216  -108387.081173   1.055551
 217  -108387.079269   1.057455
 218  -108387.076322   1.060402
 219  -108387.042242   1.094482
 220  -108387.028964   1.107760
 221  -108386.991483   1.145241
 222  -108386.987365   1.149359
 223  -108386.980207   1.156517
 224  -108386.969606   1.167118
 225  -108386.934896   1.201828
 226  -108386.929315   1.207409
 227  -108386.910195   1.226529
 228  -108386.907974   1.228750
 229  -108386.883033   1.253691
 230  -108386.880756   1.255968
 231  -108386.878014   1.258710
 232  -108386.872127   1.264597
 233  -108386.869754   1.266970
 234  -108386.865654   1.271070
 235  -108386.865265   1.271459
 236  -108386.851549   1.285175
 237  -108386.846565   1.290159
 238  -108386.844513   1.292211
 239  -108386.840144   1.296580
 240  -108386.839411   1.297313
 241  -108386.834031   1.302693
 242  -108386.830022   1.306702
 243  -108386.809549   1.327175
 244  -108386.807305   1.329419
 245  -108386.806083   1.330641
 246  -108386.804967   1.331757
 247  -108386.804226   1.332498
 248  -108386.803073   1.333651
 249  -108386.794763   1.341961
 250  -108386.790075   1.346649
 251  -108386.786997   1.349727
 252  -108386.779126   1.357598
 253  -108386.777640   1.359084
 254  -108386.773869   1.362855
 255  -108386.772885   1.363839
 256  -108386.770299   1.366425
 257  -108386.768324   1.368400
 258  -108386.767364   1.369360
 259  -108386.767285   1.369439
 260  -108386.766247   1.370477
 261  -108386.762191   1.374533
 262  -108386.760428   1.376296
 263  -108386.759609   1.377115
 264  -108386.751433   1.385291
 265  -108386.747998   1.388726
 266  -108386.739101   1.397623
 267  -108386.738982   1.397742
 268  -108386.736917   1.399807
 269  -108386.730302   1.406422
 270  -108386.728531   1.408193
 271  -108386.723380   1.413344
 272  -108386.719728   1.416996
 273  -108386.717836   1.418888
 274  -108386.716978   1.419746
 275  -108386.714061   1.422663
 276  -108386.714019   1.422705
 277  -108386.712954   1.423770
 278  -108386.709782   1.426942
 279  -108386.705327   1.431397
 280  -108386.704274   1.432450
 281  -108386.702504   1.434220
 282  -108386.698282   1.438442
 283  -108386.696036   1.440688
 284  -108386.695824   1.440900
 285  -108386.693675   1.443049
 286  -108386.688261   1.448463
 287  -108386.687914   1.448810
 288  -108386.686104   1.450620
 289  -108386.682309   1.454415
 290  -108386.680354   1.456370
 291  -108386.676405   1.460319
 292  -108386.664361   1.472363
 293  -108386.661242   1.475482
 294  -108386.660995   1.475729
 295  -108386.660099   1.476625
 296  -108386.659182   1.477542
 297  -108386.657702   1.479022
 298  -108386.656606   1.480118
 299  -108386.652240   1.484484
 300  -108386.651744   1.484980
 301  -108386.648206   1.488518
 302  -108386.648103   1.488621
 303  -108386.647590   1.489134
 304  -108386.646893   1.489831
 305  -108386.645787   1.490937
 306  -108386.645336   1.491388
 307  -108386.642249   1.494475
 308  -108386.642132   1.494592
 309  -108386.641715   1.495009
 310  -108386.638627   1.498097
 311  -108386.630017   1.506707
 312  -108386.629496   1.507228
 313  -108386.627638   1.509086
 314  -108386.627156   1.509568
 315  -108386.625462   1.511262
 316  -108386.625235   1.511489
 317  -108386.623213   1.513511
 318  -108386.620723   1.516001
 319  -108386.619989   1.516735
 320  -108386.612558   1.524166
 321  -108386.612455   1.524269
 322  -108386.611929   1.524795
 323  -108386.609349   1.527375
 324  -108386.607766   1.528958
 325  -108386.604658   1.532066
 326  -108386.603158   1.533566
 327  -108386.602738   1.533986
 328  -108386.597161   1.539563
 329  -108386.594918   1.541806
 330  -108386.592724   1.544000
 331  -108386.588656   1.548068
 332  -108386.583280   1.553444
 333  -108386.581516   1.555208
 334  -108386.580619   1.556105
 335  -108386.580504   1.556220
 336  -108386.580052   1.556672
 337  -108386.578419   1.558305
 338  -108386.578385   1.558339
 339  -108386.577556   1.559168
 340  -108386.573684   1.563040
 341  -108386.568168   1.568556
 342  -108386.565791   1.570933
 343  -108386.564340   1.572384
 344  -108386.559499   1.577225
 345  -108386.558216   1.578508
 346  -108386.554665   1.582059
 347  -108386.554061   1.582663
 348  -108386.550534   1.586190
 349  -108386.547503   1.589221
 350  -108386.544968   1.591756
 351  -108386.544387   1.592337
 352  -108386.544043   1.592681
 353  -108386.542418   1.594306
 354  -108386.540262   1.596462
 355  -108386.534511   1.602213
 356  -108386.533053   1.603671
 357  -108386.532911   1.603813
 358  -108386.530058   1.606666
 359  -108386.527725   1.608999
 360  -108386.527222   1.609502
 361  -108386.526454   1.610270
 362  -108386.520078   1.616646
 363  -108386.519189   1.617535
 364  -108386.517619   1.619105
 365  -108386.517384   1.619340
 366  -108386.515947   1.620777
 367  -108386.515434   1.621290
 368  -108386.513748   1.622976
 369  -108386.506574   1.630150
 370  -108386.502498   1.634226
 371  -108386.501843   1.634881
 372  -108386.501365   1.635359
 373  -108386.500041   1.636683
 374  -108386.498660   1.638064
 375  -108386.494691   1.642033
 376  -108386.492084   1.644640
 377  -108386.489930   1.646794
 378  -108386.489054   1.647670
 379  -108386.488986   1.647738
 380  -108386.485629   1.651095
 381  -108386.480509   1.656215
 382  -108386.478911   1.657813
 383  -108386.477642   1.659082
 384  -108386.475936   1.660788
 385  -108386.472984   1.663740
 386  -108386.471045   1.665679
 387  -108386.471030   1.665694
 388  -108386.470482   1.666242
 389  -108386.468204   1.668520
 390  -108386.467986   1.668738
 391  -108386.465414   1.671310
 392  -108386.461728   1.674996
 393  -108386.458889   1.677835
 394  -108386.458521   1.678203
 395  -108386.454115   1.682609
 396  -108386.453333   1.683391
 397  -108386.451957   1.684767
 398  -108386.449248   1.687476
 399  -108386.444469   1.692255
 400  -108386.442821   1.693903
 401  -108386.440816   1.695908
 402  -108386.437366   1.699358
 403  -108386.437284   1.699440
 404  -108386.436577   1.700147
 405  -108386.434278   1.702446
 406  -108386.432858   1.703866
 407  -108386.432749   1.703975
 408  -108386.431720   1.705004
 409  -108386.431121   1.705603
 410  -108386.427372   1.709352
 411  -108386.426531   1.710193
 412  -108386.420494   1.716230
 413  -108386.418579   1.718145
 414  -108386.413049   1.723675
 415  -108386.412243   1.724481
 416  -108386.411050   1.725674
 417  -108386.404591   1.732133
 418  -108386.398140   1.738584
 419  -108386.394149   1.742575
 420  -108386.388533   1.748191
 421  -108386.382996   1.753728
 422  -108386.377092   1.759632
 423  -108386.374612   1.762112
 424  -108386.372391   1.764333
 425  -108386.371009   1.765715
 426  -108386.369596   1.767128
 427  -108386.368146   1.768578
 428  -108386.365102   1.771622
 429  -108386.362812   1.773912
 430  -108386.355128   1.781596
 431  -108386.354248   1.782476
 432  -108386.353484   1.783240
 433  -108386.336774   1.799950
 434  -108386.330938   1.805786
 435  -108386.329251   1.807473
 436  -108386.317891   1.818833
 437  -108386.315232   1.821492
 438  -108386.313263   1.823461
 439  -108386.309993   1.826731
 440  -108386.307030   1.829694
 441  -108386.305724   1.831000
 442  -108386.304801   1.831923
 443  -108386.300459   1.836265
 444  -108386.298140   1.838584
 445  -108386.297805   1.838919
 446  -108386.297298   1.839426
 447  -108386.296316   1.840408
 448  -108386.296011   1.840713
 449  -108386.295583   1.841141
 450  -108386.292295   1.844429
 451  -108386.286451   1.850273
 452  -108386.282841   1.853883
 453  -108386.267286   1.869438
 454  -108386.265855   1.870869
 455  -108386.265087   1.871637
 456  -108386.264926   1.871798
 457  -108386.263225   1.873499
 458  -108386.253590   1.883134
 459  -108386.244819   1.891905
 460  -108386.243925   1.892799
 461  -108386.243466   1.893258
 462  -108386.238140   1.898584
 463  -108386.237334   1.899390
 464  -108386.235581   1.901143
 465  -108386.231988   1.904736
 466  -108386.229288   1.907436
 467  -108386.227442   1.909282
 468  -108386.220817   1.915907
 469  -108386.210367   1.926357
 470  -108386.195264   1.941460
 471  -108386.194264   1.942460
 472  -108386.190243   1.946481
 473  -108386.186288   1.950436
 474  -108386.184075   1.952649
 475  -108386.183116   1.953608
 476  -108386.179652   1.957072
 477  -108386.178602   1.958122
 478  -108386.178367   1.958357
 479  -108386.176533   1.960191
 480  -108386.176100   1.960624
 481  -108386.149817   1.986907
 482  -108386.149348   1.987376
 483  -108386.147373   1.989351
 484  -108386.142570   1.994154
 485  -108386.111511   2.025213
 486  -108386.110107   2.026617
 487  -108386.107675   2.029049
 488  -108386.093365   2.043359
 489  -108386.082333   2.054391
 490  -108386.077974   2.058750
 491  -108386.066307   2.070417
 492  -108386.063212   2.073512
 493  -108386.059236   2.077488
 494  -108386.052601   2.084123
 495  -108386.049318   2.087406
 496  -108386.028329   2.108395
 497  -108386.021460   2.115264
 498  -108386.010554   2.126170
 499  -108386.009829   2.126895
 500  -108385.999797   2.136927
 501  -108385.989812   2.146912
 502  -108385.980564   2.156160
 503  -108385.978629   2.158095
 504  -108385.974577   2.162147
 505  -108385.972036   2.164688
 506  -108385.967690   2.169034
 507  -108385.947881   2.188843
 508  -108385.943967   2.192757
 509  -108385.939205   2.197519
 510  -108385.933905   2.202819
 511  -108385.911266   2.225458
 512  -108385.910756   2.225968
 513  -108385.902725   2.233999
 514  -108385.889497   2.247227
 515  -108385.877543   2.259181
 516  -108385.829526   2.307198
 517  -108385.802186   2.334538
 518  -108385.798848   2.337876
 519  -108385.775412   2.361312
 520  -108385.763805   2.372919
 521  -108385.733245   2.403479
 522  -108385.721441   2.415283
 523  -108385.720809   2.415915
 524  -108385.717531   2.419193
 525  -108385.712438   2.424286
 526  -108385.709834   2.426890
 527  -108385.689882   2.446842
 528  -108385.688529   2.448195
 529  -108385.685397   2.451327
 530  -108385.670404   2.466320
 531  -108385.670272   2.466452
 532  -108385.670158   2.466566
 533  -108385.667951   2.468773
 534  -108385.665193   2.471531
 535  -108385.652721   2.484003
 536  -108385.644750   2.491974
 537  -108385.634983   2.501741
 538  -108385.629737   2.506987
 539  -108385.623649   2.513075
 540  -108385.582440   2.554284
 541  -108385.555530   2.581194
 542  -108385.547748   2.588976
 543  -108385.510074   2.626650
 544  -108385.495602   2.641122
 545  -108385.479713   2.657011
 546  -108385.273848   2.862876
