# Relative energy hierarchy for protonated Ac-Arg-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -21202.1943641   0.000000
   2  -21202.1937966   0.000567
   3  -21202.1473735   0.046991
   4  -21202.143848   0.050516
   5  -21202.1329972   0.061367
   6  -21202.1328066   0.061558
   7  -21202.132681   0.061683
   8  -21202.1324612   0.061903
   9  -21202.12739   0.066974
  10  -21202.1267214   0.067643
  11  -21202.1136875   0.080677
  12  -21202.1078104   0.086554
  13  -21202.1075337   0.086830
  14  -21202.1074283   0.086936
  15  -21202.1073793   0.086985
  16  -21202.107369   0.086995
  17  -21202.1073343   0.087030
  18  -21202.1073284   0.087036
  19  -21202.1073234   0.087041
  20  -21202.1073157   0.087048
  21  -21202.1072547   0.087109
  22  -21202.1072423   0.087122
  23  -21202.1072192   0.087145
  24  -21202.1072158   0.087148
  25  -21202.1071946   0.087169
  26  -21202.1071607   0.087203
  27  -21202.107141   0.087223
  28  -21202.1071242   0.087240
  29  -21202.1071005   0.087264
  30  -21202.1070905   0.087274
  31  -21202.1070876   0.087276
  32  -21202.1070466   0.087318
  33  -21202.1070346   0.087329
  34  -21202.1069885   0.087376
  35  -21202.1069543   0.087410
  36  -21202.1069472   0.087417
  37  -21202.1069331   0.087431
  38  -21202.106893   0.087471
  39  -21202.1068744   0.087490
  40  -21202.1068491   0.087515
  41  -21202.1068366   0.087527
  42  -21202.1067793   0.087585
  43  -21202.1066324   0.087732
  44  -21202.1064437   0.087920
  45  -21202.1057982   0.088566
  46  -21202.1052781   0.089086
  47  -21202.0912332   0.103131
  48  -21202.0890456   0.105318
  49  -21202.0880899   0.106274
  50  -21202.0872105   0.107154
  51  -21202.086717   0.107647
  52  -21202.0865894   0.107775
  53  -21202.0823728   0.111991
  54  -21202.0779392   0.116425
  55  -21202.0778654   0.116499
  56  -21202.077372   0.116992
  57  -21202.0773653   0.116999
  58  -21202.0772964   0.117068
  59  -21202.0771792   0.117185
  60  -21202.0642273   0.130137
  61  -21202.0637187   0.130645
  62  -21202.0630362   0.131328
  63  -21202.0616997   0.132664
  64  -21202.0569967   0.137367
  65  -21202.0564222   0.137942
  66  -21202.051395   0.142969
  67  -21202.0508793   0.143485
  68  -21202.0457511   0.148613
  69  -21202.0424829   0.151881
  70  -21202.0418587   0.152505
  71  -21202.039661   0.154703
  72  -21202.039349   0.155015
  73  -21202.0389236   0.155440
  74  -21202.0372471   0.157117
  75  -21202.0312764   0.163088
  76  -21202.0241586   0.170205
  77  -21202.0235482   0.170816
  78  -21202.0231955   0.171169
  79  -21202.0231141   0.171250
  80  -21202.0229281   0.171436
  81  -21202.0203167   0.174047
  82  -21202.0192292   0.175135
  83  -21202.0190139   0.175350
  84  -21202.0182163   0.176148
  85  -21202.0180977   0.176266
  86  -21202.0170014   0.177363
  87  -21202.0162638   0.178100
  88  -21202.012237   0.182127
  89  -21202.0117299   0.182634
  90  -21202.010906   0.183458
  91  -21202.0104034   0.183961
  92  -21202.0068616   0.187503
  93  -21202.0067301   0.187634
  94  -21202.0065822   0.187782
  95  -21202.0053717   0.188992
  96  -21202.0053017   0.189062
  97  -21202.0044004   0.189964
  98  -21202.0042509   0.190113
  99  -21202.0039262   0.190438
 100  -21202.0004923   0.193872
 101  -21201.9973461   0.197018
 102  -21201.9964766   0.197887
 103  -21201.9942011   0.200163
 104  -21201.9937037   0.200660
 105  -21201.992471   0.201893
 106  -21201.9919644   0.202400
 107  -21201.9918932   0.202471
 108  -21201.9917496   0.202614
 109  -21201.990738   0.203626
 110  -21201.9906316   0.203732
 111  -21201.9874889   0.206875
 112  -21201.9873888   0.206975
 113  -21201.9867327   0.207631
 114  -21201.9866106   0.207753
 115  -21201.9865877   0.207776
 116  -21201.9864   0.207964
 117  -21201.9863408   0.208023
 118  -21201.986331   0.208033
 119  -21201.9863257   0.208038
 120  -21201.9863244   0.208040
 121  -21201.9862949   0.208069
 122  -21201.9862615   0.208103
 123  -21201.9862544   0.208110
 124  -21201.9862088   0.208155
 125  -21201.9861484   0.208216
 126  -21201.9859089   0.208455
 127  -21201.9857435   0.208621
 128  -21201.985342   0.209022
 129  -21201.9851578   0.209206
 130  -21201.9848338   0.209530
 131  -21201.9838086   0.210555
 132  -21201.9824664   0.211898
 133  -21201.9797411   0.214623
 134  -21201.9788608   0.215503
 135  -21201.9785575   0.215807
 136  -21201.9784714   0.215893
 137  -21201.9783444   0.216020
 138  -21201.9783123   0.216052
 139  -21201.9781327   0.216231
 140  -21201.9774226   0.216941
 141  -21201.9758967   0.218467
 142  -21201.9751034   0.219261
 143  -21201.974802   0.219562
 144  -21201.9729522   0.221412
 145  -21201.968088   0.226276
 146  -21201.9660751   0.228289
 147  -21201.9651702   0.229194
 148  -21201.9651569   0.229207
 149  -21201.9639454   0.230419
 150  -21201.9628631   0.231501
 151  -21201.9625002   0.231864
 152  -21201.9622312   0.232133
 153  -21201.9621371   0.232227
 154  -21201.9594965   0.234868
 155  -21201.9573983   0.236966
 156  -21201.9534098   0.240954
 157  -21201.9526962   0.241668
 158  -21201.9517202   0.242644
 159  -21201.9501633   0.244201
 160  -21201.9481465   0.246218
 161  -21201.9480448   0.246319
 162  -21201.9469054   0.247459
 163  -21201.9408272   0.253537
 164  -21201.9408234   0.253541
 165  -21201.9404836   0.253881
 166  -21201.9381257   0.256238
 167  -21201.9363299   0.258034
 168  -21201.9357333   0.258631
 169  -21201.9350655   0.259299
 170  -21201.9344758   0.259888
 171  -21201.926447   0.267917
 172  -21201.924868   0.269496
 173  -21201.9244249   0.269939
 174  -21201.9225096   0.271854
 175  -21201.9221177   0.272246
 176  -21201.920137   0.274227
 177  -21201.9199707   0.274393
 178  -21201.9191134   0.275251
 179  -21201.9189567   0.275407
 180  -21201.9153848   0.278979
 181  -21201.9147731   0.279591
 182  -21201.9143049   0.280059
 183  -21201.9135505   0.280814
 184  -21201.9133698   0.280994
 185  -21201.912875   0.281489
 186  -21201.9128646   0.281500
 187  -21201.9128072   0.281557
 188  -21201.9098617   0.284502
 189  -21201.9073833   0.286981
 190  -21201.9072223   0.287142
 191  -21201.9066781   0.287686
 192  -21201.9050974   0.289267
 193  -21201.9042872   0.290077
 194  -21201.9028979   0.291466
 195  -21201.9024936   0.291871
 196  -21201.9021605   0.292204
 197  -21201.9018641   0.292500
 198  -21201.9015822   0.292782
 199  -21201.9007387   0.293625
 200  -21201.9004961   0.293868
 201  -21201.8984063   0.295958
 202  -21201.8969909   0.297373
 203  -21201.8968124   0.297552
 204  -21201.8963114   0.298053
 205  -21201.8957935   0.298571
 206  -21201.8954108   0.298953
 207  -21201.8950568   0.299307
 208  -21201.8949596   0.299405
 209  -21201.8946744   0.299690
 210  -21201.8939042   0.300460
 211  -21201.8937952   0.300569
 212  -21201.8935645   0.300800
 213  -21201.8930391   0.301325
 214  -21201.8906912   0.303673
 215  -21201.8902866   0.304078
 216  -21201.8890363   0.305328
 217  -21201.8888165   0.305548
 218  -21201.8882148   0.306149
 219  -21201.8865055   0.307859
 220  -21201.886315   0.308049
 221  -21201.8833292   0.311035
 222  -21201.8828619   0.311502
 223  -21201.8828003   0.311564
 224  -21201.8815515   0.312813
 225  -21201.881436   0.312928
 226  -21201.8812409   0.313123
 227  -21201.8783563   0.316008
 228  -21201.8782384   0.316126
 229  -21201.8781419   0.316222
 230  -21201.8768107   0.317553
 231  -21201.8764014   0.317963
 232  -21201.8755443   0.318820
 233  -21201.8739509   0.320413
 234  -21201.8714152   0.322949
 235  -21201.870887   0.323477
 236  -21201.8694046   0.324960
 237  -21201.8691767   0.325187
 238  -21201.8673696   0.326994
