# Relative energy hierarchy for Argh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -241651.522087   0.000000
   2  -241651.514261   0.007826
   3  -241651.513681   0.008406
   4  -241651.468847   0.053240
   5  -241651.468210   0.053877
   6  -241651.463753   0.058334
   7  -241651.463079   0.059008
   8  -241651.436640   0.085447
   9  -241651.427531   0.094556
  10  -241651.378297   0.143790
  11  -241651.375696   0.146391
  12  -241651.357114   0.164973
  13  -241651.355045   0.167042
  14  -241651.350484   0.171603
  15  -241651.344102   0.177985
  16  -241651.339155   0.182932
  17  -241651.324292   0.197795
  18  -241651.302305   0.219782
  19  -241651.277536   0.244551
  20  -241651.277230   0.244857
  21  -241651.276594   0.245493
  22  -241651.272054   0.250033
  23  -241651.261525   0.260562
  24  -241651.254133   0.267954
  25  -241651.253235   0.268852
  26  -241651.235235   0.286852
  27  -241651.003679   0.518408
  28  -241651.003407   0.518680
  29  -241650.992717   0.529370
  30  -241650.991672   0.530415
  31  -241650.945851   0.576236
  32  -241650.943490   0.578597
  33  -241650.909589   0.612498
  34  -241650.886290   0.635797
  35  -241650.885199   0.636888
  36  -241650.885176   0.636911
  37  -241650.869346   0.652741
  38  -241650.863349   0.658738
  39  -241650.853918   0.668169
  40  -241650.853616   0.668471
  41  -241650.852316   0.669771
  42  -241650.847599   0.674488
  43  -241650.839656   0.682431
  44  -241650.834030   0.688057
  45  -241650.827597   0.694490
  46  -241650.826648   0.695439
  47  -241650.821310   0.700777
  48  -241650.816750   0.705337
  49  -241650.814905   0.707182
  50  -241650.753212   0.768875
  51  -241650.711869   0.810218
  52  -241650.711098   0.810989
  53  -241650.693756   0.828331
  54  -241650.682524   0.839563
  55  -241650.682398   0.839689
  56  -241650.681850   0.840237
  57  -241650.657454   0.864633
  58  -241650.646193   0.875894
  59  -241650.642434   0.879653
  60  -241650.642153   0.879934
  61  -241650.614747   0.907340
  62  -241650.612774   0.909313
  63  -241650.611874   0.910213
  64  -241650.588322   0.933765
  65  -241650.580358   0.941729
  66  -241650.576039   0.946048
  67  -241650.563317   0.958770
  68  -241650.562741   0.959346
  69  -241650.559364   0.962723
  70  -241650.554633   0.967454
  71  -241650.549216   0.972871
  72  -241650.548708   0.973379
  73  -241650.547533   0.974554
  74  -241650.540141   0.981946
  75  -241650.538799   0.983288
  76  -241650.536405   0.985682
  77  -241650.535967   0.986120
  78  -241650.533804   0.988283
  79  -241650.529232   0.992855
  80  -241650.529036   0.993051
  81  -241650.527221   0.994866
  82  -241650.526722   0.995365
  83  -241650.526669   0.995418
  84  -241650.524474   0.997613
  85  -241650.523372   0.998715
  86  -241650.522556   0.999531
  87  -241650.522200   0.999887
  88  -241650.518770   1.003317
  89  -241650.514524   1.007563
  90  -241650.513240   1.008847
  91  -241650.506723   1.015364
  92  -241650.487305   1.034782
  93  -241650.484996   1.037091
  94  -241650.454963   1.067124
  95  -241650.439921   1.082166
  96  -241650.412780   1.109307
  97  -241650.409437   1.112650
  98  -241650.368359   1.153728
  99  -241650.320526   1.201561
 100  -241650.313733   1.208354
 101  -241650.269448   1.252639
 102  -241650.257742   1.264345
 103  -241650.208359   1.313728
 104  -241650.176057   1.346030
 105  -241650.145419   1.376668
