# Relative energy hierarchy for protonated Arg conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -35058.1569604   0.000000
   2  -35058.155265   0.001695
   3  -35058.1484269   0.008534
   4  -35058.1483699   0.008591
   5  -35058.1480973   0.008863
   6  -35058.147155   0.009805
   7  -35058.104437   0.052523
   8  -35058.1039304   0.053030
   9  -35058.1034148   0.053546
  10  -35058.0998795   0.057081
  11  -35058.099108   0.057852
  12  -35058.0987999   0.058161
  13  -35058.0838167   0.073144
  14  -35058.0755451   0.081415
  15  -35058.0157741   0.141186
  16  -35058.0085005   0.148460
  17  -35057.9925357   0.164425
  18  -35057.9886097   0.168351
  19  -35057.9867368   0.170224
  20  -35057.9825221   0.174438
  21  -35057.9819443   0.175016
  22  -35057.9778844   0.179076
  23  -35057.9691511   0.187809
  24  -35057.9685575   0.188403
  25  -35057.9423375   0.214623
  26  -35057.9213956   0.235565
  27  -35057.9211832   0.235777
  28  -35057.9208918   0.236069
  29  -35057.9176887   0.239272
  30  -35057.9087673   0.248193
  31  -35057.8960995   0.260861
  32  -35057.8929093   0.264051
  33  -35057.8895065   0.267454
  34  -35057.8708258   0.286135
  35  -35057.6067296   0.550231
  36  -35057.6059838   0.550977
  37  -35057.5968524   0.560108
  38  -35057.5964975   0.560463
  39  -35057.5506179   0.606343
  40  -35057.5483887   0.608572
  41  -35057.50714   0.649820
  42  -35057.483402   0.673558
  43  -35057.4816716   0.675289
  44  -35057.4793319   0.677629
  45  -35057.4694543   0.687506
  46  -35057.4597211   0.697239
  47  -35057.4529368   0.704024
  48  -35057.4506553   0.706305
  49  -35057.4490534   0.707907
  50  -35057.4486292   0.708331
  51  -35057.4374419   0.719519
  52  -35057.4365263   0.720434
  53  -35057.4273761   0.729584
  54  -35057.4222619   0.734699
  55  -35057.4220542   0.734906
  56  -35057.4184013   0.738559
  57  -35057.4154447   0.741516
  58  -35057.3474151   0.809545
  59  -35057.3009561   0.856004
  60  -35057.3004197   0.856541
  61  -35057.2998653   0.857095
  62  -35057.2993068   0.857654
  63  -35057.2901003   0.866860
  64  -35057.2895655   0.867395
  65  -35057.2746742   0.882286
  66  -35057.2743773   0.882583
  67  -35057.2741493   0.882811
  68  -35057.2737127   0.883248
  69  -35057.273034   0.883926
  70  -35057.2479982   0.908962
  71  -35057.2436303   0.913330
  72  -35057.2431196   0.913841
  73  -35057.2366128   0.920348
  74  -35057.2364716   0.920489
  75  -35057.2362725   0.920688
  76  -35057.1994119   0.957549
  77  -35057.1964348   0.960526
  78  -35057.1959848   0.960976
  79  -35057.1955745   0.961386
  80  -35057.1719395   0.985021
  81  -35057.1714295   0.985531
  82  -35057.1623662   0.994594
  83  -35057.1617579   0.995203
  84  -35057.1586101   0.998350
  85  -35057.1574589   0.999502
  86  -35057.1484267   1.008534
  87  -35057.1482513   1.008709
  88  -35057.1458967   1.011064
  89  -35057.145009   1.011951
  90  -35057.1448595   1.012101
  91  -35057.1438484   1.013112
  92  -35057.1401743   1.016786
  93  -35057.134232   1.022728
  94  -35057.1331989   1.023762
  95  -35057.1267076   1.030253
  96  -35057.1261665   1.030794
  97  -35057.125305   1.031655
  98  -35057.1251656   1.031795
  99  -35057.1249128   1.032048
 100  -35057.1246179   1.032343
 101  -35057.1212995   1.035661
 102  -35057.1209931   1.035967
 103  -35057.1195131   1.037447
 104  -35057.1149648   1.041996
 105  -35057.1111294   1.045831
 106  -35057.1109793   1.045981
 107  -35057.1103139   1.046647
 108  -35057.1070774   1.049883
 109  -35057.1058491   1.051111
 110  -35057.1043645   1.052596
 111  -35057.1042401   1.052720
 112  -35057.1035793   1.053381
 113  -35057.1027862   1.054174
 114  -35057.1022775   1.054683
 115  -35057.0975223   1.059438
 116  -35057.0963363   1.060624
 117  -35057.0908129   1.066148
 118  -35057.089693   1.067267
 119  -35057.0836501   1.073310
 120  -35057.068725   1.088235
 121  -35057.0672555   1.089705
 122  -35057.0202165   1.136744
 123  -35056.9902477   1.166713
 124  -35056.9868599   1.170101
 125  -35056.7726108   1.384350
 126  -35056.6424682   1.514492
 127  -35056.6338551   1.523105
 128  -35056.631635   1.525325
 129  -35056.6254226   1.531538
 130  -35056.5808648   1.576096
 131  -35056.5531415   1.603819
 132  -35056.5397143   1.617246
 133  -35056.5173633   1.639597
 134  -35056.4804095   1.676551
 135  -35056.4573637   1.699597
