# Relative energy hierarchy for Argh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -170631.449779   0.000000
   2  -170631.448649   0.001130
   3  -170631.446466   0.003313
   4  -170631.446011   0.003768
   5  -170631.411486   0.038293
   6  -170631.408758   0.041021
   7  -170631.407471   0.042308
   8  -170631.400053   0.049726
   9  -170631.399512   0.050267
  10  -170631.395939   0.053840
  11  -170631.308483   0.141296
  12  -170631.296784   0.152995
  13  -170631.291383   0.158396
  14  -170631.286344   0.163435
  15  -170631.276760   0.173019
  16  -170631.276417   0.173362
  17  -170631.271740   0.178039
  18  -170631.266992   0.182787
  19  -170631.266273   0.183506
  20  -170631.257374   0.192405
  21  -170631.236372   0.213407
  22  -170631.212066   0.237713
  23  -170631.198284   0.251495
  24  -170631.183971   0.265808
  25  -170631.180558   0.269221
  26  -170631.169950   0.279829
  27  -170631.169024   0.280755
  28  -170631.128005   0.321774
  29  -170631.123506   0.326273
  30  -170631.103155   0.346624
  31  -170631.084641   0.365138
  32  -170631.081588   0.368191
  33  -170631.071305   0.378474
  34  -170630.989431   0.460348
  35  -170630.976456   0.473323
  36  -170630.975665   0.474114
  37  -170630.969301   0.480478
  38  -170630.967993   0.481786
  39  -170630.954250   0.495529
  40  -170630.953722   0.496057
  41  -170630.945663   0.504116
  42  -170630.945498   0.504281
  43  -170630.941503   0.508276
  44  -170630.934066   0.515713
  45  -170630.918492   0.531287
  46  -170630.916687   0.533092
  47  -170630.708176   0.741603
  48  -170630.707861   0.741918
  49  -170630.707385   0.742394
  50  -170630.705932   0.743847
  51  -170630.705426   0.744353
  52  -170630.688064   0.761715
  53  -170630.688061   0.761718
  54  -170630.687858   0.761921
  55  -170630.670751   0.779028
  56  -170630.669764   0.780015
  57  -170630.654295   0.795484
  58  -170630.644791   0.804988
  59  -170630.587783   0.861996
  60  -170630.586512   0.863267
  61  -170630.559465   0.890314
  62  -170630.559020   0.890759
  63  -170630.545236   0.904543
  64  -170630.544275   0.905504
  65  -170630.539002   0.910777
  66  -170630.537510   0.912269
  67  -170630.532575   0.917204
  68  -170630.529709   0.920070
  69  -170630.525380   0.924399
  70  -170630.522865   0.926914
  71  -170630.522315   0.927464
  72  -170630.519573   0.930206
  73  -170630.519522   0.930257
  74  -170630.517520   0.932259
  75  -170630.511582   0.938197
  76  -170630.511557   0.938222
  77  -170630.511320   0.938459
  78  -170630.502684   0.947095
  79  -170630.500055   0.949724
  80  -170630.499916   0.949863
  81  -170630.492157   0.957622
  82  -170630.481382   0.968397
  83  -170630.481084   0.968695
  84  -170630.478741   0.971038
  85  -170630.471108   0.978671
  86  -170630.457350   0.992429
  87  -170630.453744   0.996035
  88  -170630.432644   1.017135
  89  -170630.416344   1.033435
  90  -170630.414036   1.035743
  91  -170630.408892   1.040887
  92  -170630.395832   1.053947
  93  -170630.385567   1.064212
  94  -170630.382827   1.066952
  95  -170630.327175   1.122604
  96  -170630.286552   1.163227
  97  -170630.250504   1.199275
  98  -170630.248599   1.201180
  99  -170630.181940   1.267839
