# Relative energy hierarchy for Argh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -569910.0289464   0.000000
   2  -569910.0286338   0.000313
   3  -569910.0285988   0.000348
   4  -569910.0283150   0.000631
   5  -569910.0251588   0.003788
   6  -569910.0247956   0.004151
   7  -569910.0181175   0.010829
   8  -569909.9962856   0.032661
   9  -569909.9936386   0.035308
  10  -569909.9935315   0.035415
  11  -569909.9923272   0.036619
  12  -569909.9810443   0.047902
  13  -569909.9809102   0.048036
  14  -569909.9801569   0.048790
  15  -569909.8851258   0.143821
  16  -569909.8715758   0.157371
  17  -569909.8685784   0.160368
  18  -569909.8651625   0.163784
  19  -569909.8581642   0.170782
  20  -569909.8489997   0.179947
  21  -569909.8488510   0.180095
  22  -569909.8487241   0.180222
  23  -569909.8481715   0.180775
  24  -569909.8434440   0.185502
  25  -569909.8431103   0.185836
  26  -569909.8428383   0.186108
  27  -569909.8425677   0.186379
  28  -569909.8408446   0.188102
  29  -569909.8401495   0.188797
  30  -569909.7854363   0.243510
  31  -569909.7851045   0.243842
  32  -569909.7761908   0.252756
  33  -569909.7667808   0.262166
  34  -569909.7592863   0.269660
  35  -569909.7528704   0.276076
  36  -569909.7464989   0.282448
  37  -569909.7436777   0.285269
  38  -569909.7284258   0.300521
  39  -569909.7279700   0.300976
  40  -569909.7178442   0.311102
  41  -569909.7166656   0.312281
  42  -569909.7089300   0.320016
  43  -569909.7087665   0.320180
  44  -569909.6469272   0.382019
  45  -569909.6466115   0.382335
  46  -569909.6299862   0.398960
  47  -569909.6135147   0.415432
  48  -569909.6014706   0.427476
  49  -569909.6010751   0.427871
  50  -569909.5983525   0.430594
  51  -569909.5929307   0.436016
  52  -569909.5911840   0.437762
  53  -569909.5868091   0.442137
  54  -569909.5863286   0.442618
  55  -569909.5764592   0.452487
  56  -569909.5711026   0.457844
  57  -569909.5619624   0.466984
  58  -569909.5536617   0.475285
  59  -569909.3274044   0.701542
  60  -569909.3269629   0.701984
  61  -569909.3174162   0.711530
  62  -569909.3171708   0.711776
  63  -569909.3161975   0.712749
  64  -569909.3161356   0.712811
  65  -569909.3160861   0.712860
  66  -569909.2870289   0.741918
  67  -569909.2866841   0.742262
  68  -569909.2862916   0.742655
  69  -569909.2860874   0.742859
  70  -569909.2789543   0.749992
  71  -569909.2786077   0.750339
  72  -569909.2771935   0.751753
  73  -569909.2693657   0.759581
  74  -569909.2522205   0.776726
  75  -569909.2517549   0.777192
  76  -569909.1737907   0.855156
  77  -569909.1726749   0.856272
  78  -569909.1670332   0.861913
  79  -569909.1643660   0.864580
  80  -569909.1514142   0.877532
  81  -569909.1481022   0.880844
  82  -569909.1478724   0.881074
  83  -569909.1439130   0.885033
  84  -569909.1428790   0.886067
  85  -569909.1355493   0.893397
  86  -569909.1346629   0.894284
  87  -569909.1320291   0.896917
  88  -569909.1306402   0.898306
  89  -569909.1295777   0.899369
  90  -569909.1157140   0.913232
  91  -569909.1147054   0.914241
  92  -569909.0966715   0.932275
  93  -569909.0958419   0.933105
