# Relative energy hierarchy for Argh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -606656.427024   0.000000
   2  -606656.417960   0.009064
   3  -606656.417464   0.009560
   4  -606656.375290   0.051734
   5  -606656.374100   0.052924
   6  -606656.371452   0.055572
   7  -606656.370344   0.056680
   8  -606656.360976   0.066048
   9  -606656.353506   0.073518
  10  -606656.286500   0.140524
  11  -606656.277192   0.149832
  12  -606656.264527   0.162497
  13  -606656.260192   0.166832
  14  -606656.258620   0.168404
  15  -606656.258222   0.168802
  16  -606656.248348   0.178676
  17  -606656.246337   0.180687
  18  -606656.216885   0.210139
  19  -606656.197959   0.229065
  20  -606656.197331   0.229693
  21  -606656.192903   0.234121
  22  -606656.181491   0.245533
  23  -606656.167781   0.259243
  24  -606656.166584   0.260440
  25  -606656.162342   0.264682
  26  -606656.143170   0.283854
  27  -606655.975799   0.451225
  28  -606655.974255   0.452769
  29  -606655.972093   0.454931
  30  -606655.970924   0.456100
  31  -606655.970279   0.456745
  32  -606655.920640   0.506384
  33  -606655.919069   0.507955
  34  -606655.876001   0.551023
  35  -606655.855677   0.571347
  36  -606655.852982   0.574042
  37  -606655.852809   0.574215
  38  -606655.836431   0.590593
  39  -606655.826436   0.600588
  40  -606655.820524   0.606500
  41  -606655.815197   0.611827
  42  -606655.814750   0.612274
  43  -606655.809310   0.617714
  44  -606655.805838   0.621186
  45  -606655.801422   0.625602
  46  -606655.797927   0.629097
  47  -606655.795791   0.631233
  48  -606655.789720   0.637304
  49  -606655.786271   0.640753
  50  -606655.638056   0.788968
  51  -606655.636903   0.790121
  52  -606655.627940   0.799084
  53  -606655.625066   0.801958
  54  -606655.624470   0.802554
  55  -606655.624073   0.802951
  56  -606655.587796   0.839228
  57  -606655.587015   0.840009
  58  -606655.583916   0.843108
  59  -606655.583509   0.843515
  60  -606655.539234   0.887790
  61  -606655.535918   0.891106
  62  -606655.526496   0.900528
  63  -606655.506492   0.920532
  64  -606655.495917   0.931107
  65  -606655.492446   0.934578
  66  -606655.490604   0.936420
  67  -606655.481010   0.946014
  68  -606655.480976   0.946048
  69  -606655.479154   0.947870
  70  -606655.478143   0.948881
  71  -606655.476644   0.950380
  72  -606655.473875   0.953149
  73  -606655.473004   0.954020
  74  -606655.464657   0.962367
  75  -606655.464155   0.962869
  76  -606655.462403   0.964621
  77  -606655.462096   0.964928
  78  -606655.459590   0.967434
  79  -606655.458834   0.968190
  80  -606655.454953   0.972071
  81  -606655.448956   0.978068
  82  -606655.446659   0.980365
  83  -606655.441964   0.985060
  84  -606655.441808   0.985216
  85  -606655.440051   0.986973
  86  -606655.438441   0.988583
  87  -606655.424819   1.002205
  88  -606655.418240   1.008784
  89  -606655.413083   1.013941
  90  -606655.405429   1.021595
  91  -606655.355419   1.071605
  92  -606655.334207   1.092817
  93  -606655.330562   1.096462
  94  -606654.936634   1.490390
  95  -606654.871757   1.555267
  96  -606654.790372   1.636652
  97  -606654.782351   1.644673
  98  -606654.777573   1.649451
  99  -606654.760668   1.666356
 100  -606654.735768   1.691256
 101  -606654.690817   1.736207
 102  -606654.663560   1.763464
 103  -606654.640292   1.786732
 104  -606654.598574   1.828450
