# Relative energy hierarchy for Argh conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -103704.155248   0.000000
   2  -103704.147309   0.007939
   3  -103704.146832   0.008416
   4  -103704.102485   0.052763
   5  -103704.101807   0.053441
   6  -103704.096866   0.058382
   7  -103704.096346   0.058902
   8  -103704.075810   0.079438
   9  -103704.067157   0.088091
  10  -103704.013020   0.142228
  11  -103704.008847   0.146401
  12  -103703.991494   0.163754
  13  -103703.987508   0.167740
  14  -103703.984251   0.170997
  15  -103703.976638   0.178610
  16  -103703.975066   0.180182
  17  -103703.961157   0.194091
  18  -103703.938206   0.217042
  19  -103703.913508   0.241740
  20  -103703.913344   0.241904
  21  -103703.905890   0.249358
  22  -103703.894321   0.260927
  23  -103703.888945   0.266303
  24  -103703.886728   0.268520
  25  -103703.868362   0.286886
  26  -103703.623768   0.531480
  27  -103703.623253   0.531995
  28  -103703.611303   0.543945
  29  -103703.610505   0.544743
  30  -103703.566470   0.588778
  31  -103703.564395   0.590853
  32  -103703.526071   0.629177
  33  -103703.502309   0.652939
  34  -103703.501806   0.653442
  35  -103703.500568   0.654680
  36  -103703.487220   0.668028
  37  -103703.480588   0.674660
  38  -103703.470416   0.684832
  39  -103703.470229   0.685019
  40  -103703.470167   0.685081
  41  -103703.465178   0.690070
  42  -103703.457501   0.697747
  43  -103703.452987   0.702261
  44  -103703.444158   0.711090
  45  -103703.442772   0.712476
  46  -103703.439669   0.715579
  47  -103703.435382   0.719866
  48  -103703.431635   0.723613
  49  -103703.369997   0.785251
  50  -103703.316610   0.838638
  51  -103703.316503   0.838745
  52  -103703.316082   0.839166
  53  -103703.305691   0.849557
  54  -103703.291688   0.863560
  55  -103703.291458   0.863790
  56  -103703.290459   0.864789
  57  -103703.263415   0.891833
  58  -103703.258525   0.896723
  59  -103703.252555   0.902693
  60  -103703.252300   0.902948
  61  -103703.220983   0.934265
  62  -103703.218718   0.936530
  63  -103703.216269   0.938979
  64  -103703.191860   0.963388
  65  -103703.183069   0.972179
  66  -103703.179282   0.975966
  67  -103703.166483   0.988765
  68  -103703.165434   0.989814
  69  -103703.163338   0.991910
  70  -103703.162493   0.992755
  71  -103703.157873   0.997375
  72  -103703.154985   1.000263
  73  -103703.152974   1.002274
  74  -103703.144592   1.010656
  75  -103703.143523   1.011725
  76  -103703.142873   1.012375
  77  -103703.142782   1.012466
  78  -103703.140983   1.014265
  79  -103703.138598   1.016650
  80  -103703.137674   1.017574
  81  -103703.133706   1.021542
  82  -103703.132211   1.023037
  83  -103703.129276   1.025972
  84  -103703.129097   1.026151
  85  -103703.129047   1.026201
  86  -103703.128725   1.026523
  87  -103703.128107   1.027141
  88  -103703.123211   1.032037
  89  -103703.115353   1.039895
  90  -103703.109776   1.045472
  91  -103703.091025   1.064223
  92  -103703.090641   1.064607
  93  -103703.041981   1.113267
  94  -103703.014810   1.140438
  95  -103703.011777   1.143471
  96  -103702.929947   1.225301
  97  -103702.828118   1.327130
  98  -103702.793498   1.361750
  99  -103702.786770   1.368478
 100  -103702.741121   1.414127
 101  -103702.718363   1.436885
 102  -103702.714031   1.441217
 103  -103702.679091   1.476157
 104  -103702.644638   1.510610
 105  -103702.618254   1.536994
