# Relative energy hierarchy for protonated Arg conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -16519.2634554   0.000000
   2  -16519.2628224   0.000633
   3  -16519.1622183   0.101237
   4  -16519.1551967   0.108259
   5  -16519.1524598   0.110996
   6  -16519.1431887   0.120267
   7  -16519.1401513   0.123304
   8  -16519.1374005   0.126055
   9  -16519.1373854   0.126070
  10  -16519.1373542   0.126101
  11  -16519.1370277   0.126428
  12  -16519.1182177   0.145238
  13  -16519.106785   0.156670
  14  -16519.1037335   0.159722
  15  -16519.0887143   0.174741
  16  -16519.0767722   0.186683
  17  -16519.0678747   0.195581
  18  -16519.0652527   0.198203
  19  -16519.056273   0.207182
  20  -16519.0538508   0.209605
  21  -16519.0527909   0.210664
  22  -16519.0521255   0.211330
  23  -16519.0368076   0.226648
  24  -16519.0285102   0.234945
  25  -16519.0218189   0.241636
  26  -16519.0204783   0.242977
  27  -16519.0167945   0.246661
  28  -16519.0162482   0.247207
  29  -16519.0108274   0.252628
  30  -16519.0091088   0.254347
  31  -16518.9977316   0.265724
  32  -16518.9972695   0.266186
  33  -16518.9943489   0.269106
  34  -16518.9910052   0.272450
  35  -16518.9868425   0.276613
  36  -16518.985178   0.278277
  37  -16518.9702907   0.293165
  38  -16518.9701514   0.293304
  39  -16518.9664843   0.296971
  40  -16518.966153   0.297302
  41  -16518.9643527   0.299103
  42  -16518.9636167   0.299839
  43  -16518.9635756   0.299880
  44  -16518.963345   0.300110
  45  -16518.9632524   0.300203
  46  -16518.960859   0.302596
  47  -16518.9576396   0.305816
  48  -16518.9563864   0.307069
  49  -16518.9557817   0.307674
  50  -16518.953132   0.310323
  51  -16518.9487944   0.314661
  52  -16518.9474424   0.316013
  53  -16518.9412679   0.322187
  54  -16518.9348287   0.328627
  55  -16518.9313666   0.332089
  56  -16518.9306944   0.332761
  57  -16518.9292194   0.334236
  58  -16518.927294   0.336161
  59  -16518.9264332   0.337022
  60  -16518.9251775   0.338278
  61  -16518.9225969   0.340858
  62  -16518.9212442   0.342211
  63  -16518.9194005   0.344055
  64  -16518.9192185   0.344237
  65  -16518.9160189   0.347437
  66  -16518.9140961   0.349359
  67  -16518.9099675   0.353488
  68  -16518.903353   0.360102
  69  -16518.8970813   0.366374
  70  -16518.8964912   0.366964
  71  -16518.8949395   0.368516
  72  -16518.8903946   0.373061
  73  -16518.8903291   0.373126
  74  -16518.8894445   0.374011
  75  -16518.8853106   0.378145
  76  -16518.8850355   0.378420
  77  -16518.8846232   0.378832
  78  -16518.8749058   0.388550
  79  -16518.8677755   0.395680
  80  -16518.8657147   0.397741
  81  -16518.8639669   0.399488
  82  -16518.8626445   0.400811
  83  -16518.8613764   0.402079
  84  -16518.8597032   0.403752
  85  -16518.8540448   0.409411
  86  -16518.8478837   0.415572
  87  -16518.847454   0.416001
  88  -16518.8467428   0.416713
  89  -16518.8456596   0.417796
  90  -16518.838743   0.424712
  91  -16518.8383544   0.425101
  92  -16518.832397   0.431058
  93  -16518.8266363   0.436819
  94  -16518.8234529   0.440002
  95  -16518.8196869   0.443769
  96  -16518.8140885   0.449367
  97  -16518.8017058   0.461750
  98  -16518.8004826   0.462973
  99  -16518.7943023   0.469153
 100  -16518.7934128   0.470043
 101  -16518.792848   0.470607
 102  -16518.7908936   0.472562
 103  -16518.7856785   0.477777
 104  -16518.7834147   0.480041
 105  -16518.7734389   0.490016
 106  -16518.7696489   0.493806
 107  -16518.7676193   0.495836
 108  -16518.7662524   0.497203
 109  -16518.754301   0.509154
 110  -16518.7465916   0.516864
 111  -16518.7388544   0.524601
 112  -16518.7264169   0.537038
 113  -16518.7095356   0.553920
 114  -16518.7051929   0.558262
 115  -16518.7013011   0.562154
 116  -16518.7003673   0.563088
 117  -16518.6971478   0.566308
 118  -16518.6888615   0.574594
 119  -16518.6881485   0.575307
 120  -16518.6869764   0.576479
 121  -16518.6790475   0.584408
 122  -16518.6615885   0.601867
 123  -16518.6612492   0.602206
 124  -16518.6571316   0.606324
 125  -16518.6371649   0.626291
 126  -16518.6309287   0.632527
 127  -16518.6281961   0.635259
 128  -16518.6243057   0.639150
 129  -16518.6242257   0.639230
 130  -16518.6217201   0.641735
 131  -16518.6198588   0.643597
 132  -16518.6163341   0.647121
 133  -16518.6140876   0.649368
 134  -16518.6137265   0.649729
 135  -16518.612518   0.650937
 136  -16518.6109775   0.652478
 137  -16518.6105788   0.652877
 138  -16518.6088885   0.654567
 139  -16518.6082092   0.655246
 140  -16518.6035673   0.659888
 141  -16518.6023952   0.661060
 142  -16518.5985553   0.664900
 143  -16518.5900355   0.673420
 144  -16518.5891787   0.674277
 145  -16518.5876531   0.675802
 146  -16518.587544   0.675911
 147  -16518.5854289   0.678026
 148  -16518.5841761   0.679279
 149  -16518.5841761   0.679279
 150  -16518.5841338   0.679322
 151  -16518.5831224   0.680333
 152  -16518.5818435   0.681612
 153  -16518.5818414   0.681614
 154  -16518.5812292   0.682226
 155  -16518.5792593   0.684196
 156  -16518.5778121   0.685643
 157  -16518.5762626   0.687193
 158  -16518.5721053   0.691350
 159  -16518.5714256   0.692030
 160  -16518.57108   0.692375
 161  -16518.5684704   0.694985
 162  -16518.5684466   0.695009
 163  -16518.5682344   0.695221
 164  -16518.5678537   0.695602
 165  -16518.5671221   0.696333
 166  -16518.5665404   0.696915
 167  -16518.5637768   0.699679
 168  -16518.5629758   0.700480
 169  -16518.5594162   0.704039
 170  -16518.558627   0.704828
 171  -16518.5546626   0.708793
 172  -16518.5543728   0.709083
 173  -16518.5539792   0.709476
 174  -16518.5529041   0.710551
 175  -16518.5519161   0.711539
 176  -16518.5518338   0.711622
 177  -16518.5509804   0.712475
 178  -16518.5503984   0.713057
 179  -16518.5466877   0.716768
 180  -16518.5465333   0.716922
 181  -16518.5447128   0.718743
 182  -16518.5438134   0.719642
 183  -16518.5434944   0.719961
 184  -16518.5414942   0.721961
 185  -16518.5388817   0.724574
 186  -16518.5373874   0.726068
 187  -16518.5373301   0.726125
 188  -16518.5333674   0.730088
 189  -16518.5320511   0.731404
 190  -16518.5286394   0.734816
 191  -16518.5259098   0.737546
 192  -16518.5213817   0.742074
 193  -16518.5171136   0.746342
 194  -16518.516913   0.746542
 195  -16518.512562   0.750893
 196  -16518.5095748   0.753881
 197  -16518.5094572   0.753998
 198  -16518.5062669   0.757188
 199  -16518.5060596   0.757396
 200  -16518.5046831   0.758772
 201  -16518.5033761   0.760079
 202  -16518.5007032   0.762752
 203  -16518.4983708   0.765085
 204  -16518.4970185   0.766437
 205  -16518.4954358   0.768020
 206  -16518.4827132   0.780742
 207  -16518.4509403   0.812515
 208  -16518.4302994   0.833156
 209  -16518.4296703   0.833785
 210  -16518.4287494   0.834706
 211  -16518.428229   0.835226
 212  -16518.4140388   0.849417
 213  -16518.4056212   0.857834
 214  -16518.3925496   0.870906
 215  -16518.3721063   0.891349
