# Relative energy hierarchy for Ac-Asn-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -243225.964067   0.000000
   2  -243225.933032   0.031035
   3  -243225.931251   0.032816
   4  -243225.894318   0.069749
   5  -243225.834319   0.129748
   6  -243225.495587   0.468480
   7  -243225.495334   0.468733
   8  -243225.472178   0.491889
   9  -243225.46999   0.494077
  10  -243225.434527   0.529540
  11  -243225.419763   0.544304
  12  -243225.388208   0.575859
  13  -243225.191575   0.772492
  14  -243225.191008   0.773059
  15  -243225.185706   0.778361
  16  -243225.171557   0.792510
  17  -243225.169524   0.794543
  18  -243225.169263   0.794804
  19  -243225.159965   0.804102
  20  -243225.153333   0.810734
  21  -243225.12559   0.838477
  22  -243225.089429   0.874638
  23  -243225.088097   0.875970
  24  -243225.087969   0.876098
  25  -243225.070138   0.893929
  26  -243225.069965   0.894102
  27  -243225.042658   0.921409
  28  -243225.017319   0.946748
  29  -243225.001079   0.962988
  30  -243224.991995   0.972072
  31  -243224.980159   0.983908
  32  -243224.939725   1.024342
  33  -243224.92224   1.041827
  34  -243224.908279   1.055788
  35  -243224.677702   1.286365
  36  -243224.461913   1.502154
