# Relative energy hierarchy for Ac-Asn-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -36633.343865   0.000000
   2  -36633.3102026   0.033662
   3  -36633.3101189   0.033746
   4  -36633.2559559   0.087909
   5  -36633.2035918   0.140273
   6  -36632.6750957   0.668769
   7  -36632.6701401   0.673725
   8  -36632.6049104   0.738955
   9  -36632.5858666   0.757998
  10  -36632.5476989   0.796166
  11  -36632.4745425   0.869323
  12  -36632.2870858   1.056779
  13  -36632.2821416   1.061723
  14  -36632.2701611   1.073704
  15  -36632.2619578   1.081907
  16  -36632.246407   1.097458
  17  -36632.2390877   1.104777
  18  -36632.2224399   1.121425
  19  -36632.2213457   1.122519
  20  -36632.2178265   1.126039
  21  -36632.1947588   1.149106
  22  -36632.1915481   1.152317
  23  -36632.1758964   1.167969
  24  -36632.1758748   1.167990
  25  -36632.1748377   1.169027
  26  -36632.173608   1.170257
  27  -36632.1731141   1.170751
  28  -36632.1714473   1.172418
  29  -36632.1621059   1.181759
  30  -36632.1416729   1.202192
  31  -36632.0958934   1.247972
  32  -36632.0934762   1.250389
  33  -36632.0777847   1.266080
  34  -36632.060206   1.283659
  35  -36632.0269095   1.316956
  36  -36632.0229412   1.320924
  37  -36632.0016181   1.342247
  38  -36631.9894949   1.354370
  39  -36631.7426415   1.601224
  40  -36631.5062313   1.837634
