# Relative energy hierarchy for Ac-Asn-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -172206.530164   0.000000
   2  -172206.52828   0.001884
   3  -172206.434213   0.095951
   4  -172206.4032   0.126964
   5  -172205.869944   0.660220
   6  -172205.83209   0.698074
   7  -172205.793965   0.736199
   8  -172205.793754   0.736410
   9  -172205.769376   0.760788
  10  -172205.768172   0.761992
  11  -172205.729198   0.800966
  12  -172205.726314   0.803850
  13  -172205.699091   0.831073
  14  -172205.685704   0.844460
  15  -172205.574318   0.955846
  16  -172205.573831   0.956333
  17  -172205.573747   0.956417
  18  -172205.567187   0.962977
  19  -172205.550508   0.979656
  20  -172205.540573   0.989591
  21  -172205.538554   0.991610
  22  -172205.489983   1.040181
  23  -172205.440313   1.089851
  24  -172205.429817   1.100347
  25  -172205.421422   1.108742
  26  -172205.412698   1.117466
  27  -172205.343962   1.186202
  28  -172205.337458   1.192706
  29  -172205.308495   1.221669
  30  -172205.203762   1.326402
  31  -172205.187004   1.343160
  32  -172205.096027   1.434137
  33  -172204.778914   1.751250
