# Relative energy hierarchy for Ac-Asn-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -571484.700023   0.000000
   2  -571484.647   0.053023
   3  -571484.568554   0.131469
   4  -571484.545743   0.154280
   5  -571484.43978   0.260243
   6  -571484.398997   0.301026
   7  -571484.333807   0.366216
   8  -571484.333362   0.366661
   9  -571484.332928   0.367095
  10  -571484.286894   0.413129
  11  -571484.263807   0.436216
  12  -571484.19746   0.502563
  13  -571484.121034   0.578989
  14  -571484.106674   0.593349
  15  -571484.075452   0.624571
  16  -571484.047106   0.652917
  17  -571484.039134   0.660889
  18  -571484.00138   0.698643
  19  -571483.999755   0.700268
  20  -571483.992428   0.707595
  21  -571483.991082   0.708941
  22  -571483.978469   0.721554
  23  -571483.957787   0.742236
  24  -571483.948445   0.751578
  25  -571483.9276   0.772423
  26  -571483.901326   0.798697
  27  -571483.885597   0.814426
  28  -571483.879517   0.820506
  29  -571483.84064   0.859383
  30  -571483.808848   0.891175
  31  -571483.763565   0.936458
  32  -571483.7561   0.943923
  33  -571483.718872   0.981151
  34  -571483.370088   1.329935
