# Relative energy hierarchy for Ac-Asn-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -608231.413934   0.000000
   2  -608231.377147   0.036787
   3  -608231.335218   0.078716
   4  -608231.274737   0.139197
   5  -608230.747405   0.666529
   6  -608230.747096   0.666838
   7  -608230.746269   0.667665
   8  -608230.715133   0.698801
   9  -608230.686334   0.727600
  10  -608230.683734   0.730200
  11  -608230.626446   0.787488
  12  -608230.492539   0.921395
  13  -608230.480605   0.933329
  14  -608230.473838   0.940096
  15  -608230.468149   0.945785
  16  -608230.445443   0.968491
  17  -608230.433988   0.979946
  18  -608230.421699   0.992235
  19  -608230.418635   0.995299
  20  -608230.396491   1.017443
  21  -608230.381519   1.032415
  22  -608230.37547   1.038464
  23  -608230.329375   1.084559
  24  -608230.328221   1.085713
  25  -608230.302141   1.111793
  26  -608230.285305   1.128629
  27  -608230.272973   1.140961
  28  -608230.27271   1.141224
  29  -608230.254899   1.159035
  30  -608230.238559   1.175375
  31  -608230.227664   1.186270
  32  -608230.21221   1.201724
  33  -608230.190301   1.223633
  34  -608229.936666   1.477268
  35  -608229.712133   1.701801
