# Relative energy hierarchy for Ac-Asn-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -105278.949678   0.000000
   2  -105278.921768   0.027910
   3  -105278.920832   0.028846
   4  -105278.873755   0.075923
   5  -105278.816209   0.133469
   6  -105278.385126   0.564552
   7  -105278.367374   0.582304
   8  -105278.308826   0.640852
   9  -105278.298267   0.651411
  10  -105278.228334   0.721344
  11  -105278.015965   0.933713
  12  -105278.010979   0.938699
  13  -105278.00314   0.946538
  14  -105278.000265   0.949413
  15  -105277.988706   0.960972
  16  -105277.980123   0.969555
  17  -105277.975239   0.974439
  18  -105277.973436   0.976242
  19  -105277.971884   0.977794
  20  -105277.955382   0.994296
  21  -105277.938554   1.011124
  22  -105277.911278   1.038400
  23  -105277.911123   1.038555
  24  -105277.91098   1.038698
  25  -105277.905393   1.044285
  26  -105277.904538   1.045140
  27  -105277.904178   1.045500
  28  -105277.862036   1.087642
  29  -105277.822719   1.126959
  30  -105277.820869   1.128809
  31  -105277.816634   1.133044
  32  -105277.786932   1.162746
  33  -105277.762808   1.186870
  34  -105277.744363   1.205315
  35  -105277.717367   1.232311
  36  -105277.49762   1.452058
  37  -105277.266751   1.682927
