# Relative energy hierarchy for Asn conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -167522.791172   0.000000
   2  -167522.47702   0.314152
   3  -167522.223399   0.567773
   4  -167522.154168   0.637004
   5  -167522.152566   0.638606
   6  -167522.139836   0.651336
   7  -167522.114591   0.676581
   8  -167522.018949   0.772223
   9  -167522.018096   0.773076
  10  -167521.963641   0.827531
  11  -167521.907628   0.883544
  12  -167521.766943   1.024229
  13  -167521.698926   1.092246
  14  -167521.688481   1.102691
  15  -167521.671497   1.119675
  16  -167521.636747   1.154425
  17  -167521.002599   1.788573
  18  -167520.949666   1.841506
  19  -167520.933533   1.857639
  20  -167520.906736   1.884436
  21  -167520.904596   1.886576
  22  -167520.845012   1.946160
  23  -167520.836435   1.954737
  24  -167520.811874   1.979298
  25  -167520.752155   2.039017
  26  -167520.740049   2.051123
  27  -167520.657562   2.133610
