# Relative energy hierarchy for Asn conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -603547.679059   0.000000
   2  -603547.38833   0.290729
   3  -603547.284037   0.395022
   4  -603547.282592   0.396467
   5  -603547.055866   0.623193
   6  -603547.034433   0.644626
   7  -603547.013097   0.665962
   8  -603546.877298   0.801761
   9  -603546.746728   0.932331
  10  -603546.701588   0.977471
  11  -603546.629678   1.049381
  12  -603546.617235   1.061824
  13  -603546.605435   1.073624
  14  -603546.584418   1.094641
  15  -603546.551024   1.128035
  16  -603545.868909   1.810150
  17  -603545.828234   1.850825
  18  -603545.818537   1.860522
  19  -603545.816491   1.862568
  20  -603545.72823   1.950829
  21  -603545.717338   1.961721
  22  -603545.537783   2.141276
  23  -603545.531457   2.147602
  24  -603545.499972   2.179087
  25  -603545.21588   2.463179
