# Relative energy hierarchy for Asn conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -100595.082019   0.000000
   2  -100594.896382   0.185637
   3  -100594.858694   0.223325
   4  -100594.824428   0.257591
   5  -100594.636981   0.445038
   6  -100594.61424   0.467779
   7  -100594.524161   0.557858
   8  -100594.520434   0.561585
   9  -100594.510523   0.571496
  10  -100594.477041   0.604978
  11  -100594.299018   0.783001
  12  -100594.283826   0.798193
  13  -100594.253435   0.828584
  14  -100594.208954   0.873065
  15  -100594.106306   0.975713
  16  -100594.097466   0.984553
  17  -100594.003951   1.078068
  18  -100593.515623   1.566396
  19  -100593.435935   1.646084
  20  -100593.434137   1.647882
  21  -100593.389986   1.692033
  22  -100593.301663   1.780356
  23  -100593.29846   1.783559
  24  -100593.256386   1.825633
  25  -100593.217945   1.864074
  26  -100593.163152   1.918867
  27  -100592.87355   2.208469
