# Relative energy hierarchy for Asn conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -13404.7027516   0.000000
   2  -13404.6185674   0.084184
   3  -13404.6060539   0.096698
   4  -13404.5998088   0.102943
   5  -13404.5983506   0.104401
   6  -13404.5716901   0.131062
   7  -13404.5454105   0.157341
   8  -13404.5300243   0.172727
   9  -13404.5022916   0.200460
  10  -13404.4702058   0.232546
  11  -13404.4695902   0.233161
  12  -13404.4640621   0.238689
  13  -13404.4637965   0.238955
  14  -13404.4494137   0.253338
  15  -13404.4463035   0.256448
  16  -13404.4452162   0.257535
  17  -13404.4421567   0.260595
  18  -13404.4394849   0.263267
  19  -13404.437965   0.264787
  20  -13404.4355701   0.267181
  21  -13404.4329869   0.269765
  22  -13404.4306563   0.272095
  23  -13404.4288542   0.273897
  24  -13404.4153909   0.287361
  25  -13404.4125069   0.290245
  26  -13404.4110362   0.291715
  27  -13404.4062315   0.296520
  28  -13404.403332   0.299420
  29  -13404.4029146   0.299837
  30  -13404.40249   0.300262
  31  -13404.3915143   0.311237
  32  -13404.3906141   0.312137
  33  -13404.3898965   0.312855
  34  -13404.3886855   0.314066
  35  -13404.3857504   0.317001
  36  -13404.3843621   0.318390
  37  -13404.3840848   0.318667
  38  -13404.3776295   0.325122
  39  -13404.3771935   0.325558
  40  -13404.3615903   0.341161
  41  -13404.3428209   0.359931
  42  -13404.3329245   0.369827
  43  -13404.3299785   0.372773
  44  -13404.323826   0.378926
  45  -13404.3197116   0.383040
  46  -13404.3131895   0.389562
  47  -13404.308199   0.394553
  48  -13404.2930818   0.409670
  49  -13404.2777913   0.424960
