# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -243759.839459   0.000000
   2  -243759.774655   0.064804
   3  -243759.726725   0.112734
   4  -243759.694154   0.145305
   5  -243759.686859   0.152600
   6  -243759.632804   0.206655
   7  -243759.612282   0.227177
   8  -243759.605044   0.234415
   9  -243759.604828   0.234631
  10  -243759.604420   0.235039
  11  -243759.596085   0.243374
  12  -243759.561348   0.278111
  13  -243759.516626   0.322833
  14  -243759.512090   0.327369
  15  -243759.511391   0.328068
  16  -243759.493216   0.346243
  17  -243759.454734   0.384725
  18  -243759.352666   0.486793
  19  -243759.326538   0.512921
  20  -243759.285598   0.553861
  21  -243759.284128   0.555331
  22  -243759.282452   0.557007
  23  -243759.267744   0.571715
  24  -243759.256678   0.582781
  25  -243759.225553   0.613906
  26  -243759.206579   0.632880
  27  -243759.202793   0.636666
  28  -243759.158585   0.680874
  29  -243759.149546   0.689913
  30  -243759.134869   0.704590
  31  -243759.110908   0.728551
  32  -243759.102750   0.736709
  33  -243759.058407   0.781052
  34  -243759.056003   0.783456
  35  -243759.023597   0.815862
  36  -243759.020752   0.818707
  37  -243758.992190   0.847269
  38  -243758.884887   0.954572
  39  -243758.880368   0.959091
  40  -243758.743861   1.095598
