# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -172740.8261091   0.000000
   2  -172740.7926729   0.033436
   3  -172740.7617075   0.064402
   4  -172740.7392728   0.086836
   5  -172740.6978318   0.128277
   6  -172740.6967447   0.129364
   7  -172740.6793475   0.146762
   8  -172740.6792603   0.146849
   9  -172740.5539163   0.272193
  10  -172740.4720577   0.354051
  11  -172740.4718588   0.354250
  12  -172740.4715901   0.354519
  13  -172740.4310805   0.395029
  14  -172740.4047971   0.421312
  15  -172740.4023015   0.423808
  16  -172740.4007271   0.425382
  17  -172740.3926114   0.433498
  18  -172740.3893526   0.436756
  19  -172740.3891250   0.436984
  20  -172740.3545409   0.471568
  21  -172740.3470086   0.479101
  22  -172740.3041398   0.521969
  23  -172740.3034866   0.522622
  24  -172740.2802747   0.545834
  25  -172740.2797753   0.546334
  26  -172740.2172644   0.608845
  27  -172740.2053212   0.620788
  28  -172740.2051602   0.620949
  29  -172740.1872500   0.638859
  30  -172740.1853275   0.640782
  31  -172740.1568863   0.669223
  32  -172740.1555939   0.670515
  33  -172740.1138691   0.712240
  34  -172740.0894862   0.736623
  35  -172740.0555700   0.770539
  36  -172740.0402521   0.785857
  37  -172740.0289279   0.797181
  38  -172740.0058851   0.820224
  39  -172739.9788258   0.847283
