# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -572019.3323509   0.000000
   2  -572019.2478696   0.084481
   3  -572019.1955328   0.136818
   4  -572019.1696300   0.162721
   5  -572019.1066266   0.225724
   6  -572019.1055072   0.226844
   7  -572019.1049921   0.227359
   8  -572019.0923429   0.240008
   9  -572019.0822703   0.250081
  10  -572019.0722454   0.260105
  11  -572018.9953170   0.337034
  12  -572018.9937680   0.338583
  13  -572018.9713747   0.360976
  14  -572018.9692352   0.363116
  15  -572018.9692118   0.363139
  16  -572018.9687049   0.363646
  17  -572018.9430490   0.389302
  18  -572018.9275750   0.404776
  19  -572018.9274254   0.404926
  20  -572018.9026034   0.429747
  21  -572018.9023375   0.430013
  22  -572018.8951260   0.437225
  23  -572018.8903052   0.442046
  24  -572018.8892520   0.443099
  25  -572018.8845963   0.447755
  26  -572018.8799999   0.452351
  27  -572018.8719490   0.460402
  28  -572018.8713245   0.461026
  29  -572018.8126261   0.519725
  30  -572018.8039761   0.528375
  31  -572018.7997851   0.532566
  32  -572018.7996040   0.532747
  33  -572018.7762117   0.556139
  34  -572018.7627239   0.569627
  35  -572018.7625259   0.569825
  36  -572018.7111176   0.621233
  37  -572018.7042666   0.628084
  38  -572018.6838933   0.648458
  39  -572018.6403681   0.691983
