# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -608765.7309324   0.000000
   2  -608765.6481544   0.082778
   3  -608765.6475190   0.083413
   4  -608765.6360931   0.094839
   5  -608765.6116471   0.119285
   6  -608765.5486930   0.182239
   7  -608765.5342426   0.196690
   8  -608765.5321354   0.198797
   9  -608765.4976750   0.233257
  10  -608765.4849384   0.245994
  11  -608765.4179721   0.312960
  12  -608765.4179195   0.313013
  13  -608765.3836642   0.347268
  14  -608765.3835961   0.347336
  15  -608765.3591537   0.371779
  16  -608765.2882142   0.442718
  17  -608765.2835066   0.447426
  18  -608765.2831513   0.447781
  19  -608765.2168608   0.514072
  20  -608765.2159506   0.514982
  21  -608765.2151768   0.515756
  22  -608765.2080379   0.522894
  23  -608765.1846505   0.546282
  24  -608765.1840413   0.546891
  25  -608765.1831871   0.547745
  26  -608765.1781022   0.552830
  27  -608765.1630627   0.567870
  28  -608765.1247144   0.606218
  29  -608765.1223152   0.608617
  30  -608765.1216694   0.609263
  31  -608765.1068987   0.624034
  32  -608765.0782871   0.652645
  33  -608765.0730964   0.657836
  34  -608765.0448757   0.686057
  35  -608765.0363412   0.694591
  36  -608765.0358473   0.695085
  37  -608765.0295328   0.701400
  38  -608764.9869083   0.744024
  39  -608764.9727941   0.758138
  40  -608764.9431106   0.787822
  41  -608764.9110747   0.819858
  42  -608764.9107007   0.820232
