# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -105801.1692438   0.000000
   2  -105801.1095825   0.059661
   3  -105801.1074457   0.061798
   4  -105801.1009971   0.068247
   5  -105801.0803092   0.088935
   6  -105801.0041633   0.165081
   7  -105801.0033573   0.165887
   8  -105800.9708167   0.198427
   9  -105800.9706309   0.198613
  10  -105800.8723568   0.296887
  11  -105800.8106929   0.358551
  12  -105800.8086771   0.360567
  13  -105800.8084720   0.360772
  14  -105800.8079717   0.361272
  15  -105800.8051809   0.364063
  16  -105800.7733463   0.395897
  17  -105800.6770612   0.492183
  18  -105800.6528971   0.516347
  19  -105800.6522260   0.517018
  20  -105800.6350085   0.534235
  21  -105800.6335911   0.535653
  22  -105800.6147684   0.554475
  23  -105800.5860946   0.583149
  24  -105800.5767760   0.592468
  25  -105800.5513703   0.617873
  26  -105800.5484403   0.620804
  27  -105800.5470022   0.622242
  28  -105800.5466192   0.622625
  29  -105800.5465638   0.622680
  30  -105800.5454231   0.623821
  31  -105800.5157185   0.653525
  32  -105800.5113950   0.657849
  33  -105800.4983475   0.670896
  34  -105800.4982806   0.670963
  35  -105800.4963856   0.672858
  36  -105800.4962584   0.672985
  37  -105800.4957878   0.673456
  38  -105800.4466345   0.722609
  39  -105800.4136690   0.755575
  40  -105800.3230077   0.846236
  41  -105800.2910885   0.878155
