# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -239076.622435   0.000000
   2  -239076.534743   0.087692
   3  -239076.518703   0.103732
   4  -239076.507989   0.114446
   5  -239076.493846   0.128589
   6  -239076.474487   0.147948
   7  -239076.472699   0.149736
   8  -239076.460785   0.161650
   9  -239076.330424   0.292011
  10  -239076.312006   0.310429
  11  -239076.280537   0.341898
  12  -239076.265530   0.356905
  13  -239076.249523   0.372912
  14  -239076.246941   0.375494
  15  -239076.199943   0.422492
  16  -239076.156388   0.466047
  17  -239076.124027   0.498408
  18  -239076.067370   0.555065
  19  -239075.956326   0.666109
  20  -239075.717776   0.904659
  21  -239075.688366   0.934069
  22  -239075.651449   0.970986
  23  -239075.473264   1.149171
  24  -239075.392870   1.229565
