# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -168057.5787354   0.000000
   2  -168057.4452203   0.133515
   3  -168057.3715855   0.207150
   4  -168057.3095568   0.269179
   5  -168057.3093326   0.269403
   6  -168057.2692179   0.309517
   7  -168057.2690126   0.309723
   8  -168057.2508944   0.327841
   9  -168057.1899457   0.388790
  10  -168057.1818230   0.396912
  11  -168057.1779889   0.400747
  12  -168057.1750619   0.403673
  13  -168057.1420188   0.436717
  14  -168057.1301262   0.448609
  15  -168057.1174932   0.461242
  16  -168057.1173899   0.461345
  17  -168057.1172744   0.461461
  18  -168057.1105931   0.468142
  19  -168057.0875176   0.491218
  20  -168057.0848952   0.493840
  21  -168057.0158506   0.562885
  22  -168057.0157201   0.563015
  23  -168056.9496189   0.629117
  24  -168056.9381446   0.640591
