# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -567338.9213827   0.000000
   2  -567336.2797702   2.641612
   3  -567336.2686662   2.652716
   4  -567336.2445411   2.676842
   5  -567336.2049461   2.716437
   6  -567336.1854962   2.735886
   7  -567336.1853418   2.736041
   8  -567336.1852048   2.736178
   9  -567336.1703576   2.751025
  10  -567335.9926180   2.928765
  11  -567335.9729164   2.948466
  12  -567335.9728990   2.948484
  13  -567335.9721283   2.949254
  14  -567335.9597576   2.961625
  15  -567335.9595216   2.961861
  16  -567335.8569495   3.064433
  17  -567335.8364030   3.084980
  18  -567335.8035512   3.117832
  19  -567335.7998495   3.121533
  20  -567335.7123566   3.209026
  21  -567335.7046545   3.216728
  22  -567335.7045860   3.216797
  23  -567335.6467784   3.274604
