# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -604082.433467   0.000000
   2  -604082.374837   0.058630
   3  -604082.346840   0.086627
   4  -604082.303212   0.130255
   5  -604082.297352   0.136115
   6  -604082.243593   0.189874
   7  -604082.243512   0.189955
   8  -604082.191680   0.241787
   9  -604082.183506   0.249961
  10  -604082.132512   0.300955
  11  -604082.124801   0.308666
  12  -604082.103714   0.329753
  13  -604082.103423   0.330044
  14  -604082.098347   0.335120
  15  -604082.078773   0.354694
  16  -604082.055273   0.378194
  17  -604082.022256   0.411211
  18  -604081.970998   0.462469
  19  -604081.969683   0.463784
  20  -604081.969332   0.464135
  21  -604081.788417   0.645050
  22  -604081.613952   0.819515
  23  -604081.595797   0.837670
  24  -604081.562468   0.870999
  25  -604081.421423   1.012044
  26  -604081.323078   1.110389
  27  -604081.232271   1.201196
