# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -101118.0745600   0.000000
   2  -101118.0744403   0.000120
   3  -101117.4795992   0.594961
   4  -101117.3318235   0.742736
   5  -101117.3316752   0.742885
   6  -101117.3312694   0.743291
   7  -101117.3173646   0.757195
   8  -101117.3173088   0.757251
   9  -101117.3172254   0.757335
  10  -101117.2972311   0.777329
  11  -101117.2724512   0.802109
  12  -101117.2723988   0.802161
  13  -101117.2468113   0.827749
  14  -101117.2117300   0.862830
  15  -101117.2098813   0.864679
  16  -101117.2094731   0.865087
  17  -101117.1279357   0.946624
  18  -101117.1212144   0.953346
  19  -101117.0681368   1.006423
  20  -101117.0273979   1.047162
  21  -101117.0268706   1.047689
  22  -101117.0185569   1.056003
  23  -101117.0146682   1.059892
  24  -101116.9468280   1.127732
  25  -101116.9466528   1.127907
  26  -101116.9282840   1.146276
