# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -243767.207462   0.000000
   2  -243767.139116   0.068346
   3  -243767.098323   0.109139
   4  -243767.048763   0.158699
   5  -243766.977707   0.229755
   6  -243766.946022   0.261440
   7  -243766.787706   0.419756
   8  -243766.720491   0.486971
   9  -243766.716194   0.491268
  10  -243766.674802   0.532660
  11  -243766.660301   0.547161
  12  -243766.632008   0.575454
  13  -243766.631259   0.576203
  14  -243766.583456   0.624006
  15  -243766.582534   0.624928
  16  -243766.57406   0.633402
  17  -243766.573037   0.634425
  18  -243766.560805   0.646657
  19  -243766.553341   0.654121
  20  -243766.549953   0.657509
  21  -243766.527134   0.680328
  22  -243766.526845   0.680617
  23  -243766.490143   0.717319
  24  -243766.47518   0.732282
  25  -243766.467892   0.739570
  26  -243766.465072   0.742390
  27  -243766.453963   0.753499
  28  -243766.453254   0.754208
  29  -243766.439095   0.768367
  30  -243766.396583   0.810879
  31  -243766.380596   0.826866
  32  -243766.343523   0.863939
  33  -243766.337301   0.870161
  34  -243766.312332   0.895130
  35  -243766.298881   0.908581
  36  -243766.291705   0.915757
  37  -243766.269949   0.937513
  38  -243766.245162   0.962300
  39  -243766.222628   0.984834
  40  -243766.210855   0.996607
  41  -243766.208045   0.999417
  42  -243766.184233   1.023229
  43  -243766.179723   1.027739
  44  -243766.149328   1.058134
  45  -243766.145473   1.061989
  46  -243766.132034   1.075428
  47  -243766.073059   1.134403
  48  -243766.014818   1.192644
  49  -243765.92114   1.286322
  50  -243765.877955   1.329507
  51  -243765.689126   1.518336
  52  -243765.685954   1.521508
  53  -243765.667745   1.539717
  54  -243765.612208   1.595254
