# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -37174.5486564   0.000000
   2  -37174.4544102   0.094246
   3  -37174.4410116   0.107645
   4  -37174.3732307   0.175426
   5  -37174.2750198   0.273637
   6  -37174.2626073   0.286049
   7  -37173.8628064   0.685850
   8  -37173.85776   0.690896
   9  -37173.8225744   0.726082
  10  -37173.7669697   0.781687
  11  -37173.761109   0.787547
  12  -37173.7599705   0.788686
  13  -37173.753026   0.795630
  14  -37173.7431671   0.805489
  15  -37173.7050214   0.843635
  16  -37173.652408   0.896248
  17  -37173.6518036   0.896853
  18  -37173.631488   0.917168
  19  -37173.6304819   0.918175
  20  -37173.615185   0.933471
  21  -37173.6109197   0.937737
  22  -37173.590061   0.958595
  23  -37173.5863333   0.962323
  24  -37173.5833948   0.965262
  25  -37173.569469   0.979187
  26  -37173.53158   1.017076
  27  -37173.526673   1.021983
  28  -37173.5023108   1.046346
  29  -37173.4944105   1.054246
  30  -37173.4890846   1.059572
  31  -37173.4588399   1.089817
  32  -37173.4575277   1.091129
  33  -37173.406976   1.141680
  34  -37173.3552085   1.193448
  35  -37173.3482586   1.200398
  36  -37173.3266176   1.222039
  37  -37173.323625   1.225031
  38  -37173.3027105   1.245946
  39  -37173.2960764   1.252580
  40  -37173.2897588   1.258898
  41  -37173.2859452   1.262711
  42  -37173.2705746   1.278082
  43  -37173.2508944   1.297762
  44  -37173.240282   1.308374
  45  -37173.2157598   1.332897
  46  -37173.1813869   1.367269
  47  -37173.1759007   1.372756
  48  -37173.1674529   1.381204
  49  -37173.1336448   1.415012
  50  -37173.1146228   1.434034
  51  -37173.0678682   1.480788
  52  -37173.0272792   1.521377
  53  -37173.0160546   1.532602
  54  -37172.9806184   1.568038
  55  -37172.9295733   1.619083
  56  -37172.8734655   1.675191
  57  -37172.8524503   1.696206
  58  -37172.832365   1.716291
  59  -37172.8040568   1.744600
  60  -37172.7763464   1.772310
  61  -37172.6960607   1.852596
  62  -37172.6878733   1.860783
  63  -37172.5633153   1.985341
  64  -37172.446273   2.102383
  65  -37172.3238256   2.224831
