# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -172747.694715   0.000000
   2  -172747.59528   0.099435
   3  -172747.454638   0.240077
   4  -172747.352103   0.342612
   5  -172747.333049   0.361666
   6  -172747.087707   0.607008
   7  -172747.068909   0.625806
   8  -172746.97964   0.715075
   9  -172746.977521   0.717194
  10  -172746.955252   0.739463
  11  -172746.944153   0.750562
  12  -172746.892568   0.802147
  13  -172746.891475   0.803240
  14  -172746.878009   0.816706
  15  -172746.83836   0.856355
  16  -172746.833415   0.861300
  17  -172746.827538   0.867177
  18  -172746.813763   0.880952
  19  -172746.803486   0.891229
  20  -172746.775591   0.919124
  21  -172746.738485   0.956230
  22  -172746.731484   0.963231
  23  -172746.722083   0.972632
  24  -172746.719786   0.974929
  25  -172746.709717   0.984998
  26  -172746.708302   0.986413
  27  -172746.706485   0.988230
  28  -172746.703829   0.990886
  29  -172746.703626   0.991089
  30  -172746.702557   0.992158
  31  -172746.670734   1.023981
  32  -172746.666486   1.028229
  33  -172746.623053   1.071662
  34  -172746.607279   1.087436
  35  -172746.590035   1.104680
  36  -172746.539033   1.155682
  37  -172746.477512   1.217203
  38  -172746.461358   1.233357
  39  -172746.454407   1.240308
  40  -172746.421954   1.272761
  41  -172746.404695   1.290020
  42  -172746.383578   1.311137
  43  -172746.335628   1.359087
  44  -172746.294401   1.400314
  45  -172746.265525   1.429190
  46  -172746.15449   1.540225
  47  -172746.044758   1.649957
  48  -172746.044167   1.650548
  49  -172746.020533   1.674182
  50  -172745.995995   1.698720
  51  -172745.9052   1.789515
  52  -172745.861428   1.833287
  53  -172745.791466   1.903249
