# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -608772.585481   0.000000
   2  -608772.505885   0.079596
   3  -608772.477435   0.108046
   4  -608772.38294   0.202541
   5  -608772.30076   0.284721
   6  -608772.27106   0.314421
   7  -608772.065539   0.519942
   8  -608771.928687   0.656794
   9  -608771.920802   0.664679
  10  -608771.916209   0.669272
  11  -608771.877832   0.707649
  12  -608771.861688   0.723793
  13  -608771.860197   0.725284
  14  -608771.859219   0.726262
  15  -608771.846774   0.738707
  16  -608771.844216   0.741265
  17  -608771.837375   0.748106
  18  -608771.831863   0.753618
  19  -608771.811257   0.774224
  20  -608771.806611   0.778870
  21  -608771.780652   0.804829
  22  -608771.773781   0.811700
  23  -608771.72463   0.860851
  24  -608771.723451   0.862030
  25  -608771.716726   0.868755
  26  -608771.706872   0.878609
  27  -608771.691443   0.894038
  28  -608771.688632   0.896849
  29  -608771.680669   0.904812
  30  -608771.674832   0.910649
  31  -608771.649368   0.936113
  32  -608771.644957   0.940524
  33  -608771.613061   0.972420
  34  -608771.605454   0.980027
  35  -608771.597625   0.987856
  36  -608771.562379   1.023102
  37  -608771.488293   1.097188
  38  -608771.487677   1.097804
  39  -608771.47836   1.107121
  40  -608771.461859   1.123622
  41  -608771.446606   1.138875
  42  -608771.40274   1.182741
  43  -608771.390928   1.194553
  44  -608771.29126   1.294221
  45  -608771.290405   1.295076
  46  -608771.287517   1.297964
  47  -608771.284367   1.301114
  48  -608771.263361   1.322120
  49  -608771.044111   1.541370
  50  -608771.027142   1.558339
  51  -608770.927708   1.657773
  52  -608770.79234   1.793141
  53  -608770.778421   1.807060
  54  -608770.713646   1.871835
