# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -105820.1763   0.000000
   2  -105820.098187   0.078113
   3  -105820.06859   0.107710
   4  -105820.008922   0.167378
   5  -105819.928206   0.248094
   6  -105819.903688   0.272612
   7  -105819.58882   0.587480
   8  -105819.572857   0.603443
   9  -105819.570359   0.605941
  10  -105819.55735   0.618950
  11  -105819.500481   0.675819
  12  -105819.475114   0.701186
  13  -105819.46752   0.708780
  14  -105819.429836   0.746464
  15  -105819.429453   0.746847
  16  -105819.383866   0.792434
  17  -105819.381266   0.795034
  18  -105819.380674   0.795626
  19  -105819.363371   0.812929
  20  -105819.347028   0.829272
  21  -105819.337573   0.838727
  22  -105819.332865   0.843435
  23  -105819.331137   0.845163
  24  -105819.282373   0.893927
  25  -105819.263679   0.912621
  26  -105819.260906   0.915394
  27  -105819.246289   0.930011
  28  -105819.246004   0.930296
  29  -105819.201146   0.975154
  30  -105819.187653   0.988647
  31  -105819.176906   0.999394
  32  -105819.128906   1.047394
  33  -105819.120619   1.055681
  34  -105819.106094   1.070206
  35  -105819.103188   1.073112
  36  -105819.09114   1.085160
  37  -105819.080596   1.095704
  38  -105819.0571   1.119200
  39  -105819.042633   1.133667
  40  -105819.021344   1.154956
  41  -105819.012804   1.163496
  42  -105818.999932   1.176368
  43  -105818.999504   1.176796
  44  -105818.996222   1.180078
  45  -105818.987646   1.188654
  46  -105818.982476   1.193824
  47  -105818.928124   1.248176
  48  -105818.927505   1.248795
  49  -105818.860344   1.315956
  50  -105818.858685   1.317615
  51  -105818.811249   1.365051
  52  -105818.789189   1.387111
  53  -105818.695664   1.480636
  54  -105818.67778   1.498520
  55  -105818.637805   1.538495
  56  -105818.632057   1.544243
  57  -105818.548366   1.627934
  58  -105818.478573   1.697727
  59  -105818.471916   1.704384
  60  -105818.418486   1.757814
  61  -105818.401518   1.774782
