# Relative energy hierarchy for Ac-Asp-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -18629.2129064   0.000000
   2  -18629.2107058   0.002201
   3  -18629.1428824   0.070024
   4  -18629.1423691   0.070537
   5  -18629.1127445   0.100162
   6  -18629.1096877   0.103219
   7  -18629.0746527   0.138254
   8  -18629.0596136   0.153293
   9  -18629.0552222   0.157684
  10  -18629.0514597   0.161447
  11  -18629.0504961   0.162410
  12  -18629.0221355   0.190771
  13  -18629.0087539   0.204152
  14  -18629.0076159   0.205291
  15  -18629.0023807   0.210526
  16  -18629.0003625   0.212544
  17  -18628.9817353   0.231171
  18  -18628.9752423   0.237664
  19  -18628.9629385   0.249968
  20  -18628.9620271   0.250879
  21  -18628.957463   0.255443
  22  -18628.9565219   0.256385
  23  -18628.9477407   0.265166
  24  -18628.9404505   0.272456
  25  -18628.9362049   0.276701
  26  -18628.9333484   0.279558
  27  -18628.9326888   0.280218
  28  -18628.931947   0.280959
  29  -18628.9283298   0.284577
  30  -18628.9274069   0.285500
  31  -18628.926783   0.286123
  32  -18628.9246851   0.288221
  33  -18628.9216664   0.291240
  34  -18628.921275   0.291631
  35  -18628.917249   0.295657
  36  -18628.915711   0.297195
  37  -18628.9113402   0.301566
  38  -18628.8995698   0.313337
  39  -18628.898071   0.314835
  40  -18628.8940871   0.318819
  41  -18628.8931511   0.319755
  42  -18628.8901613   0.322745
  43  -18628.8888753   0.324031
  44  -18628.8754596   0.337447
  45  -18628.8704892   0.342417
  46  -18628.8675697   0.345337
  47  -18628.8669697   0.345937
  48  -18628.865968   0.346938
  49  -18628.8551422   0.357764
  50  -18628.8454172   0.367489
  51  -18628.8453999   0.367506
  52  -18628.8439784   0.368928
  53  -18628.8435096   0.369397
  54  -18628.8406155   0.372291
  55  -18628.8401566   0.372750
  56  -18628.8396375   0.373269
  57  -18628.8377532   0.375153
  58  -18628.8372174   0.375689
  59  -18628.8353745   0.377532
  60  -18628.8343092   0.378597
  61  -18628.8303642   0.382542
  62  -18628.8263499   0.386557
  63  -18628.8260221   0.386884
  64  -18628.8256793   0.387227
  65  -18628.822394   0.390512
  66  -18628.8216036   0.391303
  67  -18628.8214909   0.391415
  68  -18628.8213145   0.391592
  69  -18628.8211444   0.391762
  70  -18628.8198726   0.393034
  71  -18628.8150946   0.397812
  72  -18628.8143522   0.398554
  73  -18628.8140537   0.398853
  74  -18628.8085267   0.404380
  75  -18628.8041217   0.408785
  76  -18628.8009242   0.411982
  77  -18628.7989427   0.413964
  78  -18628.7952227   0.417684
  79  -18628.7848232   0.428083
  80  -18628.7795388   0.433368
  81  -18628.7732231   0.439683
  82  -18628.7716143   0.441292
  83  -18628.7670243   0.445882
  84  -18628.7649231   0.447983
  85  -18628.764556   0.448350
  86  -18628.7643981   0.448508
  87  -18628.7631969   0.449710
  88  -18628.7619828   0.450924
  89  -18628.7615253   0.451381
  90  -18628.761269   0.451637
  91  -18628.7605123   0.452394
  92  -18628.7531581   0.459748
  93  -18628.7440976   0.468809
  94  -18628.7431005   0.469806
  95  -18628.7291546   0.483752
  96  -18628.7209823   0.491924
  97  -18628.7166343   0.496272
  98  -18628.711412   0.501494
  99  -18628.7106609   0.502245
 100  -18628.7102245   0.502682
 101  -18628.7089309   0.503975
 102  -18628.7042256   0.508681
 103  -18628.7039068   0.509000
 104  -18628.7035623   0.509344
 105  -18628.7006026   0.512304
 106  -18628.6975477   0.515359
 107  -18628.6940978   0.518809
 108  -18628.6892826   0.523624
 109  -18628.6805333   0.532373
 110  -18628.6729489   0.539958
 111  -18628.6689215   0.543985
 112  -18628.6669314   0.545975
 113  -18628.6605657   0.552341
 114  -18628.6599416   0.552965
 115  -18628.6588018   0.554105
 116  -18628.6547357   0.558171
 117  -18628.6506105   0.562296
 118  -18628.6405495   0.572357
 119  -18628.6397013   0.573205
 120  -18628.6396041   0.573302
 121  -18628.6392311   0.573675
 122  -18628.6375584   0.575348
 123  -18628.6297557   0.583151
 124  -18628.6268686   0.586038
 125  -18628.6217335   0.591173
 126  -18628.6200787   0.592828
 127  -18628.6186633   0.594243
 128  -18628.6164575   0.596449
 129  -18628.6159195   0.596987
 130  -18628.6147132   0.598193
 131  -18628.6143871   0.598519
 132  -18628.6138598   0.599047
 133  -18628.6133733   0.599533
 134  -18628.6114778   0.601429
 135  -18628.6095336   0.603373
 136  -18628.6032133   0.609693
 137  -18628.6018765   0.611030
 138  -18628.5979145   0.614992
 139  -18628.5966141   0.616292
 140  -18628.5954793   0.617427
 141  -18628.5929313   0.619975
 142  -18628.5913473   0.621559
 143  -18628.5901711   0.622735
 144  -18628.5889265   0.623980
 145  -18628.5871083   0.625798
 146  -18628.5823009   0.630605
 147  -18628.5811705   0.631736
 148  -18628.5810106   0.631896
 149  -18628.5771889   0.635718
 150  -18628.572365   0.640541
 151  -18628.5686955   0.644211
 152  -18628.5684979   0.644409
 153  -18628.5657231   0.647183
 154  -18628.5642246   0.648682
 155  -18628.5641191   0.648787
 156  -18628.5561384   0.656768
 157  -18628.5533935   0.659513
 158  -18628.5481617   0.664745
 159  -18628.5461463   0.666760
 160  -18628.5391358   0.673771
 161  -18628.5341621   0.678744
 162  -18628.5287553   0.684151
 163  -18628.5122788   0.700628
 164  -18628.5082316   0.704675
 165  -18628.5052034   0.707703
 166  -18628.504921   0.707985
 167  -18628.502588   0.710318
 168  -18628.4961718   0.716735
 169  -18628.4955797   0.717327
 170  -18628.4918424   0.721064
 171  -18628.4766045   0.736302
 172  -18628.4763021   0.736604
 173  -18628.4513715   0.761535
 174  -18628.4213882   0.791518
 175  -18628.4157853   0.797121
 176  -18628.3648881   0.848018
 177  -18628.3642905   0.848616
 178  -18628.3448149   0.868092
 179  -18628.3132997   0.899607
 180  -18628.3040498   0.908857
 181  -18628.2802036   0.932703
 182  -18628.2635476   0.949359
 183  -18628.2622563   0.950650
 184  -18628.2532858   0.959621
