# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -32490.2851443   0.000000
   2  -32490.26085   0.024294
   3  -32490.2028382   0.082306
   4  -32490.0518385   0.233306
   5  -32490.0135918   0.271552
   6  -32490.0004176   0.284727
   7  -32489.9933727   0.291772
   8  -32489.9666232   0.318521
   9  -32489.930285   0.354859
  10  -32489.9272789   0.357865
  11  -32489.9102018   0.374942
  12  -32489.8655565   0.419588
  13  -32489.8563347   0.428810
  14  -32489.8382948   0.446850
  15  -32489.832009   0.453135
  16  -32489.826757   0.458387
  17  -32489.806628   0.478516
  18  -32489.7993367   0.485808
  19  -32489.7380528   0.547092
  20  -32489.7210947   0.564050
  21  -32489.6903952   0.594749
  22  -32489.6384328   0.646712
  23  -32489.6292734   0.655871
  24  -32489.5242891   0.760855
  25  -32489.4919743   0.793170
  26  -32489.446805   0.838339
  27  -32489.4347601   0.850384
  28  -32489.3721903   0.912954
  29  -32489.3380768   0.947068
  30  -32489.3276279   0.957516
  31  -32489.2734366   1.011708
  32  -32489.1686159   1.116528
  33  -32489.1390911   1.146053
  34  -32489.1041985   1.180946
  35  -32489.1027706   1.182374
  36  -32489.0978222   1.187322
  37  -32489.0612731   1.223871
  38  -32489.0604224   1.224722
  39  -32489.0534988   1.231646
  40  -32489.047625   1.237519
  41  -32489.0254173   1.259727
  42  -32489.0216254   1.263519
  43  -32489.0183605   1.266784
  44  -32488.9925386   1.292606
  45  -32488.4504469   1.834697
  46  -32488.1393171   2.145827
  47  -32488.1372439   2.147900
  48  -32488.1254024   2.159742
  49  -32488.0810333   2.204111
