# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -567342.053345   0.000000
   2  -567342.015153   0.038192
   3  -567341.966619   0.086726
   4  -567341.958989   0.094356
   5  -567341.938279   0.115066
   6  -567341.938172   0.115173
   7  -567341.9358   0.117545
   8  -567341.907721   0.145624
   9  -567341.867751   0.185594
  10  -567341.731159   0.322186
  11  -567341.681634   0.371711
  12  -567341.630069   0.423276
  13  -567341.599857   0.453488
  14  -567341.593902   0.459443
  15  -567341.568811   0.484534
  16  -567341.506315   0.547030
  17  -567341.465052   0.588293
  18  -567341.431734   0.621611
  19  -567341.41265   0.640695
  20  -567341.396304   0.657041
  21  -567341.289553   0.763792
  22  -567341.287021   0.766324
  23  -567341.269886   0.783459
  24  -567341.236217   0.817128
  25  -567341.228663   0.824682
  26  -567341.216804   0.836541
  27  -567341.112445   0.940900
  28  -567341.103668   0.949677
  29  -567341.032167   1.021178
  30  -567340.666719   1.386626
