# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -604088.57013   0.000000
   2  -604088.449386   0.120744
   3  -604088.409831   0.160299
   4  -604088.273746   0.296384
   5  -604088.26949   0.300640
   6  -604088.267379   0.302751
   7  -604088.261606   0.308524
   8  -604088.257777   0.312353
   9  -604088.255476   0.314654
  10  -604088.248108   0.322022
  11  -604088.24491   0.325220
  12  -604088.235294   0.334836
  13  -604088.21649   0.353640
  14  -604088.201457   0.368673
  15  -604088.199244   0.370886
  16  -604088.171842   0.398288
  17  -604088.092651   0.477479
  18  -604087.960549   0.609581
  19  -604087.912618   0.657512
  20  -604087.900626   0.669504
  21  -604087.89705   0.673080
  22  -604087.876634   0.693496
  23  -604087.873709   0.696421
  24  -604087.53727   1.032860
  25  -604087.529506   1.040624
  26  -604087.522784   1.047346
  27  -604087.481094   1.089036
  28  -604087.463191   1.106939
  29  -604087.446092   1.124038
  30  -604087.441948   1.128182
  31  -604087.428541   1.141589
  32  -604087.421256   1.148874
  33  -604087.413098   1.157032
  34  -604087.402139   1.167991
  35  -604087.40023   1.169900
  36  -604087.395862   1.174268
  37  -604087.380961   1.189169
  38  -604087.367389   1.202741
  39  -604087.337255   1.232875
  40  -604086.716481   1.853649
  41  -604086.495364   2.074766
  42  -604086.494483   2.075647
  43  -604086.456137   2.113993
  44  -604086.43386   2.136270
