# Relative energy hierarchy for Asp conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -13946.2877752   0.000000
   2  -13946.2845458   0.003229
   3  -13946.2773985   0.010377
   4  -13946.2505831   0.037192
   5  -13946.2482439   0.039531
   6  -13946.225169   0.062606
   7  -13946.223909   0.063866
   8  -13946.2025866   0.085189
   9  -13946.1931202   0.094655
  10  -13946.1894409   0.098334
  11  -13946.1784607   0.109314
  12  -13946.1749268   0.112848
  13  -13946.1680249   0.119750
  14  -13946.1637179   0.124057
  15  -13946.155293   0.132482
  16  -13946.1501057   0.137669
  17  -13946.140199   0.147576
  18  -13946.1342746   0.153501
  19  -13946.1298081   0.157967
  20  -13946.1269638   0.160811
  21  -13946.1168008   0.170974
  22  -13946.1091607   0.178615
  23  -13946.1079069   0.179868
  24  -13946.1078072   0.179968
  25  -13946.1067368   0.181038
  26  -13946.103266   0.184509
  27  -13946.102354   0.185421
  28  -13946.0973041   0.190471
  29  -13946.0948674   0.192908
  30  -13946.0941479   0.193627
  31  -13946.0936408   0.194134
  32  -13946.0934592   0.194316
  33  -13946.089517   0.198258
  34  -13946.0870474   0.200728
  35  -13946.0863108   0.201464
  36  -13946.0811676   0.206608
  37  -13946.0780071   0.209768
  38  -13946.0767383   0.211037
  39  -13946.0748078   0.212967
  40  -13946.072632   0.215143
  41  -13946.0725794   0.215196
  42  -13946.0703924   0.217383
  43  -13946.0693077   0.218468
  44  -13946.0681754   0.219600
  45  -13946.068039   0.219736
  46  -13946.0624905   0.225285
  47  -13946.0614007   0.226375
  48  -13946.0606987   0.227077
  49  -13946.0603697   0.227405
  50  -13946.0586131   0.229162
  51  -13946.0533705   0.234405
  52  -13946.050151   0.237624
  53  -13946.0491809   0.238594
  54  -13946.0455868   0.242188
  55  -13946.0441338   0.243641
  56  -13946.0396538   0.248121
  57  -13946.0252735   0.262502
  58  -13946.0184862   0.269289
  59  -13946.0177575   0.270018
  60  -13946.015415   0.272360
  61  -13946.0129725   0.274803
  62  -13946.0086427   0.279132
  63  -13946.0080802   0.279695
  64  -13945.9999884   0.287787
  65  -13945.9852563   0.302519
  66  -13945.9804155   0.307360
  67  -13945.9771197   0.310656
  68  -13945.9444699   0.343305
  69  -13945.9350891   0.352686
  70  -13945.9118216   0.375954
  71  -13945.9118086   0.375967
  72  -13945.9045166   0.383259
  73  -13945.8248826   0.462893
  74  -13945.7484627   0.539313
  75  -13945.7038757   0.583900
  76  -13945.584646   0.703129
