# Relative energy hierarchy for Ac-Cys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -42918.4184157   0.000000
   2  -42918.4056212   0.012794
   3  -42918.4017560   0.016660
   4  -42918.3253936   0.093022
   5  -42918.3036672   0.114748
   6  -42918.2829476   0.135468
   7  -42918.2817095   0.136706
   8  -42917.9968710   0.421545
   9  -42917.9595980   0.458818
  10  -42917.8784152   0.540000
  11  -42917.8573063   0.561109
  12  -42917.8410741   0.577342
  13  -42917.8290267   0.589389
  14  -42917.8263597   0.592056
  15  -42917.8239277   0.594488
  16  -42917.8237305   0.594685
  17  -42917.8200806   0.598335
  18  -42917.8108797   0.607536
  19  -42917.7894441   0.628972
  20  -42917.7798579   0.638558
  21  -42917.7751480   0.643268
  22  -42917.7587775   0.659638
  23  -42917.7194239   0.698992
  24  -42917.7186574   0.699758
  25  -42917.7035802   0.714835
  26  -42917.6881914   0.730224
  27  -42917.6855472   0.732868
  28  -42917.6755702   0.742845
  29  -42917.6625744   0.755841
  30  -42917.6621830   0.756233
  31  -42917.6348092   0.783607
  32  -42917.6306610   0.787755
  33  -42917.6230599   0.795356
  34  -42917.6193181   0.799098
  35  -42917.6180965   0.800319
  36  -42917.6169726   0.801443
  37  -42917.6166752   0.801740
  38  -42917.5631220   0.855294
  39  -42917.3217386   1.096677
  40  -42917.2725692   1.145846
  41  -42917.1909204   1.227495
  42  -42917.1424801   1.275936
  43  -42917.1014509   1.316965
  44  -42917.0956870   1.322729
  45  -42917.0600644   1.358351
  46  -42917.0523443   1.366071
  47  -42917.0485440   1.369872
  48  -42917.0445568   1.373859
  49  -42917.0083267   1.410089
  50  -42916.9988523   1.419563
  51  -42916.9886158   1.429800
  52  -42916.9696153   1.448800
  53  -42916.9693331   1.449083
  54  -42916.9687457   1.449670
  55  -42916.9556617   1.462754
  56  -42916.9429365   1.475479
  57  -42916.9353092   1.483106
  58  -42916.9312659   1.487150
  59  -42916.7771331   1.641283
  60  -42916.6796075   1.738808
  61  -42916.5990994   1.819316
  62  -42916.2418140   2.176602
  63  -42916.1993763   2.219039
