# Relative energy hierarchy for Ac-Cys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -178492.0986525   0.000000
   2  -178492.0958850   0.002768
   3  -178491.9895570   0.109095
   4  -178491.9850425   0.113610
   5  -178491.7182581   0.380394
   6  -178491.5311285   0.567524
   7  -178491.2217079   0.876945
   8  -178491.2212226   0.877430
   9  -178491.1221873   0.976465
  10  -178491.1213556   0.977297
  11  -178491.1139896   0.984663
  12  -178491.1045963   0.994056
  13  -178491.0950045   1.003648
  14  -178491.0772314   1.021421
  15  -178491.0771092   1.021543
  16  -178491.0768179   1.021835
  17  -178491.0759984   1.022654
  18  -178491.0741180   1.024535
  19  -178491.0730577   1.025595
  20  -178491.0712580   1.027394
  21  -178491.0605333   1.038119
  22  -178491.0598720   1.038780
  23  -178491.0356198   1.063033
  24  -178491.0100263   1.088626
  25  -178490.9772267   1.121426
  26  -178490.9648680   1.133784
  27  -178490.9613014   1.137351
  28  -178490.9605520   1.138100
  29  -178490.9502067   1.148446
  30  -178490.9382465   1.160406
  31  -178490.9254828   1.173170
  32  -178490.9172981   1.181354
  33  -178490.9045146   1.194138
  34  -178490.9014792   1.197173
  35  -178490.8973659   1.201287
  36  -178490.8668136   1.231839
  37  -178490.8647655   1.233887
  38  -178490.8479869   1.250666
  39  -178490.8296520   1.269001
  40  -178490.7976237   1.301029
  41  -178490.7775509   1.321102
  42  -178490.7280029   1.370650
  43  -178490.6148190   1.483833
  44  -178490.5733368   1.525316
  45  -178490.4944320   1.604220
  46  -178490.4563119   1.642341
  47  -178490.4392254   1.659427
  48  -178490.4378853   1.660767
  49  -178490.3939689   1.704684
  50  -178490.3919970   1.706655
  51  -178490.3187242   1.779928
  52  -178490.3074708   1.791182
  53  -178490.2893429   1.809310
  54  -178490.2780746   1.820578
  55  -178490.2624162   1.836236
  56  -178490.2138116   1.884841
  57  -178490.1554292   1.943223
  58  -178490.0376097   2.061043
