# Relative energy hierarchy for Ac-Cys-NMe conformations
# Calculated with PBE+vdW (tier 2 basis)
# Conf.    Energy./ [eV]     Rel. energy./ [eV]
#
   1  -577770.5301891   0.000000
   2  -577770.4887623   0.041427
   3  -577770.4117868   0.118402
   4  -577770.3814356   0.148753
   5  -577770.3355566   0.194632
   6  -577770.0984112   0.431778
   7  -577770.0670760   0.463113
   8  -577769.9953523   0.534837
   9  -577769.9654757   0.564713
  10  -577769.8676685   0.662521
  11  -577769.7481898   0.781999
  12  -577769.7444820   0.785707
  13  -577769.7345758   0.795613
  14  -577769.7191695   0.811020
  15  -577769.6471282   0.883061
  16  -577769.6448531   0.885336
  17  -577769.6421424   0.888047
  18  -577769.6182933   0.911896
  19  -577769.6161249   0.914064
  20  -577769.6133649   0.916824
  21  -577769.6131592   0.917030
  22  -577769.6110590   0.919130
  23  -577769.5805864   0.949603
  24  -577769.5313447   0.998844
  25  -577769.5030362   1.027153
  26  -577769.4986465   1.031543
  27  -577769.4769591   1.053230
  28  -577769.4728433   1.057346
  29  -577769.4725140   1.057675
  30  -577769.4608869   1.069302
  31  -577769.4524217   1.077767
  32  -577769.4478590   1.082330
  33  -577769.4475168   1.082672
  34  -577769.4356652   1.094524
  35  -577769.4259044   1.104285
  36  -577769.4120206   1.118168
  37  -577769.3796591   1.150530
  38  -577769.3765524   1.153637
  39  -577769.3561569   1.174032
  40  -577769.3459658   1.184223
  41  -577769.2758432   1.254346
  42  -577769.2730466   1.257142
  43  -577769.2220017   1.308187
  44  -577769.2181987   1.311990
  45  -577769.2050039   1.325185
  46  -577769.1562748   1.373914
  47  -577769.1515857   1.378603
  48  -577769.1421691   1.388020
  49  -577769.0806164   1.449573
  50  -577769.0465856   1.483603
  51  -577769.0284787   1.501710
  52  -577769.0170848   1.513104
  53  -577769.0028649   1.527324
  54  -577768.9856714   1.544518
  55  -577768.9646033   1.565586
  56  -577768.9567103   1.573479
  57  -577768.9549327   1.575256
  58  -577768.9549327   1.575256
